ENGLISH,PORTUGUÊS (BRASIL)
"\c[1]Interesting.\! You really think it was a good idea coming here, do you?",\c[1]Interessante.\! Achou mesmo que seria uma boa ideia vir até aqui?
I-I... guess I saw something different about you.\! Any of the others...,Eu... eu... acho que vi algo diferente em você.\! Qualquer um dos outros...
Any of the others would've killed you on sight.\! I sincerely hope for your sake that you have an answer for me.,"Qualquer um dos outros teriam matado você em um instante.\! Sinceramente, espero que, pelo seu bem, tenha uma resposta para mim."
I... I understand.,Eu... Eu entendo.
"While your interpretation of the texts is somewhat rudimentary, I believe it to be correct.\! Well...\| correct enough for your purposes.","Apesar de sua interpretação dos textos ainda ser um tanto rudimentar, acredito que esteja correta.\! Bom...\| correta o suficiente para os seus propósitos."
"If I am ""correct enough"", then how best to act on this information?\! That said, it disturbs me that you were willing to risk your life to come here.\! I know you have much to gain.","Se estou “correta o suficiente”, então qual a melhor forma de lidar com estas informações?\! Dito isso, me incomoda que você esteja considerando arriscar sua vida para vir aqui.\! Sei que tem muito a ganhar."
"B-begging your pardon, but we are not so different!","Desculpa, mas não somos tão diferentes assim!"
"Except that you serve a mad cult, and are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not be following that path, Jebediah.","Exceto pelo fato de que você serve a um culto insano e está tão cego pela promessa de uma recompensa que permite ser chutado por aí que nem cachorro.\! Não vou seguir esse caminho, Jebediah."
"Our business is done.\! Leave, following my exact instructions.\! One deviation will likely be your last mistake... and mine.","Aqui encerra nosso negócio.\! Saia, seguindo minhas instruções exatas.\! Um desvio provavelmente será seu último erro... e meu."
D-do not waste this chance to make things right...,N-não desperdice esta chance de consertar as coisas...
"Any of the others would've killed you on sight.\! And if you don't have a good answer for me, they'll know you're here.","Qualquer um dos outros teriam matado você em um instante.\! E se não tiver uma boa resposta para mim, eles saberão que você está aqui."
Except that you are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not let that happen to me.,Exceto pelo fato de que você está tão cego pela promessa de uma recompensa que permite ser chutado por aí que nem cachorro.\! Não deixarei que isso aconteça comigo.
Our business is done.,Nosso negócio acaba aqui.
I know you feel alienated by the Nephilim.\! They do not deserve the power they wield.\! But just...\| just please don't hurt my Beatrix...,"Sei se sente alienado pelos Nephilins.\! Eles não merecem o poder que brandem.\! Mas...\| só, por favor, não machuque minha Beatrix..."
...\| Pardon me?!,...\| Como é?
Please...,Por favor...
"...""Your"" Beatrix?\! What, do you think you can win over that unhinged harpy by coming to her rescue?",... “Sua” Beatrix?\! O quê?! Você acha que pode conquistar aquela harpia desequilibrada vindo em seu socorro?
"Go home, Jebediah. You poor, misguided soul.","Vá para casa, Jebediah. Pobre alma desorientada."
