ENGLISH,PORTUGUÊS (BRASIL)
"\c[1]Upper balcony, Imperial palace at the capital\c[0]","\c[1]Varanda superior, Palácio Imperial na capital\c[0]"
"So, not even the mighty Kuroda could best the orphan.","Então, nem mesmo o poderoso Kuroda conseguiu vencer um órfão."
The one you call an orphan has many powerful allies.\! Your people had us believe we would go almost unopposed.\! We were not prepared.,A pessoa que chama de órfão possui muitos aliados poderosos.\! Seu povo nos fez acreditar que iríamos quase sem oposição.\! Não estávamos preparados.
So be it. There will be another chance.\! Did you have a chance to review my message?,Que assim seja. Haverá outra chance.\! Teve tempo para ver minha mensagem?
Yes. You need a problem solved.,Sim. Você precisa de um problema solucionado.
"I cannot expand on why, but this mission is but one part of a greater one... we will save this country, Kuroda.\! From itself, and its past folly.","Não posso explicar por que, mas esta missão é apenas uma parte de uma ainda maior... Nós salvaremos este país, Kuroda.\! Dele mesmo e de sua insanidade passada."
Countless men just like you have used men like me to further their ambitions from the shadows.\! It is a dance as old as time.,Inúmeros homens como você usaram homens como eu para promover suas ambições das sombras.\! É uma dança tão antiga quanto o tempo.
Truly a man of your craft. How honorable.,Verdadeiramente um homem de seu ofício. Que honra.
"I cannot stress enough the importance of timing.\! You must monitor the situation.\! When the target leaves to try to stop the war, that is when he must die.\! No sooner, no later.","Não posso enfatizar o suficiente a importância do tempo.\! Você deve monitorar a situação.\! Quando o alvo sai para tentar parar a guerra, é quando ele deve morrer.\! Nem antes, nem depois."
273 targets have fallen to my hand. It will be as routine as morning tea.,273 alvos caíram por minhas mãos. Será tão rotineiro quanto o chá da manhã.
"...What a noble life you lead.\! As you have been paid in advance, we must never meet again.\! Donar be with you... or whatever it is they say.","... Que vida nobre você vive.\! Como você foi pago antecipadamente, nunca mais devemos nos encontrar.\! Donar te acompanhe... ou seja lá o que dizem."
