ENGLISH,PORTUGUÊS (BRASIL)
Hey Beatrix!\! How are you liking it here?,"Ei, Beatrix!\! Está gostando daqui?"
"Oh, I guess I'm supposed to 'belong' now?","Ah, era para eu me sentir “pertencendo” agora?"
So you're just gonna fly solo?\! Well I'm not gonna let that happen!,"Então você vai sair sem companhia?\! Bom, não vou deixar isso acontecer!"
Is that so?\! Good luck with that.\! But you do seem like a real sweetie.\! Perhaps I'll make you my most prized servant.,É mesmo?\! Boa sorte com isso.\! Mas você parece um verdadeiro docinho.\! Quem sabe eu a torne minha serva mais valiosa.
"Oh...\| Can I ask... how did you become so magically gifted?\! I've never seen your tricks, even from the most experienced battlemages.","Ah...\| Queria perguntar... como você se tornou tão abençoada magicamente?\! Nunca vi seus truques, nem mesmo em magos de batalha experientes."
"'Tis my gift and my curse, Jules.\! My existence is a bit of an experiment.\! Y'see, I'm the first Nephilim those cultists knew about, so they tried to twist me in every which way to get me to do their bidding.\! Really messed with my brain, they tell me.","Esse é meu dom e minha maldição, Jules.\! Minha existência é tipo um experimento.\! Sabe, sou a primeira Nephilim que aqueles adoradores descobriram, então tentaram me manipular de todas as formas possíveis para fazer o que queriam.\! Isso bagunçou mesmo a minha cabeça."
...Messed with your brain?,... Bagunçou sua cabeça?
"Don't you see?\! The elevator doesn't reach the top floor here!\! A few nuts and bolts missing!\! Who knows, I might just snap in the middle of this conversation and make you explode, just for fun!\! Whaddya think about that?!","Não consegue ver?\! O elevador não chega à cobertura aqui!\! Falta alguns parafusos!\! Quem sabe eu acabe surtando no meio desta conversa e faça você explodir, só por diversão!\! O que acha disso??"
I don't think you'd do such a thing.,Não acho que faria algo do tipo.
"Hahaha... if you say so.\! Hey, you're a gem, but I've gotta practice my skills and I need you to keep your distance!\! Do take care, hmm?","Hahaha... Se está dizendo.\! Ei, você é um amor, mas preciso praticar minhas habilidades e você precisa manter distância!\! Cuide-se, tá?"
"Hmmm, alright sure.\! Have fun, Beatrix!","Hm. Claro.\! Divirta-se, Beatrix!"
That I can do!,Isso eu sei fazer!
