ENGLISH,PORTUGUÊS (BRASIL)
"\c[1]Eastwall Fortress, Inner keep\c[0]","\c[1]Fortaleza de Muralheste, Fortaleza interna\c[0]"
You all survived...,Vocês todos sobreviveram...
"And you as well, which begs the question... how?",E você também... O que traz a pergunta... Como?
"Someone, or something greater than us all, saw fit to change things in a big way.\! Perhaps one day, I will have a better explanation than that.","Alguém ou algo maior que todos nós achou melhor mudar as coisas de um jeito surreal.\! Quem sabe um dia, terei uma explicação melhor que essa."
"This is the Nephilim Army.\! Everyone in this room, and everyone who travels with us.\! This army's purpose is to dismantle Casamir's empire.\! If you don't wish to go with me, I won't hold it against you.","Este é o Exército Nephilim.\! Todos nesta sala e todos que viajam conosco.\! O objetivo deste exército e desmantelar o império de Casamir.\! Se não quiser me acompanhar, não usarei isso contra você."
Raskuja has not yet fulfilled his contract - to slay all enemies of \n[8].\! He will remain.,Raskuja ainda não cumpriu seu contrato de matar todos os inimigos de \n[8].\! Ele permanecerá.
"Those bastards destroyed my life's goal!\! I'm gonna make them pay, one way or another!","Aqueles malditos destruíram o objetivo da minha vida!\! Farei com que paguem, de um jeito ou de outro!"
"There is no other path to justice for this world. I stand with you, \n[8]!","Não há outro caminho para a justiça neste mundo. Estou contigo, \n[8]!"
"I think the people have spoken.\! The old crew's back together, and for good this time, yeah?",Acho que o povo falou.\! A velha gangue está de volta e para ficar desta vez!
All I've had are friends.\! But now I consider all of you family.\! None of you are allowed to die...,"Tudo o que eu tinha eram amigos.\! Mas, agora, considero todos vocês família.\! Nenhum de vocês tem permissão para morrer..."
"\n[8], please follow me to the rooftop.\! Before you reinforced us, we captured a luxury airship that was parked here.","\n[8], acompanhe-me até o terraço.\! Antes de você nos reforçar, capturamos uma aeronave de luxo que estava estacionada aqui."
