ENGLISH,PORTUGUÊS (BRASIL)
Hey. I'm glad you made it.,Ei. Que bom que conseguiu chegar.
My King assures me that the situation in Sayunaa is stable.,Meu Rei garante que a situação em Sayunaa está estável.
"Alright, that's good to hear.\| Is that...","Certo, bom saber.\| Isso seria..."
"\n[8], what is the purpose of your new mission?","\n[8], qual o propósito da sua nova missão?"
"My role in the Millennium War is over. Zanatus is finally dead.\! I came close to losing myself completely, Narima. I can't face the people of Armitage again...\| not for a while.","Meu papel na Guerra Milenar acabou. Zanatus finalmente está morto.\! Quase me perdi por completo, Narima. Não posso encarar o povo de Armitage de novo...\| não por um tempo."
"I find your assessment of the people of this land innaccurate, \n[8]. But, I understand what it is like to keep the demons within under control.","Acho sua avaliação do povo desta terra imprecisa, \n[8]. Mas entendo como é manter os demônios sob controle."
You're probably right. But Zanatus's dying words still haunt me.,Você provavelmente tem razão. Mas as palavras de Zanatus antes de morrer ainda me assombram.
That foul deceiver is still manipulating you from the void. You must not give in.,Aquele enganador sujo ainda está manipulando você do além. Não ceda.
"He may be a manipulator, but I felt no deception in those words. Zanatus's hatred for Donar, and for me, cannot be described.\! He felt a certain peace in his final moments. As though he'd finished his job.\! We have reports that some of the Followers of Zanatus went into exile, far to the East, bound for Grothnor of all places.","Ele pode ser um manipulador, mas sinto mentira alguma naquelas palavras. Não dá para descrever o ódio de Zanatus por Donar, e por mim.\! Ele sentiu certa paz em seus momentos finais. Como se tivesse cumprido sua missão.\! Temos relatórios de que alguns dos seguidores de Zanatus foram para o exílio, longe a Leste, e, de todos os lugares que poderiam ir, foram rumo a Grothnor."
"Grothnor, the most dreadful place in all Tahnra. You are certain this is the path for you?","Grothnor, o lugar mais terrível de toda Tahnra. Tem certeza de que esse é o caminho certo para você?"
"Just an instinct for now. As you know, I have a hard time ignoring that.","Por enquanto, é só um instinto. Como sabe, tenho dificuldade de ignorá-lo."
...Then I will enjoy slaying what ever abominations may threaten you along the way.,"... Então, terei o prazer de trucidar seja lá quais forem as aberrações que possam ameaçar você no caminho."
"...\| You're coming with me?\| That's... the best I could possibly wish for, but what about...","...\| Você vem comigo?\| Isso é... É a melhor coisa que eu poderia desejar, mas e..."
"My mind is settled. My country, my homeland...\| it has meant everything to me. But it is doomed in a rapidly-changing future that will leave it behind.\! The irony is clear to me, that I spent my life to preserve tradition, and now see it as Sayunaa's greatest weakness.\! My people must embrace the outside world. And if my journey into the unknown can be a small part of that, so be it.","Já decidi. Meu pais, minha terra-natal...\| representou tudo para mim. Mas está condenado em um futuro rapidamente mudando que o deixará para trás.\! A ironia é clara para mim, pois passei minha vida para manter a tradição e, agora, a vejo como a maior fraqueza de Sayunaa.\! Meu povo deve abraçar o mundo exterior. E se minha jornada para o desconhecido puder ser uma pequena parte disso, que assim seja."
...Oh.,... Ah.
"Oh, \n[8], you know that expressing those feelings is not easy for me...\| Please, just...","Ah, \n[8]. Você sabe que expressar esses sentimentos não é fácil para mim...\| Por favor, só..."
"Narima...\| it wasn't Grothnor that scared me.\| It was not being able to see your face, and for its memory to fade with time.\! As long as I'm with you, it feels like all the world's terrors can't even phase me.","Narima...\| não foi Grothnor que me apavorou.\| Foi não poder ver seu rosto e a lembrança dele poder se apagar com o tempo.\! Contanto que eu esteja com você, parece que nenhum terror do mundo poderá me apagar."
"I feel the same, \n[8].","Sinto o mesmo, \n[8]."
"Time to head off then, hero of Sayunaa. Let's forge that future.","Hora de partirmos, herói de Sayunaa. Vamos forjar esse futuro."
