ENGLISH,PORTUGUÊS (BRASIL)
"\c[1]7 years ago, Imperial Academy\c[0]","\c[1]7 anos atrás, Academia Imperial\c[0]"
Don't you guys have anything better to do?,Vocês não tem nada melhor para fazer?
"Where'd ya get that uniform?\! You been stealin' from the armory, street urchin?","Onde conseguiu esse uniforme?\! Você está roubando do arsenal, cria de rua?"
What should we do with the thief?,O que devemos fazer com um ladrão?
Probably gonna go cryin' to the Master Sergeant again.,Provavelmente vai chorar para o Primeiro Sargento novamente.
"I'm watchin' you, street urchin!\! If I had my way, kids like you'd be sent home.","Estou de olho em você, cria de rua!\! Se fosse do meu jeito, crianças como você seriam mandadas para casa."
"Yeah, go home.\! I hear the back alleys are comfy this time of year.","É, vá para casa.\! Ouvi dizer que os becos são confortáveis ​ ​nesta época do ano."
Heh heh heh...,Hehehe...
"You okay, \n[8]?","Você está bem, \n[8]?"
"Hi, Zelos...\| I guess so.","Oi, Zelos...\| Acho que sim."
Don't sweat those guys.\! I've seen you in class. Not enough brains between the three of 'em combined to make one of you.,Não se preocupe com esses caras.\! Eu vi você na aula. Se combinasse o cérebro dos três não chegaria nem perto de formar um seu.
"Thanks...\|\| Zelos, these are supposed to be my comrades...","Agradeço os palavras...\|\| Zelos, esses eram para ser meus camaradas..."
"They are. When it comes down to it we're all gonna bleed for each other.\! They're testing you.\! You gotta fight back, \n[8].\! Doesn't matter who, you always gotta show the world you're not to be messed with.","Eles são. Quando chegar a hora, todos nós vamos sangrar uns pelos outros.\! Eles estão te testando.\! Você precisa revidar, \n[8].\! Não importa quem, sempre precisa mostrar ao mundo que não devem mexer com você."
You could take these guys no problem.,Você poderia pegar esses caras sem problemas.
"If I helped you they'd never leave you alone!\! Just trust me on this one.\! Even if you get roughed up, it'll pay off in the end.","Se eu te ajudasse, eles nunca te deixariam em paz!\! Confie em mim.\! Mesmo se te maltratarem, valerá a pena no final."
"Something might happen to those guys later.\! If anyone asks, you had nothin' to do with it.\! See ya around, \n[8].","Algo pode acontecer com esses caras mais tarde.\! Se alguém perguntar, você não teve nada a ver com isso.\! Nos vemos por aí, \n[8]."
