ENGLISH,PORTUGUÊS (BRASIL)
Duke Jaromir.\! How are the Emborian troops holding up?,Duque Jaromir.\! Como as tropas emborianas estão se saindo?
"Well... I knew you were a man of few words, but you've really outdone yourself.","Bom... Sabia que você era um homem de poucas palavras, mas você realmente se superou."
...\| I find it difficult to fathom your existence.,...\| Acho difícil entender sua existência.
...Still?!,... Ainda??
The idea of you continues to defy my understanding.\! You are...\| holy Donar.,Você continua a desafiar minha compreensão.\! Você é...\| santo Donar.
Nope.\! \n[8].,Não.\! \n[8].
"I know the scriptures like they were my own children.\! Donar stands before me.\! You are the embodiment of truth, and the bringer of light.",Conheço as escrituras como se fossem minhas filhas.\! Donar está diante de mim.\! Você é a encarnação da verdade e quem traz a luz.
"Okay...\| sure.\! It is I, holy Donar!\! Gaze upon my radiance!\! I come to bring the ultimate truth in the universe!","Sim...\| claro.\! Sou eu, Donar!\! Contemple meu esplendor!\! Venho trazer a grande verdade do universo!"
"...You underestimate my faith, \n[8].\! Even through your jokes, my soul is shaken to its core.","... Você subestima minha fé, \n[8].\! Mesmo com essas piadas, minha alma treme até a última partícula."
"Sheesh.\! You ARE dedicated.\! Jaromir...\| I like you.\! You are... so noble, like a throwback to a nobler time.\! Please don't lower yourself to this.\! I am nothing special.","Shiu.\! Você É dedicado.\! Jaromir...\| Gosto de você.\! Você é... tão nobre, como o passado de uma época mais nobre.\! Por favor, não se rebaixe a isso.\! Não sou nada demais."
"...Please, be my wife, \n[8].","... Por favor, seja minha esposa, \n[8]."
...Wha-wha-whaaat?!,... O... o... o QUÊ??
"You have changed my life. Nay, the whole world.\! Your return to this world has given me purpose.\! Have I not been of benefit to you, \n[8]?","Você mudou minha vida. Não... o mundo todo.\! Seu retorno a este mundo me deu propósito.\! Não lhe fui de alguma ajuda, \n[8]?"
"Of course!\! I mean... no one else believes as strongly as you!\! It is quite a leap to try and wife me, though, fella!",É claro!\! Quero dizer... ninguém mais acredita com tanta certeza quanto você!\! Mas é um grande passo tentar me ter como esposa...
...May I know your answer?,... Posso saber sua resposta?
"Well...\! You know how I like to think things over, but...","Bom...\! Você sabe como eu gosto das coisas, mas..."
"What woman doesn't dream of a man like you, solemnly professing his dedication?","Que mulher não sonharia com um homem como você, professando solenemente sua dedicação?!"
"Okay, well, not the quickest on the uptake there, Duke.\! Yes! I accept.","Ok... Bom, não é a decisão mais rápida que tomei, Duque.\! Sim! Eu aceito."
That warms my heart greatly.\! You shall make a fine Duchess.,Isso me alegra e muito o coração.\! Você dará uma ótima Duquesa.
"Whoa there, Duchess?\! I am apparently the reincarnation of your god, and you'd demote me to Duchess?!\! I think I'll make you my Mr. Donar instead. Ha ha ha...","Ei, pera aí. Duquesa?\! Aparentemente sou a reencarnação do seu deus e você me demove para Duquesa??\! Acho que eu lhe tornarei meu Sr. Donar em vez disso. Ha ha ha..."
