ENGLISH,PORTUGUÊS (BRASIL)
Seems like they've put all their hopes in Stormrook's defense.\! Could we be the first in a thousand years to conquer Stormrook Castle from the east?,Parece que eles colocaram todas as esperanças na defesa de Torre-tempesta.\! Poderíamos ser os primeiros em mil anos a conquistar o Castelo de Torre-tempesta pelo leste?
Victory over Casamir is all but inevitable. The challenge will be to minimize casualties during this difficult final stretch.,A vitória sobre Casamir é inevitável. O desafio será minimizar as baixas durante esta difícil reta final.
What gives? Aren't you looking forward to taking that weasel off the throne?,E aí? Você não está se mordendo para tirar aquela fuinha do trono?
"These are the homelands of the Empire, and the people may not desire our presence as others have.\! However, the unfortunate truth is that the war will not end as long as Casamir lives...","Estas são as pátrias do Império e as pessoas podem não desejar nossa presença como outras o fizeram.\! No entanto, a infeliz verdade é que a guerra não terminará enquanto Casamir viver..."
Nothing could stand between my blade and Casamir's throat.,Nada pode ficar entre minha lâmina e a garganta de Casamir.
"My own desire for revenge aside, Beatrix says that the last Nephilim shrine is inside the Imperial Palace.\! She hasn't been wrong yet...",Deixando de lado meu próprio desejo de vingança... Beatrix disse que o último santuário Nephilim está dentro do Palácio Imperial.\! Ela ainda não errou...
\n[8]...\| I need you to listen.\! You should not claim the last divine weapon...,\n[8]...\| Preciso que me escute.\! Você não deve reivindicar a última arma divina...
...Why not??,... Por que não?
"I see the way you Nephilim act around those shrines.\! You are hypnotized.\! A voice calling out to you, compelling you to seize your destiny.\! It is unsettling, and I am not the only one who has noticed.\! If the purpose of finding these weapons is to defeat Casamir, what use is pursuing the Lightfury if you must defeat him to get it?","Vejo como vocês, Nephilins, agem perto desses santuários.\! Vocês ficam hipnotizados.\! Uma voz os chamam, obrigando-os a abraçar o seu destino.\! É perturbador... E não fui a única pessoa que percebeu isso.\! Se o objetivo de encontrar essas armas é derrotar Casamir, de que adianta perseguir a Furiluz se você precisa derrotá-lo para obtê-la?"
"I was once a street urchin, begging for a small piece of bread.\! But look what I've built for myself now.\! You'd have me abandon this path?","Quando criança, morei nas ruas, mendigando qualquer migalha de pão.\! Mas olhe o que você construiu para si agora.\! Quer que eu abandone este caminho?"
"You provoked us into a war with Sayunaa, \n[8]...\| And now flirt with the role not of liberator, but conqueror...","Você nos incitou a guerrear com Sayunaa, \n[8]...\| E agora flerta com um papel não de libertador, mas de conquistador..."
"It may have been in a former life, but I still remember. I still hear the sound of Casamir's guns as they tore my body to shreds.\! I still remember the roars of the crowd, cheering the execution of a traitor - my last sense before everything went black.\! ...And yet, I stand before you by the will of Donar. Perhaps the real \n[8] is still dead?\! What do you think, Lysander? Am I just some kind of divine artifice, a weapon sent to right Tahnra's wrongs?\! These questions torture me... every day. I have no other purpose than this, Lysander.","Pode ter sido em uma vida anterior, mas ainda me lembro. Ainda ouço o som das armas de Casamir enquanto partiam meu corpo em pedaços.\! Ainda me lembro dos rugidos da multidão, aplaudindo a execução de um traidor... Minha última lembrança antes de tudo escurecer.\! ... E, mesmo assim, estou diante de você pela vontade de Donar. É possível que \n[8] de verdade não tenha voltado à vida...\! O que você acha, Lysander? Sou apenas algum tipo de artifício divino, uma arma enviada para corrigir os erros de Tahnra?\! Essas perguntas me torturam... todos os dias. Não tenho outro propósito além disso, Lysander."
"You swore to be my right hand. But it seems now, you would feel more at peace if you resigned from the Nephilim Army.","Você jurou ser meu braço direito. Mas parece que, agora, você estaria mais em paz se deixasse o Exército Nephilim."
...\| Is that what you want?,...\| É isso que você quer?
"Please, I know you better than that. You choose your own path.","Por favor, a gente se conhece há muito tempo. Você escolheu seu próprio caminho."
"...Casamir must be destroyed, for the good of Tahnra. Only you have the power to do so...","... Casamir deve ser aniquilado, pelo bem de Tahnra. Somente você tem o poder para fazê-lo..."
"Let us put an end to this war together, \n[8]...","Vamos colocar um fim nesta guerra juntos, \n[8]..."
We will. Just hold out a little longer...,Assim o faremos. Aguente só um pouco mais...
