ENGLISH,PORTUGUÊS (BRASIL)
I have seen you reading a great deal lately.,Vi você lendo algo interessante ultimamente.
Diana! It's the Donari Volumes on Virtue.\! I'm happy to say I'm almost finished with the first.,Diana! São os Volumes Donari da Virtude.\! Fico feliz de dizer que quase terminei de ler o primeiro.
Really...\| You're the last I'd expect to do mire yourself in such dry material.,Mesmo?\| Você é a última pessoa que eu esperaria mergulhar em um material tão seco.
I guess I thought it would help me understand the prophecy better.\! Are you not pleased that I've taken an interest?,Pensei que talvez me ajudasse a entender melhor a profecia.\! Não fica feliz que me interessei?
This journey is yours to take. You are not here to impress me...,Essa jornada é sua. Você não está aqui para me impressionar...
"Yes... but...\| How would one impress you, Diana?","Sim... mas...\| Como alguém impressionaria você, Diana?"
...You will not impress anyone by asking how to impress them...\| I think you know that.,... Você não vai impressionar ninguém perguntando como impressionar a pessoa...\| Acho que você sabe disso.
"Of course. But I find myself at a loss around you.\! You have really moved me in ways I did not expect.\! I mean... yeah...\| Look at me.\! Skimming through centuries old texts that no one ever reads...\| Diana, no, I wouldn't do this for any other reason, but to get your attention in some way.\! You caught me red-handed... but, how foolish.\! I know that there is so much more to you.\! I've seen it, and grown very fond of it.","É claro. Mas eu me perco por completo perto de você.\! Você mexeu comigo de formas que eu não esperava.\! Quero dizer... é...\| Olhe só para mim.\! Passando os olhos em séculos de textos antigos que ninguém jamais lê...\| Diana, não, eu não faria isso por qualquer outro motivo além de chamar sua atenção de alguma forma.\! Você me pegou no flagra... mas, que tolice.\! Sei que há muito mais em você.\! Eu vi e acabei gostando."
"As I have you, \n[8]...","Assim como eu vi em você, \n[8]..."
"Diana, I must ask you.\| About...","Diana, preciso perguntar.\| Sobre..."
"Stefan, right?",Stefan...
...\| Are you close with him?,...\| Você é próxima dele?
We have a rich history together. But... you want to know if we have grown closer?,Temos um grande passado juntos. Mas... quer saber se ficamos mais próximos?
Yes...,Sim...
"I have always stopped myself, knowing his tendency to break hearts at a whim.\! \n[8], I can see it in your eyes. I know where this is leading.","Sempre me policiei por saber da tendência dele de partir corações a troco de nada.\! \n[8], posso ver em seus olhos. Sei onde isso vai parar."
Can I be completely honest?,Posso falar de coração?
I would expect no less.,Não esperaria menos.
"It...\| it seems like the troubles of the world melt away with you around.\! Diana...\| I have had the honor of your friendship, but I'm at the end of my ability to keep my composure.\! I only hope that I have left enough of an impression on you...\| If not, I need to know.","...\| Parece que os problemas do mundo desaparecem quando estou perto de você.\! Diana...\| Tive a honra de ter sua amizade, mas estou no limite quanto a manter minha compostura.\! Só espero que tenha sobrado o suficiente para eu ainda ter uma boa imagem para você...\| Se não, preciso saber."
"\n[8], I must stop you. For I have to tell you...\| our journey began with an oath. From me, to protect the Avatar of Donar with my life.\! But it has grown far beyond that.\! My formal training advises against this. But everything has changed now, hasn't it?\! We are all... stuck here.\| Fighting alongside each other, for the fate of all things.\! My committment, my oath...\| is to you now.\! And may we shine brighter than the darkness that surrounds all of Tahnra.","\n[8], preciso pedir que pare. Pois preciso lhe dizer...\| nossa jornada começou com um juramento. De mim, para proteger a entidade Avatar de Donar com a minha vida.\! Mas o sentimento cresceu além disso.\! Meu treinamento formal me orienta o contrário. Mas tudo mudou agora, não mudou?\! Estamos todos... presos aqui.\| Lutar ao lado um do outro... pelo destino de tudo.\! Meu comprometimento, meu juramento...\| agora é por você.\! E que possa brilhar mais do que a escuridão que rodeia Tahnra."
...Someone like you could see yourself by my side...? It feels like a dream...,... Alguém como você seria capaz de se ver ao meu lado? Parece um sonho...
"I'm not someone like me, I'm just me.",Eu não sou alguém como eu. Eu sou simplesmente eu.
