ENGLISH,PORTUGUÊS (BRASIL)
"\c[1]Isanter Palace, headquarters of the Western Army\c[0]","\c[1]Palácio de Isanter, quartel general do Exército Ocidental\c[0]"
"That predictable oaf, Terenor...\! like a child playing with a cannon, the man deserves not the power he wields.",Aquele tolo previsível... Terenor...\! como uma criança brincando com um canhão. Aquele homem não merece o poder que possui.
It should be a simple matter to overcome an oaf.,Deveria ser uma questão simples de superar um idiota.
"Would that I could wish it true, Diana.\! Harold, what are we looking at?","Gostaria muito que isso fosse verdade, Diana.\! Harold, o que está olhando?"
"Sixty-thousand men, against our own twenty-thousand, my lord.\! An unknown amount of gun and cannon divisions from the Imperial Army will be backing Terenor as well.\! Our 1st Heavy Cavalry has finally mobilized at Fort Findorian, giving us some breathing room.","Sessenta mil homens, contra nossos vinte mil, meu senhor.\! Uma quantidade desconhecida de armas e divisões de canhões do Exército Imperial também estarão protegendo Terenor.\! Nossa primeira Cavalaria Pesada finalmente foi mobilizada para o Forte Findorian, nos dando um pouco de espaço para respirar."
And we have the Temple warriors on our side...,E temos os guerreiros do Templo do nosso lado...
"As long as we control the river, let the Eastern Army come.\! We will destroy bridge after bridge until their supplies run dry.","Contanto que controlemos o rio, deixe o Exército Oriental vir.\! Destruiremos ponte após ponte até que os suprimentos deles acabem."
Make them starve for going on the offensive.\| Terenor might just be dull-witted enough for that to work...,Fazê-los morrer de fome por tomarem a ofensiva.\| Terenor talvez seja estúpido o suficiente para isso funcionar...
You have learned nothing since the Succession War.,Você não aprendeu nada com a Guerra de Sucessão.
Who is this disrespectful child?!\! You will address this council properly!,Quem é essa criança desrespeitosa??\! Você se portará perante este conselho adequadamente!
"\n[8], was it?\! This is the one who was key in recapturing Trucea.","\n[8], não foi?\! Foi a pessoa chave para recapturar Trucea."
\n[8]...,\n[8]...
"The enemy has more men and material. You cannot hope to win a war of attrition.\! But their army is retreating and regrouping since their loss at Trucea.\! The time to strike is now while they are off balance. If not now, then never.\! If they were to lose Fort Eureeka, it would be a painful effort for them to continue offensive operations.","O inimigo tem mais homens e mais materiais. Você não pode esperar ganhar uma guerra de atritos.\! Mas o exército deles está se retirando e reagrupando desde a perda deles em Trucea.\! A hora de atacar é agora, enquanto eles estão desequilibrados. Se não agora, nunca.\! Se eles perdessem o Forte Eureka, seria um esforço doloroso continuar as operações ofensivas."
You can't expect me to just commit my soldiers to this...,Você não pode esperar que eu comprometa meus soldados com isso...
"Duke Lothair, we have reason to trust in \n[8]'s judgement.\! ...\| I will accept personal responsibility if \n[8]'s plan fails.","Duque Lothair, temos motivos para acreditar no julgamento de \n[8].\! ...\| Aceitarei pessoalmente a responsabilidade caso o plano de \n[8] falhe."
"If this adventure is a failure, your ""personal responsibility"" will mean very little to us when the enemy has removed all of our heads.","Se essa aventura fracassar, sua “responsabilidade pessoal” pouco significará para nós quando o inimigo remover todas as nossas cabeças."
"...\| If we can shock Terenor with a dramatic move, he may lose his enthusiasm for war.\! This land does not need another generation lost.","...\| Se pudermos chocar Terenor com uma ação dramática, ele talvez perca o entusiasmo pela guerra.\! Estas terras não precisam de outra geração perdida."
"\n[8], we will support you how we can. Donar be with us.","\n[8], lhe apoiaremos como pudermos. Donar esteja conosco."
I can't guarantee anything.\! But a small chance is better than no chance.,Não posso garantir nada.\! Mas uma pequena chance é melhor do que chance alguma.
"I sincerely hope you know what you're doing, Diana...","Sinceramente, espero que saiba o que está fazendo, Diana..."
I do not presume to know.\! All that matters is that I believe.,Não presumo saber.\! Tudo o que importa é no que acredito.
