ENGLISH,PORTUGUÊS (BRASIL)
...Am I bothering you?,... Estou incomodando?
"Never.\! Join me, \n[8].","Nunca.\! Junte-se a mim, \n[8]."
Do you believe these people are common thugs?,Acredita que essas pessoas são bandidos comuns?
What I believe doesn't matter. We're just soldiers right now.,"No que eu acredito, não importa. Agora somos soldados."
"Come on, I know you better than that. What exactly do you think the rebels want?","Vamos lá, a gente se conhece há muito tempo. O que acha que os rebeldes querem?"
"They don't know what they want. They're angry and confused. Lashing out against order, hoping chaos will improve their situation.\! All they understand is force, so force they shall receive.","Não sei o que eles querem. Eles estão furiosos e confusos. Atentando contra a ordem, esperando que o caos melhore a situação deles.\! Tudo o que eles entendem é a força bruta. Então será força que receberão."
Interesting...,Interessante...
"What do you think they want, then?",E o que você acha que eles querem?
"They just want to be heard and understood. The Empire's taxing people to death to pay for the Succession War debts.\! If we destroy Antares, others like him will continue to speak out and rebel.","Eles só querem ser ouvidos e compreendidos. O Império está taxando as pessoas até o último centavo para pagar as dívidas da Guerra de Sucessão.\! Se destruirmos Antares, outros como ele continuarão a falar e se rebelar."
"You know just as I do - an army of lambs can become lions at a moment's notice. Let's not pretend that compassion will ever result in a lasting peace.\! If the roles were reversed, if you were the one begging for mercy, do you think you would get it?","Você sabe tanto quanto eu que um exército de cordeiros pode se tornar um de leões em um piscar de olhos. Não vamos fingir que compaixão resultará em uma paz duradoura.\! Se os papéis estivessem investidos, se fosse você implorando por misericórdia, acha que receberia?"
"And so, we follow orders, as it is our duty. Makes everything so simple.","Além do mais, seguimos ordens, é o nosso dever. Isso torna tudo mais simples."
There's a crimson star out tonight. Haven't seen one in a long time...,Há uma estrela carmesim hoje à noite. Não vejo uma há um bom tempo...
It is quite a sight to behold...,É uma grande vista para se admirar...
It's an omen.,É um presságio.
Of course it is...,É claro que é...
"Every time we have seen the crimson star, something big happens. Really big. Changes the course of history.\! Think that star is speaking to us, \n[8]? Calling upon us to do as Donar would and fix this world?","Sempre que vemos a estrela carmesim, algo grande está por vir. Algo muito grande. Que muda o curso da história.\! Acha que a estrela está falando conosco, \n[8]? Pedindo que façamos como Donar faria e consertar este mundo?"
Ugh...\| It's just...,Ah...\| É que...
Yeah... sure. That's probably what it is.,Sim... claro. Provavelmente seja isso.
"Heh... \| Thank you for humoring me, \n[8].","Hehe... \| Agradeço por me animar, \n[8]."
