ENGLISH,PORTUGUÊS (BRASIL)
"Let us raise a glass, to my friend, \n[8]!",Um brinde! A \n[8]!
"Bet you all thought, \n[5] wouldn't make it this far, now ready to lead \n[27] first squad into battle. But I knew better!",Aposto que todos acharam que \n[5] não chegaria tão longe! E agora lidera seu primeiro esquadrão para batalha. Mas eu sabia!
"Not in the celebrating mood, \n[8]?","Não está com humor para comemorar, \n[8]?"
There's a lot on the line... the Empress's life is in our hands.,Há muito em jogo... a vida da Imperatriz está em nossas mãos.
I'm not worried. I doubt these guys can keep up with you.,Isso não me preocupa. Duvido que esses caras consigam te acompanhar.
...It helps having a one man army in our midst.,... Ajuda ter um exército de uma pessoa só entre nós.
I'm just a man. We've got the gods on our side.,Sou só um homem. Temos os deuses do nosso lado.
"I'm going to trust in my soldiers, not some idea. Don't tell me you believe in those fairy tales now?","Confiarei em meus soldados, não em um ideal. Não me diga que agora você acredita nesses contos de fadas..."
"Don't underestimate the power of ideas. Look at how this empire's starting to forget the ideas that built it.\! With a proper leader, people would again feel a part of something. There would be no generals going rogue...","Não subestime o poder dos ideais. Veja como este império está começando a esquecer os ideais que o construíram.\! Com a liderança certa, as pessoas voltariam a se sentir parte de algo. Não haveria generais traiçoeiros..."
"We've come a long way since the Academy, but now we face the real thing. Come, \n[8], let's brush up a bit.","Foi uma boa jornada desde a Academia, mas agora enfrentamos o perigo real. Venha, \n[8], vamos refrescar a memória."
"\c[1]Imperial Army Encampment, Eastwall Province\|\|\|\|\|\^","\c[1]Acampamento do Exército Imperial, Província de Muralheste\|\|\|\|\|\^"
