ENGLISH,PORTUGUÊS (BRASIL)
Chapter 20-C: No Mercy for the Merciful,Capítulo 20-C: Sem Misericórdia aos Misericordiosos
Hundreds of children have been brought here...,Centenas de crianças foram trazidas aqui...
"The Zanatus cult way of life is perverse, so they must indoctrinate children, the only way to create a like-minded generation.\! These people...\| if left unchecked, they'll transform the whole world into mindless drones to serve their purposes.\! And they have time on their side.\! If we win this war, there will be no mercy for them...\| I'll make sure they and their ideas are extinct forever.","O estilo de vida do culto de Zanatus é perverso, então eles doutrinam crianças. O único jeito de criar uma geração que pensa igual.\! Essas pessoas...\| se ninguém monitorar, eles transformarão o mundo todo em máquinas sem pensamentos para servir aos seus propósitos.\! E eles tem o tempo a seu favor.\! Se ganharmos esta guerra, não haverá misericórdia pra eles...\| Vou garantir que eles e suas ideias sejam extintas para sempre."
The Sisterhood of Mercy...\| fighting for the enemy?!,A Irmandade da Misericórdia...\| lutando para o inimigo?
...What?!\! Probably being blackmailed... as if I needed more reason to wipe these guys out!,... O quê??\! Provavelmente sendo chantageados... como se eu precisasse de mais motivos para eliminar essa corja!
"\n[8], please do not take the lives of my Sisters...\| If we defeat the cultists...","\n[8], por favor, não tome a vida de minhas irmãs...\| Se derrotarmos os adoradores..."
I hear you.\! Let's hope the bad guys haven't made that impossible.,Lhe darei ouvidos.\! Vamos esperar que os caras maus não tenham tornado isso impossível.
Edelia!,Edelia!
Sister Diana...\| My shame is boundless.\! Please forgive me...,Irmã Diana...\| Minha vergonha não tem fim.\! Peço que me perdoe...
"You kept yourself alive.\! For that you need not be forgiven.\! Come with me, Edelia... may we never part again.","Você se manteve viva.\! E, por isso, você não precisa ser perdoada.\! Venha comigo, Edelia... que nunca mais nos separamos."
"...I will, Sister!\! How I have longed to fight by your side!","... Eu irei, Irmã!\! Como esperei para lutar ao seu lado!"
Aaaaaaggghhh!!!!!\! Edelia?!!,Aaaaaaggghhh!!!!!\! Edelia??
Bloody hell...,Maldição...
What have we done?!\! Diana...,O que fizemos??\! Diana...
