ENGLISH,PORTUGUÊS (BRASIL)
Chapter 1: Rebellion,Capítulo 1: Rebelião
"Good, looks like they haven't sent much out yet.","Ótimo, parece que eles ainda não enviaram muitos."
"You should take these guys out to get some battle experience.\! You can move your squad next to the enemy soldiers and attack.\! If you run into trouble, I'm right behind you.","Você deveria levá-los para ganhar mais experiência em batalha.\! É possível deslocar seu esquadrão para próximo dos soldados inimigos e atacar.\! Caso encontre problemas, estarei logo atrás de vocês."
"Take a break, Zelos, I've got this!","Dá um tempo, Zelos, eu dou conta!"
"We took some damage in that fighting, but we can heal it back by having Support units, such as the Medic in your squad.\! While they cannot attack, Support units help greatly to keep soldier losses to a minimum.","Recebemos danos naquela luta, mas poderemos nos curar se tivermos unidades de Apoio, como a Médica em nosso esquadrão.\! Apesar de não poderem atacar, as unidades de Apoio ajudam bastante a conter as perdas de soldados a um mínimo."
"Next, we need to capture that town, so we can liberate it from the rebels.\! Move any Squad to the town's front gate, and ""Seize"".","Em seguida, precisamos capturar aquela cidade, então precisamos libertá-la dos rebeldes.\! Mova qualquer Esquadrão para o portão dianteiro da cidade e “Tome”."
"Good, we liberated a town, and got some Gold and Faction XP (stars) for our trouble.\! We'll need Gold for a lot of things. Recruiting new troops, hiring Mercenaries, buying Artifacts, among others.\! Faction XP allows us to increase Faction Rank.\! As Faction Rank increases, our reputation will improve among the people.\! This will yield better shop prices, discover new technology, attract new recruits, and intimidate our enemies.\! The squad who captures objectives gets Leadership (LDR) and Loyalty XP as well!","Ótimo, libertamos uma cidade e recebemos Ouro e EXP de Facção (estrelas) pelo nosso esforço.\! Precisaremos de Ouro para diversas coisas. Recrutar novas tropas, contratar Mercenários, comprar Artefatos, entre outras coisas.\! EXP de Facção permite que aumentemos a Classificação de Facção.\! Conforme a Classificação de Facção aumenta, nossa reputação também aumenta entre as pessoas.\! Isso possibilitará melhores preços em lojas, descobrir novas tecnologias, atrair novos recrutas e intimidar nossos inimigos.\! O esquadrão que captura os objetivos também ganha Liderança (LID) e EXP de Lealdade."
"The Imperial Army has already arrived...\| much sooner than I expected.\! Wolfgar, I'm trusting you to lead our troops here.\! If you hold the river fortress, we should be safe here.","O Exército Imperial chegou...\| muito antes do que eu esperava.\! Wolfgar, confio em você para liderar nossas tropas aqui.\! Se você mantiver a fortaleza do rio, provavelmente ficaremos a salvo aqui."
"I'll make them regret coming here, don't worry, General.","Farei com que se arrependam de vir aqui. Não se preocupe, General."
"Looks like we made it just in time!\! Are you ready for this, Sybil?","Parece que chegamos na hora certa!\! Pronta, Sybil?"
