ENGLISH,PORTUGUÊS (BRASIL)
Chapter 30: Armageddon,Capítulo 30: Fim do Mundo
"If only you knew how mistaken you are, Zanatus...\| But you will know soon enough.","Se ao menos soubesse o quão errado está, Zanatus...\| Mas, em breve, saberá."
"Much has changed since last we did battle, Donar.\! Before the first war, humanity was united in banner and in faith.\! Now, your people are born lost and without purpose.\! Although this has made you easy to manipulate, it tempts me to put your species out of its misery, and render your kind extinct forever.","Muita coisa mudou desde a nossa última batalha, Donar.\! Antes da primeira guerra, a humanidade estava unida sob a mesma bandeira e a mesma fé.\! Agora, seu povo nasce perdido e sem propósito.\! Apesar de isso tê-lo deixado fácil de manipular, fico tentado a tirar sua espécie da miséria e trazer a extinção da sua raça."
"Watch out, he's winding up to swipe us with those claws... don't stand in their path!","Tome cuidado, ele está prestes a nos atingir com aquelas garras... não fique no caminho delas!"
"It is quite the gambit, coming here, to the Divine Realm, the bridge between what you know to be your home, and the endless darkness beyond this fragile barrier.\! I would admire such boldness if from anyone else!","É uma grande aposta vir aqui, para o Reino Divino, a ponte entre o que você sabe ser seu lar e a escuridão sem fim além desta barreira frágil.\! Eu admiraria tal ousadia se fosse de qualquer outra pessoa!"
"Damn, nothing can get through that shield.\! Stop those reinforcements from overwhelming us, and avoid those hot spots - he's targeting them with his magic!",Droga. Nada atravessa aquele escudo.\! Impeça aqueles reforços de nos sobrecarregar e evite aqueles pontos quentes. Ele está mirando neles com sua magia!
"Everyone, we need to destroy those soldiers quickly.\! He's trying to absorb them and gain more power!","Pessoal, precisamos destruir aqueles soldados rapidamente.\! Ele está tentando absorvê-los e ganhar mais poder!"
"Do you know how much I pity your kind, \n[8]?\! I have watched your supposed greatest minds try to make sense of your history.\! I have seen your institutions lie to your great masses, under the guise of maintaining peace and control.\! Despite this, how little control has your kind ever had.\! Your fates are pre-determined, and history will see me as the great truthteller - the one who saved humanity from its own hubris!","Você sabe quanta pena eu sinto da sua espécie, \n[8]?\! Eu vi as suas “grandes mentes” tentar dar algum sentido para sua história.\! Vi suas instituições mentir para as grandes massas, sob o pretexto de manter a paz e o controle.\! E, apesar disso, sua espécie quase não teve controle.\! O destino de vocês foi predeterminado e a história me verá como o grande contador da verdade, aquele que salvou a humanidade de sua própria arrogância!"
"Yes. You have done enormous damage to our kind.\! It will take many generations to repair.\! Perhaps, it never will happen after so many centuries of spilling our own blood - wasted blood.","Sim. Vocês causaram um dano surpreendente à sua própria espécie.\! E levará muitas gerações para reparar.\! Quem sabe, isso nunca acontecerá depois de tantos séculos derramando nosso próprio sangue... sangue jogado fora."
"But now, we know how to recapture our destiny. All we needed was to see and know the enemy... and it is within us.\! You and your cult have poisoned and manipulated us, but you overestimate your power.\! When you are dead, more just like you will continue to weave chaos, but our fate will once again be ours to decide.\! ...Do you feel that, Zanatus?\! I know you can.\! Surely you feel how my heart is at peace.\! Even if I die today, I've fulfilled my purpose - I've awoked my kind to who you are, and I will rest in peace knowing your grip on humanity is broken, forever.","Mas, agora, sabemos como recuperar nosso destino. Tudo que precisamos era ver e conhecer o inimigo... e ele está entre nós.\! Você e seu culto nos envenenaram e nos manipularam, mas superestimaram seu próprio poder.\! Quando você estiver morto, provavelmente continuará a tecer o caos, mas nosso destino será mais uma vez nosso para decidir.\! ... Consegue sentir, Zanatus?\! Sei que consegue.\! Certamente, sente como nosso coração está em paz.\! Mesmo se eu morrer hoje, eu cumpri o meu propósito. Acordei meus iguais para quem você é e descansarei em paz sabendo que sua mão na humanidade se quebrou, para sempre."
"\n[8]...\|\| I imagine you foresaw this.\! In the end, I have served my purpose.\! And to a far, far greater power, I will be of use.\! And then, the races of this little realm will understand the meaning of humility...","\n[8]...\|\| Imagino que tenha previsto isso.\! No fim, eu servi ao meu propósito.\! E a um poder muito, muito maior, serei útil.\! E, então, as raças deste pequeno reino entenderão o significado de humildade..."
