ENGLISH,PORTUGUÊS (BRASIL)
Might I steal a few moments of your time?,Posso roubar alguns minutinhos do seu tempo?
"Of course, Lysander.\! Though, I am not as interesting as \n[8], so I fear you will be disappointed.","É claro, Lysander.\! Apesar de que, não sou tão interessante quando \n[8], então acredito que vá se desapontar."
"As you may know, I am not a devotee to the Donari doctrine.\! And you are famed for being perhaps the strictest adherent alive.","Como sabe, não sou uma devota da doutrina de Donar.\! E você é famoso por ser, talvez, o seguidor mais estrito vivo."
One could say that...,Poderia se dizer isso...
"May I ask,\| do you see your beliefs as the most correct, and righteous?\! Compared with, for example, the Followers of Zanatus?","Queria perguntar,\| você vê suas crenças como as mais corretas e justas?\! Quando comparadas com, por exemplo, os Seguidores de Zanatus?"
"The Followers of Zanatus are wicked, and the wicked shall be crushed. It is very simple.","Os Seguidores de Zanatus são perversos, e os perversos devem ser trucidados. É bem simples."
"Indeed...\| And if you were to read the minds of these Zanatus worshipers, what do you think you would see?\! Would they not have the same adversarial conviction?\! That, perhaps, these adherents to Zanatus act and live with their own sense of righteousness?","Verdade...\| E se pudesse ler as mentes desses adoradores de Zanatus, o que acha que veria?\! Eles não teriam a mesma convicção contraditória?\! Assim, quem sabe, esses seguidores de Zanatus ajam e vivam com seu próprio senso de retidão?"
"These ponderings are a little dull to me.\! Some things are, and some things aren't.\! No need to play Devil's Advocate all the time.","Essas ponderações são um pouco maçantes para mim.\! Algumas coisas são, outras, não.\! Não precisa bancar a advogada do diabo o tempo todo."
I... suppose I have become quite the nuisance to you now.,Acho que... acabei me tornando um incômodo para você agora.
"It's alright. Philosophers often wish to question the intensity of the Temple's resolve.\! After you have witnessed how the Zanatus cultists conduct themselves, you will no longer see them as misunderstood outcasts.\! At the risk of sounding curt...\! It's best you just let me fulfill my role in peace, knowing that you can continue to live in a world in which you won't be burned alive for having divergent thoughts.","Está tudo bem. Filósofos frequentemente almejam questionar a intensidade da resolução do Templo.\! Após ter testemunhado como os adoradores de Zanatus se conduzem, não dá mais para vê-los como párias incompreendidos.\! Arriscando soar breve demais...\! É melhor os me deixar cumprir meu papel em paz, sabendo que você pode continuar a viver em um mundo no qual não será queimada viva por ter pensamentos divergentes."
...I must say this conversation has far exceeded my expectations.,... Devo dizer que esta conversa ultrapassou e muito minhas expectativas.
Your expectations?,Suas expectativas?
Oh...\| you know... I didn't mean...,Ah...\| Você sabe... Eu não quis dizer...
"So...\! Me Diana, me like smash bad guys.","Então...\! Mim, Diana, mim gostar de esmagar caras maus."
Heh heh... point taken.\! I shall leave before I embarrass myself further...,Hehehe... Entendi.\! Devo ir antes de me envergonhar mais ainda...
