ENGLISH,PORTUGUÊS (BRASIL)
Y'always wanted to say you were the best sword in the world.\! I wager ya probably earned that title by now.,Você sempre quis dizer que era a melhor espada do mundo.\! Aposto que você provavelmente ganhou esse título agora.
"Master Seargent.\! Perhaps, but that was a different time.","Primeiro Sargento.\! Quem sabe, mas eram outros tempos."
It's real funny hearin' you still call me that.\! Bein' that you're a livin' nightmare now.\! Feels like a higher rank than Master Seargent.,É muito engraçado ouvir você ainda me chamar assim.\! Sendo que você é um pesadelo vivo agora.\! Parece um posto mais alto do que o Primeiro Sargento.
"...Barnabas. There are two people in this world who'll always have my blade guarding their lives.\! \n[8], and you.",... Barnabas. Há duas pessoas neste mundo que sempre terão minha espada protegendo suas vidas.\! \n[8] e você.
"I'm touched, kid.\! I think I'd sooner ya kill me yerself than I boast about havin' a bodyguard like you.","Estou comovido, garoto.\! Acho que prefiro que me mate do que me gabar de ter um guarda-costas como você."
...So I've always held back my words when it came to you.\! Out of respect.,... Então... Sempre segurei minhas palavras quando se tratava de você.\! Por respeito.
"Words'll not hurt me, boy.\! What's on yer mind?","Palavras não vão me machucar, garoto.\! O que passa na sua cabeça?"
You'll never see the world you want.\! Never.,Você nunca verá o mundo que almeja.\! Nunca.
"Yeah, what's it to ya?\! Doesn't mean I can't fight for it.\! Better'n the alternative, slaughterin' innocents for some insane cause.","É, e daí?\! Não significa que não possa lutar por isso.\! Melhor do que a alternativa, matar inocentes por alguma causa insana."
"I've always hated people who think like you, Barnabas.\! You think your noble pursuit of peace is actually going to work?\! Perhaps for a short time, before the inevitable regression back to conflict.","Sempre odiei pessoas que pensam como você, Barnabas.\! Você acha que sua nobre busca pela paz vai funcionar?\! Talvez por um curto período, antes da inevitável regressão ao conflito."
"Nothin' a good war'll fix, right?","Nada que uma boa guerra não resolva, certo?"
"People are at their best when they are called to a cause.\! Without a dragon to slay, we sink into degeneracy.\! Case in point, squabbling, clueless nobles creating the conditions for the Succession War.\! A war in which you fought, and took many lives.\! A war that could have been avoided, had we not lapsed into complacency - enough so to allow such lowlives to reach the halls of power.\! But I know I'll never convince you.","As pessoas dão o seu melhor quando são chamadas para lutar por uma causa.\! Sem um dragão para matar, afundamos em degeneração.\! O caso em questão foram nobres briguentos e sem noção criando as condições para a Guerra de Sucessão.\! Uma guerra na qual você lutou e tirou muitas vidas.\! Uma guerra que poderia ter sido evitada, se não tivéssemos caído na complacência o suficiente para permitir que esses desprezíveis alcançassem os salões do poder.\! Mas eu sei que nunca vou convencê-lo."
"Ya got that right, kid.\! Brain's too old to make heads or tails of what yer sayin'.\! Sounds more up \n[8]'s alley, heh heh.","Nisso você tem razão, garoto.\! O cérebro está muito velho para entender o que você está dizendo.\! Parece mais a praia de \n[8]. Hehe."
"Take care, Master Seargent.\! You're a good man.\! It's too bad things turned out this way.","Cuide-se, Primeiro Sargento.\! Você é um bom homem.\! Pena que as coisas acabaram assim."
