ENGLISH,PORTUGUÊS (BRASIL)
Chapter 28: Downfall,Capítulo 28: Queda
Can't believe this...,Não consigo acreditar...
There is no death painful enough for him...,Não há morte dolorosa o suficiente para ele...
"Bah, I don't think they realize who they're messin' with.\! Me thinks it's the bad guys who need savin'.",É... Não acho que eles tenham percebido com quem estavam mexendo.\! Penso que são os caras maus que precisam ser salvos.
Don't be so sure. They found her one weakness.\! They'll kill her and she'll let them if we aren't smart about this...,Não tenha tanta certeza disso. Eles encontraram a única fraqueza dela.\! Eles a matariam e ela permitiria isso se não fôssemos espertos em relação a isso...
"Your death would serve no purpose, child.\! Wait here for your mother.",Sua morte não teria valor algum.\! Espere aqui por sua mãe.
...I will...,... Eu vou...
You must have a death wish trying to imprison me!,Você deve mesmo querer morrer por me prender!
What are you doing here?!\! My Alex!!,O que você está fazendo aqui??\! Meu Alex!!
I know when I am outmatched... we will meet again.\! The boy is unharmed.,Sei quando sou derrotado... nos encontraremos novamente.\! O garoto está bem.
Where's my mom?!,Cadê a minha mãe?
What are you doing here?!\! Where is my Alex?!,O que você está fazendo aqui??\! Onde está o Alex?
"We got 'im.\! Safe and sound.\! Let's finish this up, eh?",Estamos com ele.\! Ele está bem.\! Vamos acabar logo com isso.
...Donar's mercy...,... Pela misericórdia de Donar...
Mom!!!,Mãe!!!
Casamir...,Casamir...
