ENGLISH,PORTUGUÊS (BRASIL)
"Reporting in, fearless leader.\! With a gift, to...\| Express this loyal soldier's quality.","Reportando, intrépida líder.\! Com um presente, para...\| Expressar a qualidade deste leal soldado."
Stefan! This amulet is...\| beautiful. I have never seen anything so intricately detailed.\! It must be worth a king's ransom!\! How did...,Stefan! Este amuleto é...\| lindo. Nunca vi algo tão detalhado.\! Deve valer o resgate de um rei!\! Como você...
Stefan.....,Stefan...
All's fair in love and war.\! This is war isn't it?,"Tudo vale no amor e na guerra.\! Isso é uma guerra, não é mesmo?"
"Hmph, well I trust your poor target had it coming.\! Uh.... thanks.\! I'll see how much we can get for it.","Hunf. Bom, acho que seu pobre alvo já deveria esperar.\! Ah... agradeço.\! Verei quanto conseguimos por ele."
"I would ask that the lady chooses instead to keep it.\! Please, do. It is a gift from me.","Gostaria de pedir que a senhorita, em vez disso, optasse por guardá-lo.\! Por favor. É um presente meu."
"You stole this to give to me as a gift?\! I'm flattered, but I'd really rather...","Você roubou isso para me dar de presente?\! Fico lisonjeada, mas prefiro que..."
"\n[8], you hurt me.\! Truly and deeply.\! This treasure was not stolen - is that what you think I am? Some sort of pickpocket?\! This was given to me long ago, by someone who wished to express their fondness.\! Stolen... the nerve!","\n[8], você me fere.\! Verdadeira e profundamente.\! Este tesouro não foi roubado. É esse tipo de pessoa que pensa que sou? Algum tipo de trombadinha?\! Isso me foi dado há muito tempo, por alguém que desejava expressas seu afeto.\! Roubado... que coragem!"
"You're being sincere, aren't you?\! I-I can't possibly accept such a treasure.\! This has sentimental value to you...","Você está sendo sincero, não está?\! Eu... eu não posso simplesmente aceitar um tesouro assim.\! Isso tem valor sentimental para você..."
"Then throw it into the ocean.\! And while you're at it, you can reach into my chest, rip out my beating heart and toss it as well.\! \n[8]... you've grown so close with the likes of me, do not tell me it is all for naught.","Então jogue-o no oceano.\! E quando estiver lá, pode abrir o meu peito, arrancar meu coração batendo e também jogá-lo lá.\! \n[8]... você cresceu tão próxima daqueles iguais a mim, não me diga que foi tudo por nada."
Stefan...\! I have thought about you so much lately.\! But... another comes to mind.,Stefan...\! Tenho pensado tanto a seu respeito ultimamente.\! Mas... outra pessoa me vem à mente.
Another?!!\! Who is this rapscallion?\! I will show you I am the better man...!!!,Outra pessoa??\! Quem??\! Vou lhe mostrar que sou o melhor homem...
"It's Diana.\! My confidant, and my dear friend.\! You mean a lot to her.\! And don't try and deny it.",É Diana.\! Minha confidente e querida amiga.\! Você significa muito para ela.\! E não tente negar.
"Won't deny it...\! We have been together for years.\! She keeps me on a good path.\! So no, not gonna try to convince you otherwise.","Não nego...\! Estivemos juntos por anos.\! Ela me mantém em um bom caminho.\! Então, não, não tentarei convencê-la do contrário."
"What I will try to convince you is to see me as a man who can redefine your life.\! Never before have I met such an intrepid spirit, \n[8].\! Ever since we've met, we've had each others' backs through everything these jokers have thrown at us.\! And we're still here, 'live and kicking.","O que tentarei convencê-la é a me ver como um homem que pode mudar sua vida.\! Nunca antes encontrei uma alma tão intrépida, \n[8].\! Desde que nos conhecemos, cuidamos um do outro por tudo o que esses palhaços nos fizeram passar.\! E ainda estamos aqui. Vivos e lutando."
"That we are...\! Stefan, you could have any woman.\! You are charming, funny, adventurous, kind-hearted, the whole package!","Isso nós somos...\! Stefan, você poderia ter qualquer mulher.\! Você é charmoso, divertido, aventureiro, bondoso... o pacote completo!"
"Yet here I am, fallin' hard for you.\| Hey, what do you say you and I get into a little trouble?","Ainda assim, cá estou eu, perdido por você.\| Ei, que me diz de você e eu nos metermos em algum problema?"
Wha... right now?!,O quê... agora?!
...I mean trouble quite literally!\! Word is there's a filthy rich man caravaning through these parts.\! He got in real good with the Imperials throwing his coin around.\! Whaddya say we...,... Quero dizer problema meio que literalmente!\! Dizem que há um homem podre de rico em uma caravana por essas bandas.\! Ele tem se dado bem com os imperialistas distribuindo suas moedas por aí.\! O que me diz de nós...
"Say no more, thief.\! I've got your back.\! Let's raise some hell.","Não diga mais nada, ladrão.\! Eu cuido da sua retaguarda.\! Vamos fazer um inferninho."
Aha!! Yes!! Now we're talking!!,A-há!! Sim!! Disso que eu tava falando!!
