ENGLISH,Russian
"Stefan, a moment?","Стефан, можно тебя на минутку?"
"\n[8]! Of course! Although I warn you, I am nursing my 3rd glass of brandy, so I preemptively strike from the record any incriminating statements.\! What can I do for you, friend?","\n[8]! Ну разумеется! Но предупреждаю, у меня тут уже третий бокал бренди, так что всё сказанное мной заведомо не для протокола.\! Чем могу быть полезен, дружище?"
"You are working with the Temple as a spy, I understand?","Я так понимаю, ты работаешь шпионом в Храме?"
"Yep. Y'see, the blonde and I are in cahoots, as they say.","Ага. Мы с блондиночкой работаем вместе, так сказать."
You mean Diana.,В смысле с Дианой?
"Yes! That's the one.\! Ya know, the one that's got a big ole' muscle where Donar usually puts a sense 'a humor.\! ...Ah what am I sayin', she's a big goofball if you let her relax a bit.\! Wanna get on her good side in a flash? Food. Even mentioning it makes her eyes sparkle with glee.","Ну да! С ней, родимой.\! Видишь ли, ей Донар щедро отсыпал мышц, но при этом пожалел чувства юмора.\! ...Но если дать её расслабиться, она белая и пушистая.\! Хочешь быстро ей угодить? Всё просто: предложи покушать. У неё от одного упоминания еды глаза загораются."
"Heh, noted. So, you're risking your life on the Temple's behalf, are you a devotee?",Буду иметь в виду. Так ты рискуешь жизнью ради Храма. Неужели ты такой ревнитель веры?
"Well... Let me bring ya back 2 or 3 years.\! Got tired of the junk peddlin', purse cuttin', y'know, small time stuff.\! Got involved with the Tidereavers. Real bad fellas.\! Let me tell you, bein' THAT much of an outlaw is the thrill of a lifetime.\! That is, until you get involved with... y'know. Their primary cargo. Slaves!","Ну смотри... кем я был 2–3 года назад.\! Сперва банчил всяким хламом, кошельки таскал, но потом надоело.\! Связался с пиратами Тайдривера. Те ещё злодеи.\! Преступники до мозга костей, сам чёрт им не брат.\! Увлекательно, аж дух захватывает. Пока не доходит дело до их… ну, основного товара. Рабов!"
Crazy...\| So what happened?,Жуть...\| Ну и что было дальше?
"They were shippin' slaves to the fungus plantations of Greyden.\! A common source of income for those dogs.\! I, however, was able to help myself to the captain's jewel chest while they were dealin' with a ""policing action"" by the Veridians.\! Almost slipped away, but then... I saw her.\! That towering titaness of terror. She came out of the Imperial ships barrellin' around, smashin' those pirates like they were gnats.\! I tell ya, you would not believe it if ya didn't see it!","Короче, они поставляли рабов на грейденские грибные плантации.\! Так уж эти сволочи на жизнь зарабатывают.\! Ну, я как-то раз дождался, пока все пираты будут заняты стычкой с «законниками» Веридии, и поживился из капитанского сундука с добычей.\! Почти что успел ускользнуть, как вдруг... вижу её.\! Настоящая богиня войны. Сошла с имперского корабля, расшвыривая пиратов как детей.\! Просто необычайное зрелище, тебе такое и не снилось!"
So how did you end up crossing paths with her?,И как же ваши дороги пересеклись?
"Well... y'see...\! She caught me! Hahaha!\! But, no worries, this slippery toad avoided jail, as usual.","Блин... короче...\! Поймала она меня и всё! Ха-ха-ха!\! Но ты не волнуйся, для тюрьмы я слишком скользкий."
"Aha... snuck away, huh?","Ага... удрал, значит?"
"Yeah!\! Well...\| no.\! Y'see Diana and I made an agreement!\! She needed masters of espionage to investigate those cultists.\! So, I do some dirty work, and she keeps me nice and legal.\! Turns out, we're a hell of a team.\! Plus, I've found me new family in the Temple folks.\! Real bleedin' nice, I tell ya.","Ну да!\! То есть...\| нет.\! В общем, мы с Дианой договорились!\! Ей нужны были хорошие шпионы, чтобы внедриться в культ.\! Я вызвался проделать кое-какую грязную работёнку, ну а она меня отмазала перед законом.\! Оказалось, мы обалденно работает в команде.\! А ребята из Храма стали для меня новой семьёй.\! Вот так, одно к одному и сложилось."
"That's quite a story.\! And now you're here, chasing prophecies with me.",Вот это история.\! А теперь мы тут с тобой за пророчествами гоняемся.
"It's gonna be one hell of a ride, friend!\! Hey, I think you're alright. I mean that.\! You got my back, I got yours.\! 'Specially if you can secure me another spot of brandy, eh, eh?","Всё будет тип-топ, дружище!\! Ты меня полностью устраиваешь.\! Я прикрываю тебя, ты меня. Сработаемся.\! Особенно если ты меня угостишь ещё бренди, хе-хе."
