ENGLISH,Russian
"\c[1]Embor Palace, throne room of Duke Jaromir\c[0]","\c[1]Дворец Эмбор, тронный зал герцога Яромира\c[0]"
"Ah... we finally meet.\! The Duchy of Embor is restored, thanks to...",Наконец-то мы повстречались.\! Герцогство Эмбор восстановлено благодаря...
By the Avatars...,Клянусь Аватарами...
You are...,Это ты...
\n[8].\! I take it you are Duke Jaromir?,"\n[8].\! А ты, надо думать, герцог Яромир?"
"What the...\| Guess I look the part, huh?","Какого...\| Я что, так эффектно выгляжу?"
"Donar stands before me.\! How can I not kneel before you?!\! You are here, more than just a myth or a legend...\! This is the foremost moment in my life...","Сам Донар стоит передо мной.\! Как я могу не склониться перед тобой?\! Ты больше, чем просто миф или легенда...\! Это важнейший момент моей жизни..."
"Alright, alright, let's just be people here...","Ну довольно, давай уже по-человечески как-нибудь..."
"You have come to our world to destroy evil.\! There is no other possibility... please, allow me to join the ranks of your army, holy Donar...","Твоя миссия в этом мире — сокрушить зло.\! По-другому быть не может... прошу, позволь вступить в ряды твоей армии, о святой Донар..."
"I don't have much of an army yet.\! But I know there are many people out there just like you, waiting for the opportunity to strike back.","Пока что армии особо никакой нет.\! Но я точно знаю, что многие люди, как и ты, выжидают, готовые восстановить справедливость."
"It's quite a risk, the Empire's going to want your hide...",Но это рискованно. Империя начнёт охотиться на тебя...
"My lands, my resources, and my own blade are at your disposal, holy Donar.\! My soldiers are the most resolute in all of Veridia.\! Please, give us our divine mission at once!","Мои земли, мои ресурсы и мой клинок — в твоём распоряжении, о святой Донар.\! Мои бойцы самые отважные во всей Веридии.\! Прошу, отправь нас выполнять священную миссию во имя тебя!"
"Please don't bow to me.\! We're not the Empire, we're the free people of Veridia.\! Let's see what the famed warriors of Embor can do on the battlefield!","Не нужно мне кланяться.\! Мы не Империя, а свободные люди Веридии.\! Посмотрим, на что способны на поле боя знаменитые эмборские воители!"
