ENGLISH,RUSSIAN
"'Ey there, poindexter! Boy am I relieved you're still in one piece!","Здарова, ботаник! Молодец, что не отправился на тот свет. Рад тебя видеть!"
...Really?,...Кроме шуток?
"Well yeah! You're the man with all the answers.\! Doesn't even matter what subject, y'can always get a little dose of enlightenment from talkin' to Lysander.\! This, guy... haha... welcome back to the club!","Ну конечно! У тебя ведь на всё всегда ответы есть.\! По любому вопросу можно обратиться к Лисандеру, и всегда знаешь, что получишь грамотный ответ.\! Ну ты это... ха-ха... с возвращением, короче!"
"Thanks.\! Though I must disagree. The more time goes by, the more I realize I do not know.","Спасибо.\! Вот только у меня сомнения на этот счёт. Чем дальше, тем больше я понимаю, как же мало знаю."
"Heh, yeah whatever.\! Hey, speakin' o that, I was wonderin'. Why don't we just make a bunch'a those airships, and just drop bombs on the bad guys?\! No fuss no muss, easy win. Right??","Ну как скажешь.\! Слушай, давай провентилируем одну идейку? Можно ведь сколотить целый флот летучих кораблей и с них закидывать бомбами супостатов?\! Раз-два — и нет врага! Как тебе??"
"It's been a long time since we used airships as weapons, and for good reason.\! For the price of one airship, one could instead equip an entire army with cannons.\! Because of the prohibitive costs, and because of recent developments such as firearms and war dragons, airships have become ""White elephants"" in war.","Мы давно не используем летучие корабли в военных целях, и не просто так.\! Дешевле целую армию вооружить пушками, чем построить один такой корабль.\! Помимо запредельно высокой стоимости, в последнее время в бою широко используется огнестрельное оружие, а также драконы. Вот почему летучие корабли в современной войне стали «белыми слонами»."
"White elephants? Ya mean like pink elephants, m'friend?","Белыми слонами? Ты, наверное, хотел сказать «розовыми слонами», дружище?"
"Heh...\! White Elephants meaning, they're too valuable to risk losing.\! And that makes them virtually useless in a combat role.\! They are, in essence, expensive toys that have no place in a serious battlefield.\! However, when modified to serve as an armored transport, they can be invaluable. And that's just how we'll be using them.","Эм...\! Выражение «белый слон» означает что-то очень дорогое, но бесполезное.\! И они как раз бесполезны в бою.\! Просто дорогие игрушки, которым нет места в сражении.\! Однако их можно оснастить бронёй и использовать в транспортных целях. Тогда они дадут нам неоценимое преимущество в войне."
"See what I mean?\! ALL the answers! Love this guy!\! Hey, that airship got a mini-bar somewhere?\! I'm feelin' overdue, 'n mighty thirsty.","Я же говорил!\! Ответ на ЛЮБОЙ вопрос! Ну ты красавчик!\! Слушай, а на летучих кораблях выпивку подают?\! Мне бы не помешало горло промочить."
"Hmmm, I believe that would be an acceptable modification.\! If you believe it will enhance our army's morale.","Думаю, это можно устроить.\! Для поднятия боевого духа так сказать."
"Now we're talkin', haha!",Ха! Великие умы мыслят одинаково!
