ENGLISH,RUSSIAN
Jaromir...?,Яромир?..
Right then. I shall return another time.,"Простите, я потом зайду."
"Jaromir, have I offended you?","Яромир, вы на меня за что-то обижены?"
"Would that you did, lady Ragavi...\| it would be a blessing.","Ни в коем случае, леди Рагави...\| грех даже думать об этом."
You...\| you wish not to see me?,Вы...\| не желаете со мной общаться?
Then I shall retire for the evening...,"Тогда я, пожалуй, пойду..."
Wait...,Не уходите...
I never told you. I...\| never felt it was necessary. But...,Я вам никогда не рассказывал. Я...\| не видел в этом необходимости. Но...
What is it?,Но что?
"Her long, raven black hair. Her smile, like the Emborian sunrise. Her manner, that of the most stately noble.\! She was to walk this life by my side.","Её чёрные длинные волосы. Её сияющая улыбка, подобная эмборийскому восходу. её чудесные благородные манеры.\! Я мечтал провести с ней всю жизнь."
"Who is this, Sir Jaromir?","О ком вы говорите, сэр Яромир?"
I fought with all the spirit I could summon. I travelled Tahnra in a bargain for a cure. But I could not save her from her sickness.,Я боролся до последнего. Я объездил всю Танру в поисках лекарства. Но болезнь всё же забрала её у меня.
By Donar. She must have been quite precious to you.\| I've not seen this side of you...,"Великий Донар. Должно быть, у вас к ней были потрясающие чувства.\| Я никогда прежде вас таким не видела..."
It has been far too many years. I am a fool for holding onto these thoughts. For letting them guide my heart now...,"Прошло уже так много лет. Глупо держаться этих воспоминаний. Я дурак, что позволяю этим чувствам двигать мной и сейчас..."
A fool? How could you speak of yourself so? You lost someone close to your heart...,Дурак? Зачем вы так о себе говорите? Вы потеряли любимого человека...
"No, not for that reason...","Нет, я не потому так говорю..."
"""Long, black hair...""\! ...\| Sir Jaromir...",«Чёрные длинные волосы...»\! ...\| Сэр Яромир..
"Now, you see. You see why I am a fool.\! How can a man fall prey to the past...","Ну вот. Вы теперь тоже считаете меня дураком.\! Как я и сказал, глупо жить прошлым..."
"It's alright. Please, do not judge yourself so harshly. It has been an honor to fight by your side, for your life, and now for mine. And... to know you.\! I do not see a man ruled by his past. I see a heart... open and eager.","Ничего страшного. И не стоит себя так осуждать. Для меня было огромной честью сражаться бок о бок с вами сперва за вашу жизнь, а теперь и за мою. И для меня честь... быть знакомой с вами\! Я вижу перед собой не человека, который погряз в прошлом. Я вижу сердце... которое чего-то жаждет."
This is what you see? Then...,Вы правда так обо мне думаете? В таком случае...
"Don't be afraid, Jaromir. Tell me what it is you want now...","Отбросьте страхи, Яромир. Скажите мне всё не тая..."
All this feels as though Donar has shaped our fates. How unlikely it is... yet how inevitable.\! Ragavi... let us seize upon this gift from the heavens... if you would.,"Мне кажется, что нас свёл сам Донар. Столь маловероятный союз... но столь неизбежный.\! Леди Рагави... давайте воспользуемся этим подарком судьбы... если вы тоже этого желаете."
"I would. Thank you for returning to my life, Sir Jaromir...","Желаю. Я очень рада, что вы снова вернулись в мою жизнь, сэр Яромир..."
