ENGLISH,RUSSIAN
Is he dead...??,Мы его убили?..
"Almost.\! Stay here.\! With my power, I will bury this threat forever.","Почти.\! Подожди здесь.\! Я использую свою связь с ним, чтобы окончательно добить его."
I'm sorry.\! I can't let this happen.,Прости.\! Я этого не позволю.
Do you think you can stop me?,"Думаешь, ты сможешь мне помешать?"
...\| Yes. But not by crossing blades with you.\! I've felt what's coming for a long time... this is the end of a story that you've sought to make true.,"...\| Да. Но я не собираюсь сражаться с тобой.\! У меня уже давно было предчувствие, что до этого дойдёт... Ведь ты сделал всё, чтобы воплотить в жизнь эту судьбу."
"If you want to take Zanatus's power, you'll have to kill me.","Тебе придётся убить меня, чтобы завладеть силой Занатуса."
"\n[8]...\| There is no other path for me.\! Not in this world, not in this life.\! The people of our country could not, and should not tolerate my existence.",\n[8]...\| Для меня нет иной судьбы.\! Не в этом мире и не в этой жизни.\! Мой народ не должен страдать из-за меня.
"...Then we have something in common.\! For me, it's only a matter of time.","...Понимаю, и из-за меня тоже.\! Но меня им долго терпеть не придётся."
...What?,...Что?
"Our whole lives, in these moments, you've always told me to wait and watch while you handle it.\! Now, I'm asking you to return the favor.\! Let me handle this one, Zelos.\| ...It's time for us to disappear.","Сколько мы с тобой знакомы, ты всегда говорил мне не вмешиваться и сам разбирался с проблемами.\! Теперь я прошу тебя о том же.\! Дай мне разобраться с этим, Зелос.\| ...Пора нам уйти в небытие."
"You really have surpassed me, as I'd always predicted.\! But you know, I'll never forget this.\! What you asked me to sacrifice.","Я всегда знал, что ты меня когда-нибудь превзойдёшь.\! Я этого никогда не забуду.\! Всего того, чем я пожертвовал ради тебя."
"The way I see it, we'll have plenty of time to get over it.\! Here, or in hell.","У нас будет полно времени, чтобы простить друг друга.\! Будь то здесь или в аду."
"Right then. Do what you came here to do, \n[8]...","Согласен. Ладно, делай как знаешь, \n[8]..."
