ENGLISH,RUSSIAN
"Still alive, huh?",Ты ещё не сдох?
"Hey, scumbag, I'm talkin' to you!","Эй, подонок, я с тобой разговариваю!"
"Have it your way, traitor.\! You keep not talkin' and I'll keep pummellin' ya.","Ну как хочешь, предатель.\! Пока ты строишь из себя героя, я над тобой поработаю кулаками."
"Heh heh.\! Y'know, I'm just doin me job.\! If you starve to death down here, it don't matter much to me.\! Sleep tight, prisoner.","Ха-ха.\! Такая уж у меня работа.\! Если ты тут от голода копыта откинешь, то я особо не огорчусь.\! Доброй ночи, арестант."
What the...\| You can't come down here!,Вы кто такие?..\| Сюда вход воспрещён!
Barbaric.\! How long have they let you languish in here?!,Чудовищно!\! Давно ты тут прозябаешь?
"Do not worry, my boy.\! I know what they did to you.\! We won't let them get away with it.","Не волнуйся, парень.\! Я знаю, как они с тобой обошлись.\! Это им с рук не сойдёт, мы об этом позаботимся."
Who are you?,Вы кто?
"Edmund Pendergast, financier!\! I hope you've heard the name?","Я Эдмунд Пендергаст, коммерсант!\! Надеюсь, ты обо мне слышал?"
"Yeah, you've got some money, they say.\! So what do I matter to a man like you?","Да, говорят, у вас денег куры не клюют.\! И на что я вам сдался?"
"Just know that I am a friend, and frankly, you could use one right now.\! You'll know what you need to know in time.\! You two, get him out of those chains.","Я просто хочу помочь по-дружески. А помощь тебе, как видно, не помешает.\! Остальное ты узнаешь, когда придёт время.\! Вы двое, освободите его."
