ENGLISH,RUSSIAN
"...Hey, you.",...Здравствуй.
You look well. I'm glad they've given you the freedom you deserve.,"Ты неплохо выглядишь. Приятно видеть, что тебя не держат в четырёх стенах днями и ночами."
"...\|In a sense, the guards have been agreeable.\| And of course, I am a model inmate.",...\|Охрана относится ко мне довольно хорошо.\| Ну и я им проблем не причиняю. Эдакий образцовый заключённый.
"Heh...\| yeah, I have no doubt.",Ха...\| даже не сомневаюсь.
"There is no need for discomfort on your part, \n[8].\| This is penance for my own foolish actions, and how I proposed to repay my debts to my homeland.\! I can only hope the people see it as I do.","Надеюсь, ты не чувствуешь себя неловко со мной, \n[8].\| Я расплачиваюсь за собственные ошибки, и просто счастлив, что мне дали возможность вернуть долг родине.\! Надеюсь, что другие тоже так считают."
"It seems self-imposed penance is all the rage these days, huh.",Многие винят себя в ошибках прошлого.
"Indeed, and if I may impose, yours is entirely pointless.\| You are the hero of the age.","Я-то виню себя по делу, а ты — почём зря.\| Победителей и героев не судят."
"...So, I hear your articles are really making waves.\| I mean, that's not surprising, but... you're already serving in a government position before the end of your sentence?","...Говорят, что предложенные тобой статьи конституции всех впечатлили.\| Этому-то я нисколько не удивляюсь, но... ты даже сидя в тюрьме участвуешь в работе правительства?"
"Yes. It is a largely ceremonial role for the time being, but I am humbled to know that my articles have been so well-received.\! The Proconsulate has offered me the honor of being a founding father of sorts.\! A bizarre fate for a man like me, but a responsibility I feel obligated to fulfill.","Да, пока что это неофициально, но я счастлив знать, что мои инициативы были встречены одобрением.\! Совет проконсулов дал мне возможность стать своего рода отцом-основателем нового строя, и я считаю это великой честью.\! Невероятно, что меня её удостоили после всего, что было, однако я считаю своим долгом сделать всё на высшем уровне."
"That is wonderful, Lysander.\| You deserve no less, and our country needs what you have to offer desperately.\! This is truly who you were meant to be. If I can hope one thing for my loved ones, to fulfill the purpose etched by your birth is it.","От тебя я ничего другого и не ожидаю, Лисандер.\| Ты это заслужил, и сейчас стране как никогда нужны твои таланты.\! Ты нашёл своё призвание. Я не могу не радоваться, когда любимый мной человек наконец нашёл возможность реализовать свой потенциал."
...Loved ones...,...Любимый?..
"Of course.\| Always, Lysander...\| nothing, no one could touch my life as you have.","Ну конечно.\| Я не могу не любить тебя, Лисандер...\| ведь ты оставил ни с чем не сравнимый след в моей жизни."
I wish you would renounce this love entirely.\| ...\| I wish that I could.,Тебе вряд ли стоит любить меня.\| ...\| А мне — тебя.
"Yeah, not so easy, is it?","Но сердцу не прикажешь, да?"
Will you ever return to Veridia?,Ты ещё вернёшься в Веридию?
"You know I can't say.\| And... you know how I feel about it.\| About us.\| I need you to embrace your new life, and to let me go.\! If I return, if we do see each other again, I need to see you thriving. Happy, and fulfilled. Even if it's not with me.\! That is the only way either of us can survive the future, Lysander...","Это лишь время покажет.\| И... ты же знаешь, что я думаю обо всём этом.\| О нас с тобой.\| Тебе лучше забыть обо мне и сосредоточиться на своей жизни.\! Если я и вернусь, если нам суждено снова увидеться, я хочу видеть тебя счастливым. Довольным своей жизнью. Даже если не со мной.\! Это единственный путь для нас с тобой, Лисандер..."
...\|\| Imagining life without you...\| it's so empty.\| So meaningless.,...\|\| Когда я думаю о жизни без тебя...\| я ощущаю пустоту внутри.\| Теряется весь смысл.
"No, you're wrong!\| Stop getting trapped by your own hubris.\| You are in charge of your destiny now, you'll make that meaning.\| ...Don't suffer, Lysander.\| Please...","Не говори так!\| Перестань зацикливаться.\| Твоя судьба всецело в твоих руках, так что найди смысл в своей жизни.\| ...Не страдай из-за меня, Лисандер.\| Прошу тебя..."
I'm sorry. It is not possible to be pleased with losing you.,"Прости. Но я просто не могу не грустить при мысли о том, что тебя больше не будет."
"I'm not lost.\| Not yet. A demon god couldn't take me down, I'm not about to throw in the towel for what ever awaits me.","Но я же буду здесь.\| Просто далеко. Уж если демон невообразимой силы не смог меня одолеть, то я уж как-нибудь справлюсь со всем, что ждём меня впереди."
"Of course.\| Donar watch over you, \n[8]...","Не сомневаюсь.\| Да пребудет с тобой Донар, \n[8]..."
"Thank you, Lysander... and you as well.","Спасибо, Лисандер... И тебе желаю того же."
