ENGLISH,Russian
Hey Beatrix!\! How are you liking it here?,"Привет, Беатрикс!\! Как тебе с нами?"
"Oh, I guess I'm supposed to 'belong' now?","О, так я типа должна 'влиться в коллектив'?"
So you're just gonna fly solo?\! Well I'm not gonna let that happen!,"А что, предпочитаешь держаться особняком?\! Не бывать тому!"
Is that so?\! Good luck with that.\! But you do seem like a real sweetie.\! Perhaps I'll make you my most prized servant.,"Да что ты говоришь?\! Ну, удачи тебе.\! Впрочем, ты довольно мил.\! Возможно, станешь моим любимым слугой."
"Oh...\| Can I ask... how did you become so magically gifted?\! I've never seen your tricks, even from the most experienced battlemages.","Вот как...\| А можно спросить... откуда у тебя такой талант к магии?\! Я ни у кого такого не видел, даже у самых опытных боевых магов."
"'Tis my gift and my curse, Jules.\! My existence is a bit of an experiment.\! Y'see, I'm the first Nephilim those cultists knew about, so they tried to twist me in every which way to get me to do their bidding.\! Really messed with my brain, they tell me.","Это мой дар и моё проклятие, Джулс.\! Само моё существование — своего рода эксперимент.\! Видишь ли, я первый нефилим, о котором узнали культисты. Что они только ни пытались со мной сделать, лишь бы заставить им служить.\! У меня на этой почве слегка крыша поехала."
...Messed with your brain?,...Крыша поехала?
"Don't you see?\! The elevator doesn't reach the top floor here!\! A few nuts and bolts missing!\! Who knows, I might just snap in the middle of this conversation and make you explode, just for fun!\! Whaddya think about that?!",А сам не видишь?\! Ну явно же не все дома!\! Типа шарики за ролики заехали!\! Я могу прямо сейчас сорваться и заставить тебя лопнуть фонтаном кровавых брызг.\! Просто потехи ради! Как тебе такое?
I don't think you'd do such a thing.,"Думаю, ты не станешь так поступать."
"Hahaha... if you say so.\! Hey, you're a gem, but I've gotta practice my skills and I need you to keep your distance!\! Do take care, hmm?","Ха-ха-ха... ну-ну, как скажешь.\! Слушай, ты просто лапочка, но мне нужно тренироваться, так что лучше отойди подальше!\! Ну всё, рада была поболтать."
"Hmmm, alright sure.\! Have fun, Beatrix!","Ага, взаимно.\! Развлекайся, Беатрикс!"
That I can do!,"О, это я умею!"
