ENGLISH,RUSSIAN
"What happens here shall be kept quiet, for now.","То, что здесь произойдёт, должно остаться в тайне."
"I trust you, Diana. But...","Диана, я тебе доверяю, но..."
Everyone here is familiar with the Nephilim prophecy.\! Please step into the center of the room.,Все присутствующие в курсе о нефилимском пророчестве.\! Пройди в центр круга.
This is so foolish...,"Ладно, хоть это и глупости..."
AAaaaagghh!!!!,А-А-а-а-а-а-а!!!
Get...\. out...\. of...\. my...\. head!!!,Прочь...\. из...\. моей...\. головы!!!
What are you doing to me?!,Что это было?
What did you hear from the voice that called out to you?,Ты слышал голос? Что он говорил?
"Hatred, anger, and darkness.\! Too intense for words.\! A desire for revenge.","Ненависть, злость, тьма.\! Это были даже не слова, а ощущения.\! Он жаждет мести."
"I heard it too, \n[8]...","Я тоже его слышала, \n[8]..."
It was Donar himself who struck the final blow on Zanatus.\! It is only natural that the demon would burn with desire for revenge.,"Решающий удар Занатусу нанёс сам Донар.\! Конечно же, демон горит желанием отомстить."
I see why you wanted to keep this stuff a secret...\! People would become completely unhinged if rumors spread about the return of Donar...,"Теперь я понимаю, почему вы храните всё это в строжайшей тайне...\! Если пойдут слухи о возвращении Донара, то начнутся такие народные волнения..."
"Diana, you can't be serious with all this.\! Are you really trying to tell me we're supposed to save the world because of some fairy tale?\! I've always made my own ""fate"" and I'm not planning on changing now.\! Anyone can be some sort of chosen one if they want it bad enough.\! Maybe even Jeb here.","Диана, ты и правда во всё это веришь?\! Во все эти сказки, что нам якобы начертано судьбой спасти мир?\! Запомни, своей судьбой владею лишь я и менять я это не желаю.\! Да любой при сильном желании может стать избранным.\! Вон Джеб, думаю, был бы не против."
Only as long as I failed to maintain my faith...,"Да, пока я воистину не уверовала..."
"Our new friend here is welcome among us.\! Please make this your home, and take time to reflect on what happened.\! In time, you will know what you believe.","Друг мой, мы рады, что ты с нами.\! Чувствуй себя тут как дома, поразмысли над всем, что случилось.\! Со временем ты поймёшь, во что верить, а во что нет."
Please excuse me... I must make a record of this...,Прошу меня извинить... Мне надо внести это в архив...
I am sorry I pushed you into this.,"Прости, что пришлось тебя в это втянуть."
I guess I can't blame you...\| this is your mission.\! It's what you have to believe...,"Да я тебя не виню...\| это ведь твоя миссия в жизни.\! Ты следовала тому, во что веришь..."
"I do believe.\! And eventually, perhaps you will too.\! Until then, we will go together.\! I am yours to unleash upon your enemies.","Да, искренне верю.\! Надеюсь, что скоро и ты поверишь.\! До тех пор я буду твоей правой рукой.\! Буду крушить всех, кто встанет на твоём пути."
"You've got the wrong chosen one, Diana.\! But to have you as a friend and ally would be just as good for me.","Ты выбрала не того человека, Диана.\! Но я ценю тебя в качестве друга и союзника."
"Likewise, \n[8].","Я тоже, \n[8]."
"It is quite a tall order.\! To experience such evil, assaulting one's mind, and then to accept one's fate.\! Diana, you too struggled with this, you know.","Понимаю, тебе сейчас непросто.\! Сперва демон пытался ворваться в твой разум, а теперь мы просим тебя смириться с судьбой и исполнить своё предназначение.\! Диана, тебе ведь тоже нелегко это далось."
