ENGLISH,RUSSIAN
"Here we stand at Mount Ptolomea, gateway to the heavens.\! Tell me, scholar, why do you serve the Zanatus cult?","Мы на вершине горы Птоломея, у ворот в высший мир.\! Признайся, зачем ты служишь культу Занатуса?"
"T-to serve the true god, of course.\! To expose the lies of the Donari, to bring balance to this world...",П-просто я хочу служить истинному богу.\! Чтобы раскрыть ложь Донари и восстановить равновесие в мире...
"Spare me the flowery words, scholar.\! We all have a price.\! You have been promised great rewards.",Не рассказывай мне сказки.\! Никто ничего не делает просто так.\! Ты рассчитываешь получить какую-то награду.
The Grandmaster has already made me powerful.\! Have you questioned why you are still as you always were?,"Магистр наделил меня великой силой.\! Ты не задумывался, отчего тебя он подобным образом не наградил?"
...\| Y-you were already a great warrior...\| The Grandmaster sought to make you his champion.\! The weapon and the will of Zanatus before he returns to this world.,"...\| Но ведь ты и прежде был великим воином...\| Магистр решил сделать тебя своей правой рукой.\! Орудием Занатоса, вершащим его волю, до того как он снова вернётся в этот мир."
"Sure, let's go with that.","Ладно, допустим."
A-And my gift is far different!,Н-но у меня-то совершенно другие таланты!
"The language of the ancient Donari.\! Has anyone else commited their lives to the mastery of it, as you have?","Ты знаешь древний язык Донари.\! Кто-то ещё, кроме тебя, посвятил всю жизнь его изучению?"
W-what is the point of your questions?!,З-зачем ты всё это спрашиваешь?
"You killed the only other one. Oxley.\! No one could interpret the texts without decades of study.\! Yet the Grandmaster possesses knowledge even you do not have.\! Why do you think that is, Jebediah?","Ты убил Оксли, единственного, кто ещё знал этот язык.\! Эти письмена может расшифровать только тот, кто изучал язык десятилетиями.\! Но даже твои познания не сравнятся с премудростью магистра.\! У тебя это не вызывает вопросов, Джебедайя?"
"Y-you will not shake my resolve, Hand of Zanatus...\| The true god knows all and sees all!","Тебе не удастся пошатнуть мою веру, Длань Занатуса...\| Истинный бог всё знает и видит!"
"I hope for your sake that someday you learn that only you can control your destiny.\! The Nephilim Army is winning the war, and they will be at Casamir's doorstep in a matter of weeks.\! Soon, we will all have to make a choice.","Надеюсь, ты когда-нибудь поймёшь, что лишь тебе дано вершить свою судьбу.\! Армия нефилимов наступает, через каких-нибудь пару недель они подойдут к оплоту Казамира.\! Скоро всем нам придётся сделать выбор."
