ENGLISH,RUSSIAN
"By Donar, if I survive this heat, I shall never forsake the tundra again as long as I shall live!","Клянусь Донаром, после местной жарищи я с таким нетерпением жду возвращения в свою родную тундру!"
Perhaps your kind would do well to listen to your body. That is Donar telling you not to be where you don't belong.,"Может, и стоит прислушиваться к своему телу. Это Донар так намекает, что тебе и твоему народу не стоит лезть на чужие земли."
"Perhaps it is, Sayunaari.\! But for the return of Donar, no amount of suffering would dissuade me from this great holy war.","Может, ты и права, саюнари.\! Но я любые невзгоды переживу во имя священной войны и возвращения Донара."
"...I believe you.\! That is no small feat, Veridian.","...Я тебе верю, веридианец.\! Тебе это даётся очень нелегко."
"Ha ha ha, then I will have accomplished something this day, even if the desert takes me.","Ха-ха-ха! Главное — это стараться ради высшей цели, а уж с жарой я как-нибудь справлюсь."
"Ahhh, of course. You're a Highlander, aren't you, Jaromir?","Не сомневаюсь. Яромир, ты ведь горец, верно?"
"That is... an ancient distinction.\! I am a servant of Donar first, and a Veridian second.\! The people of my Duchy do indeed trace their roots to the Felnamia Highlanders.\! Centuries of integration has all but erased that part of our past.","Нас... давно уже так не называют.\! В первую очередь я слуга Донара, а уже во вторую — веридианец.\! Но ты права, жители моего герцогства и правда потомки фелнамских горцев.\! Только за много веков культуры народов Империи настолько смешались, что о корнях уже мало кто помнит."
"I see.\! Regardless, you are the Shield of the North, the iron wall behind which the Midlanders sleep soundly.\! Just as they do due to the existence of my nation - a Shield against the endless wastes to the East.\! Tell me, Highlander, what do you think would happen to the Midlanders if our two peoples' did not exist?","Понятно.\! И всё равно вы — это северная стена, под защитой которой спокойно спят жители срединных земель.\! Точно так же и моя нация подобно щиту защищает их от диких пустынь к востоку.\! Горец, как думаешь, что было бы со среднеземцами, не будь наших с тобой народов?"
"Crumble to dust at the first instance of difficulty, no doubt.",Передохли бы все при первом же намёке на невзгоду.
"Ha ha ha... even if you humor me, it is needed at this time.\! Thank you for your fellowship, Highlander.\! May the bulwarks of the snow and of the sand never perish.","Ха-ха-ха... смешно, а в нашем положении немного посмеяться даже полезно.\! Я рада, что ты с нами, горец.\! Пусть наши снежный и песчаный бастионы процветают."
