ENGLISH,Russian
Chapter 1: Rebellion,Глава 1: Восстание
"Good, looks like they haven't sent much out yet.","Отлично, здесь пока не так много солдат."
"You should take these guys out to get some battle experience.\! You can move your squad next to the enemy soldiers and attack.\! If you run into trouble, I'm right behind you.","Тебе нужно разобраться с ними и получить немного боевого опыта.\! Передвинь свой отряд вплотную к врагу и атакуй.\! Если станет трудно, я тебя прикрою."
"Take a break, Zelos, I've got this!","Расслабься, Зелос, я справлюсь!"
"We took some damage in that fighting, but we can heal it back by having Support units, such as the Medic in your squad.\! While they cannot attack, Support units help greatly to keep soldier losses to a minimum.","Нас слегка ранили в этом бою, но юнит поддержки (я говорю о лекаре в твоём отряде) это исправит.\! Юниты поддержки не умеют атаковать, но помогают сократить потери в бою до минимума."
"Next, we need to capture that town, so we can liberate it from the rebels.\! Move any Squad to the town's front gate, and ""Seize"".","А сейчас нужно захватить этот город, чтобы освободить его от мятежников.\! Заведи любой отряд через главные ворота в город и выбери опцию «Захват»."
"Good, we liberated a town, and got some Gold and Faction XP (stars) for our trouble.\! We'll need Gold for a lot of things. Recruiting new troops, hiring Mercenaries, buying Artifacts, among others.\! Faction XP allows us to increase Faction Rank.\! As Faction Rank increases, our reputation will improve among the people.\! This will yield better shop prices, discover new technology, attract new recruits, and intimidate our enemies.\! The squad who captures objectives gets Leadership (LDR) and Loyalty XP as well!","Отлично, мы освободили город и получили немного золота и опыта фракции (звёзды).\! За золото можно подготовить новых рекрутов, завербовать наёмников, покупать артефакты и многое другое.\! Опыт фракции позволяет повышать ранг фракции.\! С повышением ранга будет расти и наша репутация.\! Это позволит делать покупки по более выгодным ценам, открывать новые технологии, привлечь новых рекрутов и вселить страх в сердца врагов.\! Отряд, который захватывает цели, также получает очки лидерства (ЛДР) и увеличивает свою лояльность."
"The Imperial Army has already arrived...\| much sooner than I expected.\! Wolfgar, I'm trusting you to lead our troops here.\! If you hold the river fortress, we should be safe here.","Имперская армия уже здесь... \|раньше, чем я ожидал.\! Вульфгар, поручаю тебе командование местными войсками.\! Если сможешь удержать форт у реки, то мы будем в безопасности."
"I'll make them regret coming here, don't worry, General.","Они пожалеют, что сюда пришли, генерал!"
"Looks like we made it just in time!\! Are you ready for this, Sybil?","Похоже, мы как раз вовремя!\! Ты готова, Сибил?"
"Are you kidding, Jules?\! I've been waiting ages for a chance to prove my mettle!\! Come and get it, rebel scum!","Джулс, ты издеваешься?\! Я столько лет ждала возможности себя показать!\! Сейчас эти мятежные отродья у меня получат!"
"Your squad has tougher soldiers, so should stay in front.\! Mine will provide long-range archer attacks from a safe distance.","В твоём отряде более крепкие воины, поэтому тебе лучше держаться впереди.\! Мой отряд лучников обеспечит тебе поддержку с безопасной дистанции."
"See that hill?\! That's high ground, very useful, especially for archers like me!\! Move me onto the hill so I can shoot further than normal!","Видишь этот холм?\! Он находится на господствующей высоте, и мои лучники там получат преимущество!\! Передвинь мой отряд на холм, и я смогу стрелять дальше, чем обычно."
"Over there, to the East.\! I think that's Jules, a fellow Imperial Academy cadet of mine.\! We should meet up with them and join all our forces together.","Смотри, там, на востоке.\! Кажется, это Джулс, мой знакомый кадет из имперской академии.\! Нужно выдвинуться ему навстречу и объединить наши силы."
"If we can take that river fortress, the path to the main enemy base will be clear.\! Forts give defense bonuses and allows archers to shoot farther.\! And that goes for both sides, so we can't underestimate those defenders!","Если захватим тот форт у реки, то путь к главной вражеской базе будет открыт.\! Форты дают защитникам бонусы, а лучники оттуда стреляют дальше.\! Для врагов это тоже работает, так что не стоит недооценивать их оборону!"
We've really got them on the run now!\! The river fortress is ours. Time to take down the local rebel commander at Eastwall.,Мы заставили их отступить!\! Форт у реки наш. Пора покончить с местным командиром мятежников в крепости Иствол.
"Damned Imperial dogs...\| they are really this ruthless?\! The rest of you, get out there and stop them!\! Our cause will not be snuffed out here!","Чёртовы имперские псы...\| Неужели их ничем не проймёшь?\! Эй вы, ступайте и остановите их!\! Наше дело должно жить!"
"Looks like we've got another fight on our hands.\! \n[8], we're counting on you as the army leader to destroy the enemy.\! Hopefully their leaders will get the message and lay down their weapons.","Похоже, нам предстоит ещё один бой.\! \n[8], мы рассчитываем на твоё руководство армией.\! Надеюсь, их лидеры внемлют голосу разума и сложат оружие."
"We just can't help crossing paths, Jules!\! Looks like we're in this together, huh?!","Судьба постоянно сводит нас вместе, Джулс!\! Похоже, мы преследуем одну и ту же цель, а?"
"\n[8]!\! What an honor to fight by your side in our first mission, but...\| Central Command didn't say you'd be here!\! Was there some sort of mistake?","\n[8]!\! Для меня честь сражаться вместе с тобой на нашем первом задании, но...\| командование не сказало, что ты будешь здесь!\! Может, это какая-то ошибка?"
We...\| decided to improvise.,Мы...\| решили немного поимпровизировать.
"Anyway, glad to have your rangers here among us.\! With clever planning, your troops can pick off enemies without fear of a counter-attack... unless they have their own archers of course.","В любом случае хорошо, что теперь среди нас есть рейнджеры.\! Если всё делать по уму, то твои воины смогут выкашивать врагов, не боясь ответной атаки... Если только у них тоже не будет лучников, конечно."
"So you're leading this mission?\! Wow, I always knew you'd do great things, \n[8].","Значит, ты руководишь этой миссией?\! Ничего себе, я всегда знал, что ты далеко пойдёшь, \n[8]."
