ENGLISH,RUSSIAN
Sir Jaromir...,Сэр Яромир...
Donar's mercy...\| you live and breathe.,Донар всемилостивый...\| вы выжили.
"Only by the mercy of the Nephilim Army. In truth, I should not.",Только благодаря армии нефилимов. Я должна была умереть.
...\| Why?,...\| Но почему?
I...\| am a coward.,Я...\| поддалась страху.
How could you speak such words?,Как вы можете такое говорить?
"You do not see it? Sir Jaromir...\| I am a Swordmistress of Sayunaa, sworn to give my life for the integrity and sovereignty of my homeland.\! Now that I have traded my honor to spare my life, that title rings hollow.\! Sayunaa was subdued with nothing but words from the Veridian enemy.","А разве это не так? Сэр Яромир...\| я ведь воевода саюнари, я поклялась жизнью защищать свою родину.\! Но я бесславно сдалась, чтобы сохранить жизнь.\! Веридийцы победили не оружием, а словами."
"Swordmistress of Sayunaa...\| what a grand title. Fitting, for a grand woman.",Воевода саюнари...\| Великолепное звание для великолепной женщины.
"I do understand fully, the need to put one's life below that of your sovereign. But, if I could share some insights from my talks with \n[8].\! I believe, if \n[5] were to opine, \n[5] would highlight that we live in an age of profound evil. That, as \n[5] would say ""lofty concepts"", such as reason and honor, have all but been thrown to the wind.\! That your chosen course was far wiser, that you not waste the gift Donar has asked you to use to better this world.\! And to the last part, I cannot disagree.","Я прекрасно понимаю готовность жертвовать собой ради своего народа. Но позвольте поделиться мудростью, автором которой являюсь, увы, не я, а \n[8].\! \n[5] считает, что мы живём во времена, когда зло правит миром, и \n[5] ведь не ошибается. \n[5] утверждает, что такие «высокие принципы» как логика и доблесть сейчас неуместны.\! Вы проявили мудрость, когда не пожертвовали понапрасну даром Донала, а решили жить, чтобы нести радость в жизни людей.\! И как минимум в жизнь одного человека вы точно принесли радость."
"To dispose of these so-called lofty concepts as a means of gaining advantage...\| That is the way of the schemer. The charlatan.\! It is, so...\| if you'll forgive the analogy...\| Veridian.","Значит, этими высокими принципами можно жертвовать ради достижения высшей цели...\| Но это же так коварно. Так лукаво.\! Так...\| вы только не обижайтесь...\| так по-веридийски."
Ha. Of course.,Ха! Ну конечно.
"Sir Jaromir, I believe I am hearing you correctly. There is wisdom in \n[8]'s philosophy from a certain point of view.","Сэр Яромир, я правильно вас понимаю? \n[8] говорит очень даже правильные вещи, если посмотреть под определённым углом."
If you had resisted... if you had gone against the wishes of your leaders...,Просто если бы вы оказали сопротивление... если бы не послушались мудрого совета своего командования...
"The military of Casamir was beyond anything we could have imagined. Had we resisted, our defenses would surely have been crushed. And...","Войско Казамира оказалось намного сильнее, чем мы могли себе представить. Если бы мы оказали сопротивление, они бы просто раздавили нас. И тогда..."
"So too would be the soul of Sayunaa. It would take generations to recover, if at all.\! What is more fundamental to that which defines you? And your homeland?\! I believe Donar would see it that, Swordmistress of Sayunaa, you have fulfilled your duty. By surviving.","Тогда они бы раздавали Саюна. Если бы после такого удара и удалось оправиться, то на это ушло бы не одно поколение.\! Что важнее для вам? И для вашей родины?\! Пусть Донар будет свидетелям моим словам: вы, воевода саюнари, выполнили свой долг перед вашим народом, именно потому что решили выжить."
...Sir Jaromir...\| I did not anticipate this. But it seems Donar has seen fit to deliver you to Sayunaa.\! We truly need your aid...,"...Сэр Яромир...\| это всё так неожиданно для меня. Но, видимо, вы оказались в Саюна волею Донара.\! Без вашей помощи мы вряд ли справимся..."
...Just as I once did yours.,...Как и я однажды не справился бы без вашей помощи.
Donar watch over us...,Да поможет нам Донар.
