ENGLISH,Russian
All the children are safe?,Все дети спасены?
"Yep, but we're runnin' out of places to send 'em...","Да, но у нас кончаются места, где их можно приютить..."
And what of our partners in the other cities?,А что наши партнёры в других городах?
Not a peep. Wouldn't get my hopes up.,Затихарились. Не стоит на них рассчитывать.
"We have defeated so many of them, and freed so many children... and I am no closer to my Alex.\! The Empire takes them to the detention camps faster than we can move.\! We cannot keep this up forever...","Мы столько врагов одолели, столько детей освободили... а мне так не удалось даже выйти на след Алекса.\! Империя переправляет детей в лагеря быстрее, чем мы успеваем работать.\! Так вечно продолжаться не может..."
I take it you all feel the same?,"Полагаю, вы того же мнения?"
I'll keep swingin' my sword and killin' Imperials until my strength gives out.\! Big picture be damned.,"Я готов махать мечом и убивать имперцев, пока силы меня не оставят.\! К чёрту перспективы."
Our men are pretty exhausted...,Наши бойцы истощены...
"This is the fourth home we've made for ourselves.\! They will eventually come here as well, and we will have to find a fifth.","Это уже четвёртый наш дом.\! Скоро они придут и сюда, и тогда придётся искать пятый."
It is time we finally pursued the prophecy as we should have long ago.\! Gods forgive me for my lack of faith...,Пора наконец последовать пророчеству. Давно уже пора.\! Да простят меня боги за недостаток веры...
"Alex... I'm sorry...\| I will find you some day, but for now I must follow my faith...","Алекс... прости меня...\| Однажды я тебя отыщу, но пока надо следовать зову веры..."
Ya mean that page you found from the monastery ruins?,"В смысле странице, которую мы нашли в руинах монастыря?"
"""Back to where it all began"" were the Grandmaster's dying words, as he handed me the key to the vault.\! These words have haunted me since \n[8] left us.\! The page, and his words, point to the holy mountain, Mount Ptolomea, where the first battle with Zanatus took place.\! I must make the pilgrimage to the holy site there.","«Там, где всё началось». Вот что сказал магистр перед смертью. И вручил мне ключ от хранилища.\! С тех пор, как \n[8] больше не с нами, эти слова не дают мне покоя.\! Если верить той странице и словам магистра, нам нужно держать курс на священную гору Птоломея. Там состоялась первая битва с Занатусом.\! Надо совершить туда священное паломничество."
Only the gods above can be our salvation now...,Только боги теперь могут нам помочь...
"If I must, I will do this alone.","Если придётся, я пойду в одиночку."
"Problem bein', not even you could go that route by your lonesome.\! The only way is through the Imperial palace... they've got that holy site guarded by some magical doodads.","Проблема в том, что даже тебе не освоить этот путь одной.\! Туда нужно пробиваться через императорский дворец... но телепортатор в святые места охраняют какие-то волшебные штуковины."
"You know the way, Barnabas?","А ты знаешь путь, Барнабас?"
"Yep, but yer not gonna like it.\! I betcha we can break into the palace through the sewer exits, but even that's got an Imperial presence guarding it on the outside.\! You'll need all of us to get in there.\! ...And ya got me so far.","Да, но вам он не понравится.\! Можно попробовать туда влезть через канализацию, но даже эти выходы снаружи охраняют имперцы.\! Чтобы туда пробиться, понадобится вся команда.\! ...И лично я готов."
"Of course I will support you as well, Sister Diana...\! As will my brother, yes?","Ну конечно я с тобой, сестра Диана...\! Как, полагаю, и мой брат?"
It looks like my sister has decided for me!\! I'll do my best...,"Ну всё, сестра за меня решила!\! Я буду стараться..."
Diana...,Диана...
"I've stuck by your side through much worse.\! Well, not sure we've ever tried to break into the capital of a world-spannin' empire before, but hey, y'only live once, I say.","Мы с тобой и не через такое проходили.\! Не уверен, что уже пытались влезть в столице гигантской империи, но ведь жизнь одна, нужно идти."
"Thank you...\| And for the last two years as well.\! We have fought, and we have run away, but at least, we are still here, still fighting.\! If I die on this mission, I will die a free woman, with my knee unbent to the will of evil.\! I do not expect any of you to throw your lives away.\! Once I am on the path to Mount Ptolomea, please go into hiding, or retreat back here to safety...","Спасибо...\| Последние два года выдались особо тяжёлыми.\! Мы сражались, мы убегали, но по крайней мере, мы всё ещё живы и можем держать оружие.\! Если я погибну в ходе этой миссии, то умру свободной, не преклонив колена перед злом.\! Я не требую ни от кого из вас ставить свою жизнь на кон.\! Когда откроем путь на гору Птоломея, вы можете вернуться в подполье или сюда, в укрытие..."
"Don't say g'bye just yet, lady.\! Come on, let's give fate and prophecy a little nudge in the right direction...","Не спешите прощаться, миледи.\! Давайте-ка подтолкнём судьбу и пророчество в нужном направлении..."
