ENGLISH,Russian
"So... that's it?\! I'm back from the dead, you're back from the dead, things have happened, and you're not going to speak with me about it?","И... что?\! Мы с тобой оба воскресли из мёртвых, столько всего случилось, а ты даже не хочешь об этом поговорить?"
"Gods above, what have they done to you...\! Zelos...","О боги, что они с тобой сотворили...\! Зелос..."
"Everything has happened on my terms, \n[8].\! I do not need nor deserve sympathy.","Всё, что случилось, случилось на моих условиях, \n[8].\! Мне не нужно сочувствие, я его и не заслуживаю."
That's not true!\! My Zelos would never have gone down this path...,Неправда!\! Мой Зелос никогда бы не сделал подобный выбор...
There is so much you do not know.\! You'd best forget about it...,Ты очень многого не знаешь.\! Лучше просто забудь...
"Forget?!\! Stop shutting yourself off to me, Zelos!\! You know what I will never forget?!\! You, cutting Casamir's men down, one by one, in a rage because you watched me fall to their arrows.\! I won't forget you, who through all his bravado and ambition, never failed to save me when I needed saving.\! Forget?\! Go to hell, Zelos!!","Забыть?!\! Перестань от меня закрываться, Зелос!\! Знаешь, чего я никогда не смогу забыть?\! Как ты в ярости резал одного за другим солдат Казамира после того, как они меня изрешетили стрелами.\! Не забуду, как ты, несмотря на свою браваду и тщеславие, всего оберегал меня, когда мне угрожала опасность.\! Забыть?\! Да иди ты к чёрту, Зелос!!!"
"Heh, don't worry about that.\! I'm well on my way.",На этот счёт не переживай.\! Скоро я там окажусь.
"You are...\| actually gone.\! I've waited so long, prayed, cried my eyes raw...\! And now you're just an empty body... like you died long ago...\! Curse this...","Тебя...\| и правда больше нет.\! У меня уже губы распухли от молитв, а глаза от слёз, пока я жду тебя...\! А от тебя осталась полая оболочка... ты будто умер давным-давно...\! Проклятье..."
"Crying...\! Do you know how many I have cut down, through their tears?\! It does not affect me anymore.","Ты плачешь...\! Знаешь, скольких я убил, несмотря на их слёзы?\! Больше они меня не трогают."
"I get it, you big brute. You're numb to suffering.\! Please, just disappear, Zelos.\! I was always the one person who you would give a break, when you could forsake everyone else.\! But now you've forsaken me.\! I cannot bear the sight of you one moment longer!","Я понимаю, ты стал бесчувственным убийцей и не способен к состраданию.\! Умоляю тебя, Зелос, просто исчезни.\! Ты всегда заботился обо мне, даже когда забывал обо всех остальных.\! Но теперь ты оставил и меня.\! Я видеть тебя больше не могу!"
...Is that what you want?,...Ты правда этого хочешь?
...I want my Zelos back.,"...Я хочу, чтобы мой Зелос вернулся."
"That's all I've ever wanted, since that day.\! Everything else has been distractions.\! Just... want... my... Zelos back....\! Give him back...",Только этого и жду с того самого дня.\! Всё остальное — пустая суета.\! Я... хочу... чтобы... мой... Зелос вернулся....\! Верни мне его...
"It's because of you, \n[8].","Это всё из-за тебя, \n[8]."
...What?,...Что?
"I watched you die.\! I watched you fall from the top of the Imperial Palace.\! Executed for being a heretic.\! So, I killed them. All of them.\! They are the reason you died that day.\! And now they're all dead.\! You're a fool for feeling this way.","Я видел твою гибель.\! Видел, как тебя сбросили с башни императорского дворца.\! Казнили за ересь.\! За это я их убил. Всех до единого.\! Это из-за них тебе пришлось умереть.\! Теперь они мертвы.\! И если ты думаешь, что я тебя забыл, то ты просто тупица."
...I'm not a fool.\! Shut up.,...Я не тупица.\! Прекрати.
I...\| love you.\! That's what it is.\! I love you more than can be described.\! Don't... let me just stand here like this.\! Don't let me shiver and shake without the embrace of my Zelos.\! Not another moment...,"Я...\| люблю тебя.\! Вот и всё.\! Люблю так, что не описать.\! Я... не могу просто так стоять.\! Мне холодно без объятий моего любимого Зелоса.\! Не мучай меня больше ни секунды..."
"...\! Come here, \n[8]...","...\! Иди ко мне, \n[8]..."
"For you, I'm not gone...",Для тебя я всё ещё жив...
"But I am not the same.\! The blood on my hands will ever dry.\! There is no going back.\! You...\| You've captured the hearts of the people.\! You would be dragged down into the pits of hell if it went back to the way things were before.\! I'm still going to save you when you need saving, \n[8].\! You need saved from me.","Но я не тот, что раньше.\! Мои руки навеки в крови.\! Пути назад нет.\! Тебе...\| Тебе удалось завоевать сердца этих людей.\! Если всё станет как прежде, боюсь, тебя ждут самые мрачные глубины преисподней.\! Но я всегда спасу тебя, если понадобится, \n[8].\! А вот кто тебя спасёт от меня?"
"Stop it!\! I love you and I'm not letting you go!!\! Fine, let's go be in hell together.\! I'm not letting you go, no matter what.",Прекрати!\! Я люблю тебя и никуда не отпущу!!!\! С тобой хоть в преисподнюю.\! Я всегда буду с тобою рядом.
It's... going to be okay.\! It's just the two of us.\! The rest of the world doesn't matter.\! We're...\| going to be fine...,"Всё... будет нормально.\! Главное, что мы вместе.\! А весь остальной мир неважен.\! У нас...\| всё будет хорошо..."
