ENGLISH,Russian
\n[8]. You honor me with your presence.,"\n[8], твоё общество — честь для меня."
"I have so many questions for you, Diana.","У меня столько вопросов к тебе, Диана."
Is your purpose unclear?,Тебе рассказать о предназначении?
"It's about the Temple.\! What's the deal with the priestesses, and the other Temple devotees?",Просто хочу узнать о Храме.\! Расскажи о жрицах и других священнослужителях.
"The Sisterhood of Mercy are a seperate holy order.\! The Sisterhood of Justice and the Male Paladins take their direction from me, and I am second in command to Grandmaster Oxley.","Сёстры Милосердия — отдельный религиозный орден.\! Сёстры Правосудия и мужчины-паладины подчиняются мне, ну а я слушаюсь указаний магистра Оксли."
Righto.\! What's this bond you have with Edelia?,Ясненько.\! А что вас связывает с Эделией?
"She is tasked with caring for my son, and providing support for me in addition to her duties to the Sisterhood of Mercy.\! It was Edelia who crafted me this ruby amulet, to remind me of home.\! A small comfort, ever since I was sanctioned for war.","Она из Сестёр Милосердия. Кроме того, ей поручено заботиться о моём сыне и поддерживать меня.\! Именно Эделия сделала для меня этот рубиновый амулет, напоминающий о доме.\! С тех пор, как меня допустили на войну, он иногда дарит мне душевный покой."
Wait...\| you were sanctioned?,Постой...\| как это — «допустили на войну»?
"All female potentials must bear at least one child before they are put in harm's way.\! After Alex was born, I began my Paladin training.","Все воительницы должны завести минимум одного ребёнка, прежде чем их допустят до боевой подготовки.\! После рождения Алекса я начала учиться на паладина."
"Makes sense I guess...\| So, who's Alex's father??",Вполне логично...\| А кто отец Алекса?
...He was a devout man who sacrificed much and became one of the Temple's most beloved.\! He and I have lost contact... I try not to let it become a part of my thoughts.,"...Истово верующий мужчина, который многим пожертвовал и был одним из лучших в храме.\! Мы давно уже не общались... Я стараюсь лишний раз не думать об этом."
Oh... I'm sorry. Probably too personal.,"Ой... прости. Понимаю, это личное."
"It matters not, if the Temple deems it so, it shall be so.\! Alex has my whole heart, and I now have my duty as a mother to a future Temple devotee.","Это совершенно неважно. Как Храм скажет, так и будет.\! Сейчас моё сердце всецело отдано Алексу, и я исполню свою обязанность матери будущего служителя Храма."
So when do you get to... you know... enjoy life?,А когда ты... ну... жизнью наслаждаться собираешься?
"Hmm, consider it is far more enjoyable for a Paladin to live as a warrior, ready to destroy evil in any form it takes.\! By that point of view, my life is enjoyable beyond description.",Хм-м. Высшее наслаждение для паладина — быть готовым в любую секунду дать отпор злу этого мира.\! С этой точки зрения моя жизнь приносит мне величайшее наслаждение.
Fascinating. Your way of life is sort of...\| refreshing to see.\! At least there's some semblence of order in this crazy world.,"Прекрасно. Твой взгляд на жизнь, он...\| весьма необычен.\! Но хоть какой-то оплот порядка в этом безумном мире."
"Your open mind and open heart are refreshing to me.\! Please, do not hesitate to share your company with me again.",А для меня весьма необычны в тебе открытое сердце и открытый разум.\! Буду рада с тобой побеседовать в любое время..
Count on it!,Всенепременно!
