ENGLISH,Russian
Chapter 15: Westerfield Escape,Глава 15: Бегство из Вестерфилда
"We'll get 'im, Diana.\! Just like we'll save all of 'em from these bastards.","Мы найдём его, Диана.\! И спасём из грязных лап этих подонков, как и всех остальных."
"...All in due time.\! Now we must escape to the safety of Centurion's Rest.\! If we can cross the bridge to the east, we can destroy it, and cut off the Imperial army's advance.","...Всему своё время.\! Сейчас нам нужно отступить в Убежище Центуриона.\! Если перейдём мост к востоку, сможем разрушить его за собой и отрезать наступление сил Империи."
"They're using the river as their escape route.\! Do not harm the children, but the rebel fighters are forsaken.","Они пытаются уйти через реку.\! Детей не трогать, а войска повстанцем в расход."
"You hear that, boys? That masked freak show wants us to go easy on these snot-nosed little goblins.\! Ignore him, our orders come from the Emperor! Slay them!","Слыхали, ребятки? Этот дурень в маске просит пощадить сопляков.\! Не слушайте его, нам приказывает сам Император! Убить всех!"
"Do not engage the black knight!\! Everyone, move, on the double!","Не нападать на чёрного рыцаря!\! Вперёд, быстрее!"
We can't destroy the bridge until it's clear!,"Нельзя разрушать мост, пока все не пройдут."
"If we destroy the bridge, any children still out there will be stuck on the other side.","Если уничтожим мост, дети останутся на той стороне."
Yes,Да
No,Нет
