ENGLISH,Russian
"Barnabas, can you believe it?\! We're out here, doing what we prepared to do for years.","Барнабас, ты можешь в это поверить?\! Наконец-то мы занимаемся тем, к чему готовились годами."
"Haven't seen battle since you were a street urchin, \n[8].\! Never thought I'd have to pick up the sword again, but it feels like a warm hug from mother.\! Can't put a price on that!","Я не участвовал в боях с самого твоего беспризорного детства, \n[8].\! Никогда не думал, что снова возьму в руки меч. Ощущение, что снова оказался в тёплых материнских объятиях.\! Великолепное чувство!"
How am I doing?\! Feels like I'm making it up as a I go along.,"Ха-ха.\! А у меня чувство, что я ничего не знаю и бесконечно импровизирую."
Ya never really know what you're made of until you're walking the tightrope between life and death on the regular.\! You haven't cracked under the pressure yet.\! By that measure you're right where you need to be.,"Чтоб узнать, из какого ты теста, нужно регулярно ходить по тонкой грани между жизнью и смертью.\! Тебя не сломили обстоятельства, и это главное.\! Как по мне, ты вполне на своём месте."
Not too surprised. Remember yourself as a young street urchin?,И меня это совсем не удивляет. Помнишь своё беспризорное детство?
It's a bit foggy...,Смутно...
"That war turned too damned many kids to orphans.\! But out of all of 'em, you showed up at our barracks shinin' as bright as a star.\! You just kept on goin', even without single coin to show for it.\! Puts a pauper above a noble in my eyes any day.","После той жуткой войны слишком много детей стали сиротами.\! Но из всех них именно тебя я увидел на пороге нашей казармы.\! Твоему усердию и трудолюбию можно было позавидовать, хотя тебе за это не платили ни гроша.\! Твой пример убедил меня, что есть беспризорники, которые намного лучше дворян."
"I seem to have everyone fooled, then.\! I have so much doubt about myself.\! I don't know why you or someone else much more experienced than I just take over.","Значит, у меня получилось всех одурачить.\! Меня гложут сомнения.\! Не понимаю, почему не назначили командиром тебя или кого-то более опытного."
"You try that and I'm going back into retirement, heh heh.\! All I wanna do now is bust some bad guys.\! Lots easier than havin' real responsibility.\! You gotta fight through that doubt, kiddo. No reason for it. Believe me when I tell you, you've got this handled.","Ну нет, меня бы после такого сразу след простыл, ха-ха.\! Мне нравится давать по шапке злодеям, но не более того.\! А ответственность меня тяготит.\! Тебе нужно избавиться от сомнений, друг. Они беспочвенны. Поверь мне, ты справишься."
"Thanks...\! Guess I'll just have to learn to throw you into the front line first, eh?","Спасибо...\! Для начала научусь бросать тебя на передовую, что скажешь?"
"If there's a good reason for it, kid!","Если того потребует обстановка, то безусловно!"
