ENGLISH,RUSSIAN
"\c[1]7 years ago, Imperial Academy\c[0]",\c[1]7 лет назад. Имперская академия\c[0]
Don't you guys have anything better to do?,"Вам что, заняться больше нечем?"
"Where'd ya get that uniform?\! You been stealin' from the armory, street urchin?","Ты где такую форму достал, беспризорник?\! Украл из арсенала, небось?"
What should we do with the thief?,"Как накажем вора, пацаны?"
Probably gonna go cryin' to the Master Sergeant again.,Да этот нытик опять мастеру-сержанту настучит.
"I'm watchin' you, street urchin!\! If I had my way, kids like you'd be sent home.","Смотри у меня, беспризорник!\! Будь моя воля, я бы таких как ты сюда даже близко не подпускал."
"Yeah, go home.\! I hear the back alleys are comfy this time of year.","Да, проваливай!\! Сейчас как раз тепло, на улице не замёрзнешь."
Heh heh heh...,Ха-ха-ха...
"You okay, \n[8]?","У тебя всё нормально, \n[8]?"
"Hi, Zelos...\| I guess so.","Привет, Зелос...\| Да, ничего такого."
Don't sweat those guys.\! I've seen you in class. Not enough brains between the three of 'em combined to make one of you.,"Ты на них внимания не обращай.\! Я же видел тебя во время занятий. У тебя ума больше, чем у тех троих тупиц вместе взятых."
"Thanks...\|\| Zelos, these are supposed to be my comrades...","Спасибо...\|\| Зелос, они ведь должны быть моими верными товарищами..."
"They are. When it comes down to it we're all gonna bleed for each other.\! They're testing you.\! You gotta fight back, \n[8].\! Doesn't matter who, you always gotta show the world you're not to be messed with.","Так и есть. Когда дойдёт до настоящих сражений, мы все друг за друга будем кровь проливать.\! Они тебя просто проверяют.\! Но ты не поддавайся, \n[8].\! Никогда и никому не позволяй собой помыкать."
You could take these guys no problem.,"Тебе легко говорить, ты бы их запросто на место поставил."
"If I helped you they'd never leave you alone!\! Just trust me on this one.\! Even if you get roughed up, it'll pay off in the end.","Если бы я тебе помог, они бы никогда от тебя не отстали!\! Уж поверь, я знаю, о чём говорю.\! Даже если тебе настучат по шее, уж лучше постоять за себя."
"Something might happen to those guys later.\! If anyone asks, you had nothin' to do with it.\! See ya around, \n[8].","Если вдруг те пацаны сегодня с синяками будут ходить...\! На случай такого, моя хата с краю — я ничего не знаю.\! Пока, \n[8]."
