ENGLISH,Russian
Incredible...,Потрясающе...
"And it is ours to use as we see fit.\! It will take some time to refit it for battle, but with it, we can airdrop troops deep behind enemy lines.","И он в нашем полном распоряжении.\! Нам ещё предстоит его переоборудовать для боя, но теперь мы сможем десантировать войска врагу прямо в тыл."
I've never seen one with my own eyes.,Впервые вижу что-то подобное.
Most haven't...\| We haven't flown these things for a hundred years.\! One would have to be wealthy beyond imagination to own one.,"А многие никогда и не увидят...\| На них уже много веков не летают.\! Чтобы такой заполучить, нужно быть баснословно богатым."
I have to admit something to you.,Хочу тебе кое в чём признаться.
I am afraid of you outgrowing me.\! Outgrowing our cause.,"Я боюсь, что ты меня перерастёшь.\! Меня и всю нашу миссию."
...I do have a history of changing loyalties.,...Мне не раз приходилось меня сторону.
"It's not that.\! I don't need loyalty from others.\! Not to me, anyway.",Да не в этом дело.\! Не нужна мне чужая лояльность.\! Уж точно не моей персоне.
"It seems to me that you've become the icon of hope in the peoples' eyes.\! As you are the icon, I would best serve the people as your right hand, if you will have me as such.","Мне кажется, тебе удалось стать символом надежды в глазах народа.\! А если ты символ, то я с радостью послужу народу как твоя правая рука. Если ты, конечно, согласишься."
"That's a relief.\! We'll build a new world together, Lysander.","Приятно слышать.\! Вместе мы построим новый мир, Лисандер."
