ENGLISH,Russian
Chapter 28: Downfall,Глава 28: Низвержение
Can't believe this...,Поверить не могу...
There is no death painful enough for him...,Он заслуживает самой мучительной смерти...
"Bah, I don't think they realize who they're messin' with.\! Me thinks it's the bad guys who need savin'.","По-моему, они просто не понимают, с кем связались.\! Это же их скоро спасать надо будет."
Don't be so sure. They found her one weakness.\! They'll kill her and she'll let them if we aren't smart about this...,"Я бы не был так уверен. Они нашли её единственную слабость.\! Теперь её убьют, и она не будет сопротивляться. Если мы правильно не разыграем карты..."
"Your death would serve no purpose, child.\! Wait here for your mother.","Твоя смерть была бы бессмысленна, дитя.\! Жди свою мать здесь."
...I will...,...Хорошо...
You must have a death wish trying to imprison me!,Хочешь посадить меня в клетку? Тебе жить надоело?
What are you doing here?!\! My Alex!!,Что ты здесь делаешь?!\! Алекс!
I know when I am outmatched... we will meet again.\! The boy is unharmed.,Я умею признавать поражение... мы ещё встретимся.\! Мальчик невредим.
Where's my mom?!,А где мама?!
What are you doing here?!\! Where is my Alex?!,Что вы тут делаете?!\! Где Алекс?!
"We got 'im.\! Safe and sound.\! Let's finish this up, eh?",О у нас.\! В целости и сохранности.\! Пора с этим кончать.
...Donar's mercy...,...Слава Донару...
Mom!!!,Мама!!!
Casamir...,Казамир...
