ENGLISH,RUSSIAN
"\c[1]20 years ago, Imperial Army Barracks\c[0]","\c[1]20 лет назад, казармы имперской армии\c[0]"
"Sergeant Barnabas, we've got another one. Get your men organized and ready to deploy in two hours.","Сержант Барнабас, мы нашли ещё один. Собирайте своих людей и будьте готовы отправляться через два часа."
"Right, another Donari Temple?",Очередной храм Донари?
"...Do you have a problem with that, Sergeant?","...Вы что-то имеете против, сержант?"
"No, sir. The Army is being put to good use, sir.","Нет, сэр. Армия выполняет важное дело, сэр."
"...Yes, I'm sure you think so.","...Вот именно, так держать."
And try to clean the uniforms up a bit before your men shut that place down. The war's over. The public has eyes on everything we do.,И приведите хоть немного в порядок форму своих солдат перед отправлением. Война окончена. Общественность следит за каждым нашим шагом.
"With what resources, sir? We barely got enough coin to keep our boys from choppin' my head off in a mutiny as is. You tellin' me we're to worry about spit 'n polish now too?","На какие деньги, сэр? Нам едва хватает средств, чтобы мои люди не подняли бунт и не отрубили мне голову. Разве мне до чистоты формы?"
"Just find a way, Sergeant. Put down that paperwork and do it your damn self if you have to.\! We're all on tight budgets. Don't think my superiors haven't kicked me around lately. As you were.","Придумайте что-нибудь, сержант. Отложите бумажную работу в сторону и сделайте это сами, если придётся.\! Всем сейчас не хватает финансирования. Моё начальство точно так же недавно сделало мне втык, когда я поднял эту проблему."
"I can do it, sir...","Я могу всё сделать, сэр..."
"...Whoa there, small fry! Who let ya in here?","...Эй, малявка! Кто тебя сюда впустил?"
"...Um, I'm sorry. I'll leave.",...Извините. Я сейчас уйду...
"Hey, don't sweat it, kid! Get on home now, your folks are probably worried sick.","Да не бойся ты, я не кусаюсь! Иди домой, твои родители уже, наверное, тебя заждались."
Damn...\| thought so. Was hopin' you had a home to go to.,"Проклятье...\| Я так и думал, хоть и надеялся, что у тебя есть дом, куда пойти."
"Please let me clean your uniforms, sir...","Пожалуйста, сэр, позвольте мне почистить форму ваших солдат..."
"I ain't got nothin' to pay ya, kiddo. It ain't worth spendin' the energy.","Мне даже нечем тебе заплатить. Оно того не стоит, поверь мне."
It's okay...\| please sir...,"Мне всё равно...\| Пожалуйста, сэр..."
There's supplies in the basement. Maybe the shields could have a bit more shine to 'em.,"Всё снаряжение находится в подвале. Думаю, щитам не помешает добавить немного блеска."
...Looks like I lost my appetite too. Guess someone'll have to take my lunch so it don't go bad. It's nothin' special but it fills ya up...,"...А мне вот как назло есть не хочется. Наверное, придётся отдать кому-то свой обед, чтобы он не пропал зря. Он простой, но сытный..."
