ENGLISH,RUSSIAN
"So much has changed, Lysander...","Лисандер, всё так изменилось..."
It is like waking from a dream to reveal a nightmarish reality.,"Да, словно проснулся от сна и оказался в кошмарной реальности."
Can you tell me what happened to you after the battle at Fort Eureeka?,"Расскажи, что произошло после боя в форте Эврика."
"By the time I'd returned to the inner keep, Diana had already evacuated with her group.\! I gathered everyone else I could find and we slipped out the rear sully port into the river, where we threw together makeshift rafts and floated down the Herald under the cover of night.\! Myself, Raskuja, Narima, and Sybil regrouped and made our way to the capital...\| just in time to watch your execution.\! The moronic cheers of the crowd nearly vexed me enough to blow my cover...","Когда я прибежал во внутренние помещения крепости, Диана с её отрядом уже успели уйти.\! Я собрал всех, кого ещё смог найти, и тайком вывел их через вылазные ворота к реке Геральд. Мы наскоро сделали плоты из подручных средств и уплыли под покровом ночи.\! Я, Раскуджа, Нарима и Сибил вместе вышли на берег и отправились в столицу...\| где как раз успели на твою казнь.\! Крики обезумевшей от скотской ярости толпы разозлили меня настолько, что я чуть было не выдал себя..."
"Cheers, huh.",Умею я завести народ.
"It was an explosion of emotion across the spectrum.\! It was that moment that tipped the scales, so that the coming disaster was apparent not only to the clever, but to all.\! In the coming months, I attempted to rally opposition forces among the enraged nobles who remained, but the dark knight and his black dragon had an answer for everything we tried.\! Following his dragon's roar was always death and suffering.\! No one could stand up to him, as he acted as the vanguard for an army of powerful cultist mages, and Casamir's Imperial elite troops.\! After witnessing the power of that dark knight, and your...\| resurrection...\| I no longer scoff at the supernatural, but now seek to decipher it.\! After some time in exile, I reunited with my friends, and we caught wind that Diana had organized a resistance force dedicated to protecting the children from the mass kidnappings.\! We sprang into action, taking advantage of the weakness here at Eastwall Fortress, and held out just long enough for you to arrive.","Да уж, у тебя получилось буквально всю страну завести.\! После твоей казни не только трезвомыслящие, но и все наконец поняли, что надвигается катастрофа.\! В последующие несколько месяцев я общался с озлобленными на ситуацию дворянами и пытался собрать армию из их войск, чтобы бороться с новым режимом. Но тёмный рыцарь и его чёрный дракон срывали все наши попытки сопротивления.\! Рёв его дракона всякий раз означал лишь одно — смерть и мучения.\! Ему никто не мог противостоять. А за ним стоит ещё и целая армия могущественных магов из культа, плюс имперские войска под началом Казамира.\! Я своими глазами видел его нечеловеческую силу и твоё...\| воскрешение...\| Так что теперь я всецело верю в сверхъестественное и хочу его постигнуть.\! Потом мне пришлось бежать. Я снова встретил своих друзей, и мы выяснили, что Диана с примкнувшими к ней воинами защищает детей, которых стали уводить из семей буквально повсеместно.\! Мы тут же решили действовать, воспользовались трещиной в обороне крепости Иствол и сражались тут до твоего появления."
"It's infuriating, what they're doing.\! Can't convince the grown-ups, so they have to tear families apart and brainwash the young.","Их методы ни в какие ворота не лезут.\! Они поняли, что изменить сознание взрослых не выйдет, так решили отбирать у родителей детей и промывают им мозги."
"It is indeed unforgivable, but this also presents an opportunity.\! This is a war of good against evil now... no mercy required for the enemy.\! Only their total destruction will heal the land.\! This is quite a bit more simple than reconciliation with a defeated foe.","Да, это ужасно. Но в каком-то смысле это и хорошо для нас.\! Теперь это поистине война добра из зла... и врага уже можно не щадить.\! Чтобы восстановить порядок в стране, нужно полностью истребить негодяев.\! Думаю, потом наладить отношения с поверженным противником было бы несколько сложнее."
"I was thinking just that, and you said it.\! Knowing you're the ""good"" in that good versus evil does make things simple.","Да, прям с языка снял.\! Радостно видеть, что в этой ситуации ты на стороне добра."
"...So long as you stay good, \n[8].","...Главное, чтобы тебя на другую сторону не потянуло, \n[8]."
