ENGLISH,Russian
"\c[1]Crestmoor town square, later that evening\c[0]","\c[1]Городская площадь Крестмура, тем же вечером\c[0]"
You're conflicted.\! I can smell it on you.,Ты сомневаешься.\! Я это чувствую.
I ask you to consider what we are doing.\! And to keep this Beatrix on a short leash.,"Я прошу тебя хорошо подумать, что и зачем мы делаем.\! И Беатрикс эту держать на коротком поводке."
"I hear you.\! Beatrix just falls into our lives, and now we're chasing legends.","Я понимаю.\! Стоило Беатрикс тут появиться, и мы уже охотимся за легендами."
We know so little about these divine weapons.,Нам мало что известно об этом божественном оружии.
You've seen Beatrix's magic.\! That's a lot of power...\| aren't you at least curious?,Ты же сам видел магию Беатрикс.\! Она невероятно сильна...\| неужели тебе как минимум не интересно?
I am always curious.\! But this is reckless.\! You must at least give me time to interpret the Historium Magnus.\! I believe I am starting to make sense of it.,"Мне всё и всегда интересно.\! Но это безрассудство.\! Дай мне хотя бы время расшифровать «Историум Магнус».\! Я, кажется, начинаю понимать, о чём там речь."
"Haha, of course.\| Only you would have that kind of patience... certainly not me!","Ха-ха, ну разумеется.\| Одному лишь тебе хватает терпения на подобные вещи... у меня бы так точно не вышло!"
Sometimes I can't put thoughts into words.\! My experience with death and rebirth...,Мне бывает трудно оформить мысли в слова.\! Особенно что касается смерти и перерождения...
It seems beyond the realm of words to describe...,"Думаю, слова такое описать не способны..."
"Yep. Same with this draw to the divine shrines.\! Lysander, I felt something familiar in the shrine at Mount Karnac.\! It's like I've been living a lie until that moment.\! How can one resist the long-awaited truth?\! Could you?","Ага. И то же самое с тягой к этим святилищам.\! Лисандр, я чувствую что-то очень близкое в святилище на горе Карнак.\! Чувство такое, будто всю дорогу живёшь неправдой.\! А тут появляется шанс узнать истину. Ну как тут устоять?\! Вот ты бы смог?"
"\n[8]...\| I swore to be your right hand, and a proper right hand does not let his leader go unprepared.\! I just ask that you keep your eyes open.\! There is something going on that I do not like.\! We are about to pursue the shrine at Greywind Mountain...\| let us hope we find the answers we need there...","\n[8]...\| Я поклялся быть твоей правой рукой, а хорошая правая рука всегда поможет лидеру подготовиться.\! Просто прошу тебя, будь начеку.\! Что-то странное происходит, и мне это не нравится.\! Нам предстоит путь на гору Грейвинд...\| надеюсь, хоть там мы найдём ответы на наши вопросы..."
