ENGLISH,Russian
Oh...\| flowers. How nice.\! You really are a hopeless romantic.\! And I do emphasize hopeless.,Ого...\| цветы. Как это мило.\! Ты просто безнадёжный романтик.\! С акцентом на «безнадёжный».
"You wound me, my dear.\! You wound me with your blade-edged words...","Ты делаешь мне больно, дорогая.\! Своими словами, что острее любых клинков..."
So sorry.\! You may want to see a priestess.,Мне очень жаль.\! Обратись к целительнице.
"All I need is the warmth of your radiant beauty by my side.\! Admit it, how can you look at these baby blues and remain so defiant?","Я жажду лишь лицезреть твою неземную красоту рядом с собой.\! Скажи, как тебе удаётся сохранять непреклонность, глядя в мои прелестные голубые очи?"
"You would do quite well if those 'baby blues' did the talking, and not your foul mouth.","Всё было бы хорошо, если бы и разговор вели твои «прелестные очи», а не глупый рот."
....A compliment?\! From the icy heart that struggles to beat beneath this breathtaking visage I see before me?\! I can now die a happy man...,"....Ого, это комплимент?\! От ледяного сердца, которое лениво бьётся в твоей гордой груди?\! Теперь я готов умереть счастливым..."
"Ah, by all means, proceed.",Ни в чём себе не отказывай.
But your heart would be shattered beyond repair for the rest of your days.,Но тогда твоё сердце останется разбитым до конца дней.
"Dream\| on!!!\! Ugh, when are you going to get a clue?!\! You are a pig and I do not like you!","Ага,\| размечтался!!!\! Ну когда же до тебя наконец дойдёт?!\! Ты грубиян, и ты мне совсем не нравишься!"
...yet.,...пока что.
"You'd better hope for a miracle then, thief.","Ну что ж, вор, можешь надеяться на чудо."
"We do live in strange times, m'lady!\! Keep believing and it may just come true!","Мы живём в интересные времена, миледи!\! Если искренне во что-то верить, оно может и сбыться!"
"Ugh, no, YOU are the one who wants...\| Nevermind.\! I am going away now!\! If you follow me, I will put an arrow through your eye socket!","Это ТЕБЕ бы хотелось в это...\| А, ладно.\! Всё, я ухожу!\! Если отправишься за мной, клянусь, я всажу тебе стрелу в глаз!"
"A blessed day to you, fair Narima.\! You know where to find me.","Приятного дня, о прекрасная Нарима.\! Если что, ты знаешь, где меня найти."
