ENGLISH,RUSSIAN
"\c[1]Interesting.\! You really think it was a good idea coming here, do you?",\c[1]Ты меня удивляешь.\! Как ты вообще не побоялся прийти сюда?
I-I... guess I saw something different about you.\! Any of the others...,"Н-ну... мне оказалось, что в тебе что-то такое есть.\! Ты не такой, как другие..."
Any of the others would've killed you on sight.\! I sincerely hope for your sake that you have an answer for me.,"Другие прикончили бы тебя на месте без вопросов.\! Ты и сейчас этим рискуешь, если не объяснишь, зачем пришёл."
I... I understand.,"Я... Да, я понимаю."
"While your interpretation of the texts is somewhat rudimentary, I believe it to be correct.\! Well...\| correct enough for your purposes.","Ты не совсем верно перевёл древние тексты, но всё же достаточно корректно.\! Ну...\| достаточно для твоих целей."
"If I am ""correct enough"", then how best to act on this information?\! That said, it disturbs me that you were willing to risk your life to come here.\! I know you have much to gain.","Допустим, но если этого «достаточно», то что теперь с этим делать?\! Я вообще в шоке, что ты ради этого рискнул пробраться сюда.\! Тебе ведь есть что терять."
"B-begging your pardon, but we are not so different!","Т-ты не обижайся, но мы с тобой не такие уж и разные!"
"Except that you serve a mad cult, and are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not be following that path, Jebediah.","Ну, разве что ты служишь культу безумцев и настолько ослеплён жаждой награды, что готов терпеть, когда с тобой обращаются как с псом.\! Нет, Джебедайя, мне это претит."
"Our business is done.\! Leave, following my exact instructions.\! One deviation will likely be your last mistake... and mine.","Больше нам обсуждать нечего.\! Я скажу, как тебе уйти незамеченным.\! Действуй в точности как я скажу, или это станет роковой ошибкой... для нас обоих."
D-do not waste this chance to make things right...,У тебя ещё есть шанс всё исправить...
"Any of the others would've killed you on sight.\! And if you don't have a good answer for me, they'll know you're here.","Другие прикончили бы тебя на месте без вопросов.\! Я живо это устрою, если не объяснишь, зачем пришёл."
Except that you are so blinded by the promise of reward that you let yourself get kicked around like a dog.\! I will not let that happen to me.,"Ну, разве что ты настолько ослеплён жаждой награды, что готов терпеть, когда с тобой обращаются как с псом.\! Но я не такой."
Our business is done.,Больше нам обсуждать нечего.
I know you feel alienated by the Nephilim.\! They do not deserve the power they wield.\! But just...\| just please don't hurt my Beatrix...,"Я знаю, что нефилимы не слушают твоего совета.\! Они не заслуживают обладать такой великой силой.\! Но...\| лишь бы моя Беатрикс не угодила в беду..."
...\| Pardon me?!,...\| Чего-чего?!
Please...,Только бы...
"...""Your"" Beatrix?\! What, do you think you can win over that unhinged harpy by coming to her rescue?","...«Твоя» Беатрикс?\! Ты правда думаешь, что спасёшь эту шальную мегеру, и она бросится в твои объятия?"
"Go home, Jebediah. You poor, misguided soul.","Уходи, Джебедайя. Ты настолько блаженный, что мне тебя даже жалко."
