ENGLISH,RUSSIAN
"It is like a game of chess.\! You will command groups of soldiers known as ""Squads"", and each squad will have a leader.","Это как шахматы.\! Под твоим началом отряды бойцов, каждый со своим командиром."
"You appear as blue, and the enemy team appears in red.","Твои отряды синие, а вражеские — красные."
"Time to engage in combat!\! First, you must move your squad next to me.\! Select your squad, then select the tile next to my squad on the map to move.","Ну, пора в бой!\! Подведи свой отряд, чтобы оказаться рядом со мной.\! Для этого выбери свой отряд, затем выбери соседнюю от моего отряда клетку и нажми, чтобы передвинуть свой отряд туда."
"Right. Now, it's time to attack.\! Choose the attack option, then target me.\! Careful, defenders will counter attack if they can!","Прекрасно. Теперь научу тебя атаковать.\! Выбери пункт «Атака» и напади на меня.\! Только помни, защитники при любой возможности контратакуют!"
This isn't exactly fair...,Но так ведь нечестно...
"I am one soldier with one sword.\! You're going to command a whole army some day - you must think of yourself as a leader, and your followers are your sword and shield.\! First things first, show me what you've got!","Сейчас в битве участвую только я со своим мечом.\! Но когда-нибудь ты поведёшь в бой целую армию. Учись думать о себе как о лидере, а о своих последователях — как о своём щите и мече.\! Но сначала покажи мне, что ты умеешь!"
Not bad.\! Now let's raise the stakes.,Неплохо.\! Теперь давай немного усложним задачу.
"You're now leading a squad with a good balance of troop types.\! You've got heavily-armored troops in front, or ""Heavy Infantry.""\! Always rely on Heavy Infantry to serve as the backbone of your army, not only to protect weaker allies, but to rush down and attack.\! Your squad also has 3 ""Archers"".\! These long-range troops are not as sturdy, but can attack from a distance, avoiding counter-attack.","Сейчас под твоим началом сбалансированный отряд, в составе которого войска разного типа.\! Впереди стоят воины в мощной броне, это тяжёлая пехота.\! Тяжёлая пехота — это основа армии. Они не только защищают более слабых союзников, но и сами атакуют врага.\! Ещё в твоём отряде 3 лучника.\! Это войска дальнего боя. Удар они держат не так хорошо, зато могут атаковать издалека, и в таком случае враг не может контратаковать их."
"Your turn is up for now.\! Access the menu, and ""End Turn"" to proceed.","Ну вот, твой ход завершён.\! Войди в меню и выбери «Завершить ход», чтобы продолжить."
"Now you're ready.\! Attack me, and try to take me down!","Ну вот, обучение закончено.\! Атакуй меня и попробуй победить!"
"Nothin' to it. There's a great deal more to learn.\! But for now, you should be able to lead our forces against Antares.\! As we progress, tutorials will pop up, and you'll be able to access them whenever you want.","Видишь, не так всё и сложно. Тебе предстоит ещё многому научиться.\! Но этих навыков хватит, чтобы сразиться с генералом Антаресом.\! В дальнейшем будут появляться новые обучающие уроки, которые затем будут доступны в любой момент."
