ENGLISH,Russian
"Oh, hi there, Abigayle.\! I was just passing through...","О, привет, Абигейл.\! А я тут мимо проходил..."
"Of course, \n[8]!\! You didn't want to talk to me?\! Okay, well, take care...","Ну конечно, \n[8]!\! Говорить со мной, значит, не хотел, да?\! Ну ладно, пока..."
Sorry to bother you.\! ...See you around.,"Прости, что потревожил.\! ...Давай, увидимся."
Is there something...,"А что, разве что-то..."
"Oh, sorry.\! I...\| Okay, let me start over.\! ...Hi Abigayle. I just wanted to check up on you.\! The battlefield is pretty rough at times...","Ой, прости.\! Я...\| Ладно, начнём сначала.\! ...Привет, Абигейл. Просто решил к тебе заглянуть.\! Волнуюсь, как ты там на поле боя..."
"Oh, that is sweet of you.\! It can be frightening... but it is my duty.\! Do not worry about me, dear \n[8].","Ой, как мило с твоей стороны.\! Страшновато бывает... но ведь это мой долг.\! Не переживай, дорогой \n[8]."
"Yeah...\| That's the thing.\! I do worry about you.\! Even if it's not necessary.\! When I see you out there, I...","Ага...\| Но дело вот в чём.\! Я всё-таки о тебе переживаю.\! Пусть даже необоснованно.\! Когда я тебя там вижу, то..."
"...Yes, dear \n[8]?","...Да, милый \n[8]?"
I want to protect you.,Мне хочется тебя защищать.
Does that not just make you a responsible leader?,Но ведь это нормально для любого ответственного лидера.
"No, no, not like that.\! It's you, Abigayle.\! It's you specifically who I want to protect...","Да нет, нет, дело не в этом.\! Дело в тебе, Абигейл.\! Мне именно тебя хочется защищать..."
"Oh...\| Oh my stars.\! Why me, dear \n[8]?","Ох...\| О звёзды.\! Но почему именно меня, милый \n[8]?"
I don't know.\! I've felt that way since the first moment I met you.\! To be perfectly honest... my heart skipped a beat.\! I seem to remember it being really obvious on my face...,"Не знаю.\! Я это ощущаю с самого дня нашей встречи.\! Если совсем честно... у меня тогда будто сердце на секунду замерло.\! Кажется, это даже было заметно по моему лицу..."
"I-It is actually me who was embarassed to meet you, \n[8]...\| I felt my face turned the darkest shade of red...\| how foolish of me to lose my composure like that.","Н-на самом деле, это я очень смущалась, когда тебя встретила, \n[8]...\| У меня лицо как будто стало краснее вишни...\| как глупо было подобным образом терять самообладание."
...You didn't notice me blushing?,...Так ты не заметила моего смущения?
"Nor did you notice me, dear \n[8]...","А ты моего, милый \n[8]..."
"Abi... I haven't been able to get you out of my mind, since the first moment I met you.",Аби... ты не выходишь у меня из головы с самого момента нашей встречи.
I feel the very same about you...\| Oh my stars... You are a dream come true!,"Это совершенно взаимно...\| О звёзды... Кажется, моя мечта сбылась!"
