ENGLISH,KOREAN
Granheim Abbey is just over those mountains. It is a Donari Temple outpost.\! We will be safe there.,그랜하임 수도원이 바로 저 산 너머에 있어요. 도나리교 전초기지죠. \! 거기라면 안전할 거에요.
"Please keep moving. If the cold does not take us, enemy patrols will.","계속 움직여야 해요. 우리가 얼어 죽지 않는다면, 적 순찰대가 우릴 죽일 거에요."
Am I the only prisoner you found alive?,당신들이 찾아낸 죄수들 중 살아있던건 나뿐인가요?
"Sorry, friend. You're it.","미안하군, 친구. 자네 뿐이야."
Zelos...,젤로스...
He was with me before they took me.\! He fought to save my life.,놈들이 날 잡기 전까지 나와 함께 있었어요. \! 날 살리기 위해 그 친구가 싸웠는데...
Our enemy is clever and elusive.\! It is possible that your friend was taken elsewhere.,우리의 적은 명민하고 또 은밀하죠. \! 당신의 친구는 어디 다른 곳에 잡혀 있을 수도 있어요.
...What enemy?,...어떤 적이죠?
"Long story, friend.\! We'd best be headin', though. Askin' for a bit of trust here.","말하지면 길어, 친구. \! 하지만 지금은 계속 나아가는 게 최선이야. 조금은 믿어주면 고맙겠어."
Of course...,물론이에요...
