ENGLISH,KOREAN
"Hello, dear Sister Diana...","안녕하세요, 다이애나 자매..."
"Greetings, Sister Abigayle. Any luck with Nibbler?","반가워요, 아비게일 자매. 깨물이랑은 잘 지내고 있나요?"
"Oh my stars... he is so stubborn! Surely he is mature enough to fly with me, but he simply refuses every time!","오 별들이여... 너무 고집쟁이에요! 확실히 나랑 같이 비행할 만큼은 컸지만, 매번 거절하는 거 있죠!"
That's strange. Considering how much you've cared for him.,그거 이상하네요. 그렇게 아껴준 걸 생각해 보면 말이에요.
It is...\| a little heartbreaking! And mystifying. Other dragons do not have a similar reaction and are amiable.\! Even Azuros has truly opened up to me.,그게... \| 좀 속이 상해요! 그리고 신비하기도 하고요. 다른 용들은 비슷한 반응을 하지 않고 우호적이거든요.\! 아주로스조차 나한테 완전히 마음을 열었구요.
"You know, perhaps Nibbler would rather you stay on the ground.","있죠, 어쩌면 깨물이는 땅에 머물러 있고 싶어하는 걸 지도 몰라요."
...Hmm??,...흠??
"He is young. From what you've told me about dragons, his mind is that of a human child.\! Perhaps he sees you with two legs, and no wings, and insists it's not safe for you soaring through the skies.","아직 어리잖아요. 당신이 용에 대해 말한 것을 보면, 그 아이의 마음은 사람 어린아이와 같죠. \! 아마도 날개가 없는 두 다리를 가진 당신을 보고, 하늘을 나는 건 당신에게 안전하지 않다고 고집하는 걸 지도 몰라요."
Oh...\| you really think that's it?!,오...\| 정말 그런 걸까요?!
"You would know better than I. However, lacking evidence to the contrary, isn't it nice to think that might be it?","나보다는 당신이 더 잘 알 거에요. 하지만 반대의 증거도 없으니까, 그럴 수도 있다고 생각하면 좋지 않을까요?"
"Dear Diana, you have made my day!\! ...\| I have to tell you, he has opened my mind to who I truly am...","다이애나 님, 오늘 정말 기쁘네요!\!... \| 사실은요, 깨물이가 내가 정말 누구인지에 대해 내 마음을 열어 줬어요..."
And what's that?,그게 뭘까요?
"Surely you already know...\| I have never once heard Donar's voice speak back to me. But I have heard my dragons, in their own way.",분명 이미 알고 게시겠죠... \| 한 번도 도나르께서 제게 대답해주시는 음성을 저는 들어본 적이 없어요. 하지만 용들은 자기만의 방식으로 대답하는 게 들려요.
The comforts of our world are indeed more tangible than that which lies beyond our understanding. No need to hide from this realization.,우리 세계의 안락함은 사실 우리의 이해를 뛰어넘는 것들보다 더 구체적이에요. 이런 깨달음에서 숨을 필요는 없어요.
There's more...\| it's Azuros. He has...\| actually begun to speak with me.\! He has started to call me Dragon-Speaker.,사실 더 있어요... \| 아주로스요. 그 분이...\| 진짜로 제게 말을 걸기 시작했어요.\! 저를 용언자 라고 부르기 시작했어요.
Come again?,뭐라고요?
"He has lived many, many of our lifetimes. He knows our language. I think perhaps he knows all langauges...\! But he won't speak a word to anyone else. He has told me of other dragon monarchs.\! Kalytos the Red, Duros the Black, and Adorimetra the Gold, the true mother of all dragons. In his own words, that which created them is not so different from the power of the Nephilim...","그분은 우리 일생을 아주 여러 번 합친만큼 살았어요. 우리 말을 알죠. 아마 모든 언어를 다 알 거에요... \! 하지만 다른 사람한테는 한 마디도 안 하죠. 다른 용족 왕들에 대해서도 얘기해 줬어요. \! 붉은 칼리토스, 검은 듀로스, 그리고 모든 용의 진정한 어머니 황금빛의 아도리메트라 까지. 그분 자신의 말로, 자신들을 창조한 힘은 네필림을 만들어낸 힘과 그리 다르지 않다고 했죠..."
Go on...,계속 해주세요...
"That's all, for now. He can only think about that one thing. He keeps mentioning them as though they are family. It gives him great distress...",지금으로서는 거기까지에요. 그는 그 한 가지만 생각할 수 있어요. 가족인 것처럼 계속 언급하더라고요. 그래서 더 힘들어 하던 것 같아요...
"Sister Abigayle, Azuros may hold knowledge otherwise unvailable to us. Perhaps even extinct from our world completely.","아비게일 자매님, 아주로스는 달리 우리가 알 수 없었을 지식을 알고 있을지 몰라요. 아마도 우리 세계에서는 완전히 잊혀진."
"He is still highly distrustful of humans. I need time to understand him better, dear Diana...","그분은 아직 우리 인간을 잘 믿지 않고 있어요. 더 잘 이해하려면 시간이 필요해요, 다이애나 님..."
"Of course. Donar be with you, Dragon-speaker.","물론이에요. 도나르가 함께 하시길, 용언자 님."
