ENGLISH,KOREAN
\n[8]. You honor me with your presence.,\n[8]. 당신이 오다니 영광이에요.
"I have so many questions for you, Diana.","물어볼 게 너무 많아요, 다이애나."
Is your purpose unclear?,당신의 삶의 목적에 대한 상담이 필요한가요?
"It's about the Temple.\! What's the deal with the priestesses, and the other Temple devotees?",교단에 대한 거에요. \! 여사제들과 교단의 다른 신도들은 무슨 관계인거죠?
"The Sisterhood of Mercy are a seperate holy order.\! The Sisterhood of Justice and the Male Paladins take their direction from me, and I am second in command to Grandmaster Oxley.","자비의 자매회는 우리 자매회와는 분리되어 있는 별도의 교단 단체에요. \! 정의의 자매회와 남성 성기사들은 내 명령을 받고, 나는 교단 내에서 대사제 옥슬리 님 다음으로 지휘권을 가지는 2인자죠."
Righto.\! What's this bond you have with Edelia?,그렇군요. \! 그러면 에델리아와 당신이 맺었다는 결속은 뭐죠?
"She is tasked with caring for my son, and providing support for me in addition to her duties to the Sisterhood of Mercy.\! It was Edelia who crafted me this ruby amulet, to remind me of home.\! A small comfort, ever since I was sanctioned for war.","에델리아는 내 아들을 돌볼 임무가 있고, 자비의 자매회에 의무를 다하는 한 편 날 지원해주는 업무를 맡고 있어요. \! 내가 집을 떠올릴 수 있도록 해주는 이 루비 부적을 만들어준 것도 에델리아에요. \! 전쟁에 부름 받은 이후로 작은 위안이 되어 주었죠."
Wait...\| you were sanctioned?,잠깐...\| 부름 받았다고요?
"All female potentials must bear at least one child before they are put in harm's way.\! After Alex was born, I began my Paladin training.","모든 여성 후보자들은 최소한 아이 하나를 낳아야만 전투에 나설 수 있어요. \! 알렉스가 태어난 뒤에야, 나는 내 성기사 훈련을 시작했죠."
"Makes sense I guess...\| So, who's Alex's father??","말이 되는 것 같네요... \| 그래서, 알렉스의 아버지는 누구에요??"
...He was a devout man who sacrificed much and became one of the Temple's most beloved.\! He and I have lost contact... I try not to let it become a part of my thoughts.,"...아주 신실한, 그리고 많은 것을 희생하여 교단의 가장 사랑받는 이 중 하나인 남자였죠. \! 비록 나랑은 연락이 끊겼지만... 그 일에 대해서는 생각을 안 하려고 해요."
Oh... I'm sorry. Probably too personal.,오... 미안해요. 너무 개인적인 걸 물었네요.
"It matters not, if the Temple deems it so, it shall be so.\! Alex has my whole heart, and I now have my duty as a mother to a future Temple devotee.","별로 중요하지는 않아요, 교단이 그렇다고 하면, 그런 거니까. \! 알렉스는 내 전부이고, 이제는 우리 미래의 교단 신자님께 어머니로서의 의무가 있죠."
So when do you get to... you know... enjoy life?,그럼 언제...그러니까...당신의 인생을 즐길 수 있는 거에요?
"Hmm, consider it is far more enjoyable for a Paladin to live as a warrior, ready to destroy evil in any form it takes.\! By that point of view, my life is enjoyable beyond description.","흠, 어떤 형태로든 악을 파괴할 준비가 되어있는, 전사로서의 삶이 성기사에게는 훨씬 더 즐거운걸요. \! 그런 시각에서 보자면, 내 삶은 말로 설명하기에는 부족할 정도의 즐거움이 있는 셈이에요."
Fascinating. Your way of life is sort of...\| refreshing to see.\! At least there's some semblence of order in this crazy world.,멋지네요. 당신의 삶의 방식은 조금...\|신선하다고 해야할까요. \! 최소한 이 미친 세상에 질서 비슷한 걸 부여하니까요.
"Your open mind and open heart are refreshing to me.\! Please, do not hesitate to share your company with me again.","당신의 열린 사고방식 역시 내게 신선하게 다가와요. \! 그럼, 다시 이야기를 나누고 싶으면 나를 언제든지 불러주세요."
Count on it!,기대해도 좋아요!
