ENGLISH,KOREAN
Chapter 29: Zenith of the World,제 29장: 세상의 정점
So you chose to remain a slave.\! Pathetic...,그래 노예로 남기로 결정했다고. \! 한심하군...
Beatrix...\| My love!\| Y-you will see me again in the next life!,베아트릭스... \| 내 사랑! \| 다-다음 생에서 다시 만나요!
"""Beatrix, my love""??","“베아트릭스, 내 사랑”??"
"Oh to be him, poor, poor little Jeb, and desire that which he could never have.\! I believe we have done him a favor by sending him to the void.","오, 불쌍하디 불쌍한 젭은 절대 가질 수 없는 것을 욕망한다네. \! 우리가 쟤를 공허로 보내준 건 사실 쟤한테도 좋은 일이었던 게 아닐까?"
"Stop! This man spared my son.\! Assassin, why do you serve Zanatus?","멈춰! 이 남자는 내 아들을 구했어. \! 암살자여, 어째서 자나투스를 섬기는 거지?"
"...\| I am a dead man whose heart still beats.\! It is the only path left.\! But now I accept defeat, Paladin.\! My life is yours.","... \| 나는 그저 심장만 뛰는 죽은 사람이오. \! 그것만이 남은 길이기 때문이지. \! 하지만 이젠 나의 패배를 인정하겠소, 성기사여. \! 내 목숨은 당신 것이오."
"The only path? You speak like you are downtrodden.\! This is what they do - they beat the hope out of you, so that they can fill your emptiness with their evil.\! But there is always hope, even for you.\! If you will turn your skills against the enemy that would throw you at a certain death.","남은 길? 마치 억압 받는 것처럼 말하는군. \! 이것이 그들이 하는 일이야 - 희망을 꺾어버려서 공허함을 악으로 채우게 만드는 것. \! 하지만 언제나 희망은 있지, 당신에게도. \! 당신을 기필코 죽이려드는 적들을 상대로 당신의 능력을 사용할 의지가 있다면 말이야."
"You are wasting your empathy on me, Paladin.\! But if you wish for me to be an ally against the demon cult, then it shall be done.\! When they are all dead, I will disappear from your world forever.","당신은 당신의 동정심을 내게 낭비하고 있소, 성기사. \! 하지만 내가 당신을 도와 악마 숭배자들에게 대항하기를 바란다면, 그대로 이루어 질 것이오. \! 저들이 모두 죽고 나면, 당신의 세계에서 영영 사라질 것을 약속하오."
"You will get no more fight from me, \n[8]...","더 이상 내게는 싸울 힘이 없어, \n[8]..."
