ENGLISH,KOREAN
Chapter 2: For Whose Sake?,제 2장: 누구를 위해서인가?
"\n[8]?!\! What's the world comin' to, with you savin' my hide now?","\n[8]?! \! 세상이 어떻게 돌아가는 거야, 자네가 날 구해 주다니?"
"It's the least I can do, Barnabas.\! I owe you the world.","이 정도는 당연하죠, 바나바스. \! 제게 해주신 것들을 생각하면요."
"Bah. Everything ya got, ya got through yer own sweat 'n grit.\! Wasn't my doin.'",하. 자네가 가진 것은 모두 자네가 땀 흘려 쟁취한 거야. \! 내가 해 준 게 뭐가 있다고.
"It's an honor to fight by your side, after all these years.\! Can't wait to show you what I've learned.",오랜만에 당신 곁에서 다시 싸우게 되어 영광이에요. \! 제가 배운 것들을 어서 보여드리고 싶네요.
"Let's plan our approach to Centurion's Rest.\! If we go to the right, looks like we're facing two squads of Cavalry.\! Cavalry are fast and powerful warriors, but fall easily to spears.\! They're guarding a stables that we can take as a source of war horses for ourselves.","백인대장의 안식처까지 어떻게 접근할지 계획을 세워보자고.\! 우측으로 가면 기마 부대 둘을 마주치게 돼. \! 기마 부대는 빠르고 강력한 전사지만 창에 쉽게 쓰러지지. \! 보아하니 마구간들을 지키고 있는 것 같은데, 우리가 마구간을 차지한다면 전투마를 얻을 수 있을 것 같군."
"\n[8], look out for those walls!\! Those archers on top of the walls are protected from close-range attacks and their arrows will be much stronger.\! If we can break through and go up those ramps, we can take those guys out!\! Or, I can try to shoot at them from the ground level, but I'll be at a disadvantage.","\n[8], 저 성벽을 조심해! \! 성벽 위의 궁수들은 근거리 전투에서 보호받는데다가, 화살도 훨씬 매서워. \! 우리가 돌파해서 저 경사로를 올라가기만 하면, 놈들을 처치할 수 있을거야! \! 아니면 지상에서 내가 활로 공격해 볼 수도 있지만, 아무래도 불리하지."
"Or we can go left, a more direct route.\! They've got one fort there, guarded by a pretty tough squad.\! Taking that fort won't be easy.\! \n[8], the left route is connected by roads.\! Road terrain allows all units a high degree of movement range.","아니면 좌측으로 가면 어떨까, 더 직접적인 경로지. \! 저쪽엔 꽤나 강한 부대가 지키고 있는 요새 하나만 있어. \! 요새를 차지하기가 쉽지는 않을거야.\! \n[8], 왼쪽 길은 도로에 접해 있어. \! 도로 지형은 모든 유닛의 이동 범위가 대폭 높아지지."
"Hmmm... why not both?\! More objectives to capture, more reward.","흐으음... 둘 다 고르는 선택지는 어때?\! 점령할 수 있는 목표가 많은 만큼, 보상도 더 많아질거야."
"Damn, are we already too late?\! Our base at Marrenburg is under attack.\! Looks like we don't have time for the rest of the army to catch up.\! We've got to save that base!","이런, 우리가 이미 너무 늦었나? \! 마렌버그에 있는 우리 기지가 공격받고 있어. \! 나머지 병력을 기다릴 시간이 없을 것 같은데. \! 우리가 저 기지를 구해야 해!"
Got it. Let's meet up with the base defender and eliminate those rebels.,알겠어. 기지 방어군과 합류해서 저 반군들을 없애버리자.
"\n[8], this battlefield has a lot of Woods and Forests.\! Woods, being rough terrain slows down movement a bit, but offers some protection against long-range arrow fire.","\n[8], 이 전장에는 나무와 숲이 아주 많아. \! 숲은 거친 지형으로 이동 속도를 조금 떨어뜨리지만, 원거리 활 공격으로부터 다소 보호해 줄거야."
"So, \n[8]. The next attack dog sent by the capital.\! Do you even know why you bleed for them?\! Perhaps not... until you've been made to bleed enough.","수도에서 보낸 다음 사냥개가 네놈이군, \n[8]. \! 놈들을 위해 도대체 왜 네가 피를 흘려야 하는지 알기나 하나? \! 어쩌면 아닐지도 모르겠군... 네가 충분히 피를 흘리기 전까지는 말이지."
They've reached Centurion's Rest... fall back to the keep and prepare our final defenses.\! Donar save us...,놈들이 백인대장의 안식처에 도달했나... 내성으로 물러나서 최후의 방어를 준비하게.\! 도나르여 우리를 구하소서... 
"See that Donari Temple, \n[8]?\! If our troops have fallen in battle, they can be revived there, for a fee.\! The enemy can do the same, so it's best we take those Temples no matter what.","저 도나리 사원 보여, \n[8]? \! 우리 군단이 전투에서 쓰러지면, 값을 치르고 저기서 부활할 수 있어. \! 적도 마찬가지니까, 저 사원들은 무슨 일이 있어도 우리가 차지해야 해."
