ENGLISH,KOREAN
"Jules, I think I scare people.","줄스, 내가 사람들을 겁주는 것 같아."
"Scare people?\! Oh, come on, Beatrix, that's not true.\! You're just a little newer around here!","사람들을 겁 줘? \! 오, 그러지 마, 베아트릭스, 그건 사실이 아니야. \! 네가 아직 사람들에게 좀 낯설어서 그런 것 뿐이야!"
"You're just a cuddly little fuzzball, aren't you?\! Of course I scare people.","어휴 말하는거 귀여워 죽겠네 진짜. \! 당연히 사람들이 나만 보면 기겁하지."
"Okay, I'll say it. I'm so lonely.\! Everyone here looks at me like I'm an alien from another world.\! It seems for the time being, I need to get along with other humans... sigh.\! Jules...","좋아, 인정할게. 난 너무 외로워. \! 여기 모두가 날 무슨 다른 세상에서 온 외계인처럼 바라보지. \! 당분간은, 다른 인간들과 잘 지내야 할 것 같아.. 하아.\! 줄스..."
"Yeah, I can see why that would hurt.\! We all need to feel like we belong somewhere.\! Beatrix, I'm going to make extra sure you feel welcome here, with us.","그래, 왜 그게 상처가 되는지 알 것 같네. \! 우리 모두는 어딘가 속해 있다는 그 소속감이 필요해. \! 베아트릭스, 여기서는 우리와 함께 환영받는다는 느낌을 네가 꼭 받을 수 있도록 내가 더 노력할게."
...Why?\! You would be spending precious social capital.,...대체 왜? \! 네 소중한 사회적 자원을 쓰게 될 텐데.
"Oh, well, I just think you're misunderstood!\! I like you, though!","오, 음, 난 그냥 네가 쉽게 오해받는 거라고 생각해! \! 그래도 난 네가 좋은걸!"
"Misunderstood... yes, yes, she must be so empty inside.\! No family other than her absent father, brain scrambled by magic meddling, blah blah blah.\! I have embraced it.\! I could just wallow in self-pity, or I could find satisfaction in the never-ending thrill of weaving chaos through the world.\! What sounds more worthy of one's time to you?","오해라... 오오 가엾은 베아트릭스, 속이 얼마나 공허할까. \! 평소에 있는지조차 모르겠는 아버지 빼고는 가족도 없고, 마법적 간섭으로 머리는 맛이 갔고, 어쩌구 저쩌구. \! 난 다 받아들였지. \! 자기 연민에 빠져서 찡찡거릴 수도 있었지만, 난 이 세계에 혼돈을 엮어내면서 끝이 없는 짜릿함을 즐기는 방법을 찾아냈지. \! 내가 내린 결정이 네가 보기에는 어때?"
I mean um... thanks for caring.\! For some reason it is different when you say it.\! You trying to get your hands on my future piles of money?,그러니까 내 말은 음... 신경 써 줘서 고마워. \! 왠지 네가 말하니까 다르네.\! 내 미래의 돈더미를 손에 넣으려고 그러는 거야?
"Haha, what?\! What money?","하하, 뭐라고? \! 무슨 돈?"
"I'm the sole inheritor of the Pendergast fortune, silly! Or I should be, anyway.\! If my father would hurry up and kick the bucket already so it's all in my rightful hands.","나는 펜더가스트 가문의 재산을 물려받을 유일한 상속자야, 바보야! 뭐, 일단은 그렇긴 한데, 아무튼. \! 내 아버지가 빨리 꼴까닥해서 모든 재산이 응당 내 손에 들어왔으면 좋겠는데 말야."
"Oh, neat!","와, 그거 멋지다!"
So you didn't know I'm going to be filthy rich?? Then..., 그러니까 내가 엄청난 부자가 될 거란 걸 몰랐다는 거야? 그렇다면...
"Nope. I just think redheads are beautiful.\! Well, all women are beautiful, but redheads even more than that.\! And... you, even more beautiful than all those redheads!","아니. 나는 그냥 적발들이 아름답다고 생각해. \! 음, 모든 여자가 아름답지만, 적발은 더 아름답다고 해야하나. \! 그리고...넌, 그 모든 적발들 중에서도 가장 아름다워!"
"...I am jealous of which maiden has won your heart.\! Jealous enough to burn her down to cinders, even.",... 어떤 아가씨가 네 마음을 사로잡았는지 질투가 나는데.\! 그 여자를 불태워 재로 만들고 싶을만큼 질투 나.
"Well I love my sister, but other than that, no girl!\! Please do not burn my sister down to cinders.\! But... are you saying you'd want to go steady with the likes of me?","난 여동생을 아끼긴 하지만, 그 외에는 여자는 없어! \! 내 여동생을 불태워버리진 말아 줘. \! 하지만...나 같은 사람이라도 넌 계속 함께 해줄 수 있다는 거야?"
"Heh, it's you I'm more worried about, kiddo.\! I'm not... AT ALL... like other girls.\! But, I promise, if you do get accidentally blown up, I WILL find a way to put you back together.","헤, 나보다는 네 자신을 더 걱정해야지, 꼬맹아. \! 난... 전혀... 다른 여자들 같지는 않아.\! 하지만 약속할게, 네가 실수로라도 터져 버리면 '반드시' 널 하나로 합칠 방법을 찾아 줄게."
"That's okay!\! Wow, I never thought I could be with a woman as beautiful as you...","그건 괜찮아! \! 와, 너처럼 아름다운 여자랑 함께 있을 수 있을 줄은 몰랐어..."
"Maybe, just maybe, falling for you is going to prove more fun than recreating existence in my image.\! Please don't ever lose that charming naivete...","어쩌면, 정말 어쩌면 너한테 반하는 게 현실을 내 구상대로 주무르는 것보다 재밌을지도 모르겠네. \! 그 매력적인 순수함을 부디 잃지 말아 줘..."
