ENGLISH,KOREAN
"...Hey, you.","...안녕, 잘 지냈어?"
You look well. I'm glad they've given you the freedom you deserve.,좋아 보이네. 네가 받아 마땅한 자유를 주기로 했다니 기뻐.
"...\|In a sense, the guards have been agreeable.\| And of course, I am a model inmate.","...\|어떤 면에선, 간수들이 괜찮은 사람들이었어. \| 물론, 나도 모범수였지만."
"Heh...\| yeah, I have no doubt.","헤...\| 그래, 당연히 그랬겠지."
"There is no need for discomfort on your part, \n[8].\| This is penance for my own foolish actions, and how I proposed to repay my debts to my homeland.\! I can only hope the people see it as I do.","네가 불편해하지 않았으면 좋겠어, \n[8]. \| 이것은 나 자신의 어리석은 행동에 대한 속죄야, 내가 조국에 빚을 갚고자 제안한 바이기도 하고. \! 사람들도 나처럼 봐 주기만을 바랄 수 밖에."
"It seems self-imposed penance is all the rage these days, huh.","자기 자신에게 속죄를 부가하는 게 유행인 것 같네, 허."
"Indeed, and if I may impose, yours is entirely pointless.\| You are the hero of the age.","맞아, 그리고 사족을 붙이자면, 네 속죄는 완전히 무의미해. \| 너는 이 시대의 영웅이야."
"...So, I hear your articles are really making waves.\| I mean, that's not surprising, but... you're already serving in a government position before the end of your sentence?","... 그래, 네 저술이 정말 파장을 일으키고 있다고 들었어.\|  그러니까, 놀랄 일은 아니지만...형기를 마치기도 전에 벌써 정부 요직에서 일하고 있는 거야?"
"Yes. It is a largely ceremonial role for the time being, but I am humbled to know that my articles have been so well-received.\! The Proconsulate has offered me the honor of being a founding father of sorts.\! A bizarre fate for a man like me, but a responsibility I feel obligated to fulfill.","그래. 당분간은 대체로 의례적인 역할을 하지만, 내 저술들이 그렇게 좋은 평가를 받았다는 걸 알게 되니 겸허해지네. \! 최고 고문단이 내게 국가의 창시자들 중 한 명으로 인정 받을 수 있는 명예를 제안했어. \! 나 같은 사람에게는 기이한 운명이지만, 내가 채워야 할 책임이라는 느낌도 들어."
"That is wonderful, Lysander.\| You deserve no less, and our country needs what you have to offer desperately.\! This is truly who you were meant to be. If I can hope one thing for my loved ones, to fulfill the purpose etched by your birth is it.","멋지다, 라이샌더. \| 그럴 자격이 충분히 있지, 그리고 우리 나라도 네가 제공할 수 있는 바를 절실히 원하고. \! 네가 정말로 되어야 했던 자리군. 내가 사랑하는 이들에게 하나만 바란다면, 너희가 태어나며 부여받았던 목적을 수행하는 거야."
...Loved ones...,...사랑하는 이들...
"Of course.\| Always, Lysander...\| nothing, no one could touch my life as you have.","물론이지. \| 언제나, 라이샌더...\| 어떤 것도, 그 누구도 내 인생에 네가 남겼던 자취를 남길 순 없어."
I wish you would renounce this love entirely.\| ...\| I wish that I could.,네가 이 사랑을 완전히 그만두기를 바래.\| ... \| 나도 그럴 수 있으면 좋겠다.
"Yeah, not so easy, is it?","그래, 그리 쉽진 않지, 응?"
Will you ever return to Veridia?,언젠가는 베리디아로 돌아올 거야?
"You know I can't say.\| And... you know how I feel about it.\| About us.\| I need you to embrace your new life, and to let me go.\! If I return, if we do see each other again, I need to see you thriving. Happy, and fulfilled. Even if it's not with me.\! That is the only way either of us can survive the future, Lysander...","말할 수 없다는 거 알잖아. \| 그리고... 내가 어떻게 느끼는지도 알고. \| 우리에 대해. \| 넌 새로운 삶을 끌어안고, 난 보내 줘야 해. \! 내가 돌아온다면, 우리가 다시 만나게 되면, 잘 지내는 모습을 보고 싶어. 행복하게, 그리고 충만하게. 나와 함께가 아니라 해도.\! 우리 중 누구라도 미래에 살아가야 한다면 그 수 밖에 없어, 라이샌더..."
...\|\| Imagining life without you...\| it's so empty.\| So meaningless.,... \|\| 네가 없는 삶을 상상하니... \| 너무 공허해.\| 아무 의미도 없고.
"No, you're wrong!\| Stop getting trapped by your own hubris.\| You are in charge of your destiny now, you'll make that meaning.\| ...Don't suffer, Lysander.\| Please...","아니, 잘못 생각한 거야! \| 네 자만심에 갇혀 살아선 안돼. \| 넌 이제 네 운명의 주인이고, 네가 의미를 만들어 갈거야.\| ... 아파하지 마, 라이샌더.\| 제발..."
I'm sorry. It is not possible to be pleased with losing you.,미안해. 널 잃는 데 즐거울 수는 없어.
"I'm not lost.\| Not yet. A demon god couldn't take me down, I'm not about to throw in the towel for what ever awaits me.","날 잃는 게 아니야. \| 아직은. 악한 신도 날 쓰러뜨릴 순 없어, 난 날 기다리고 있는 게 뭐든 포기하지 않을 거야."
"Of course.\| Donar watch over you, \n[8]...",물론이지. \| 도나르께서 지켜주시길.\n[8]
"Thank you, Lysander... and you as well.","고마워, 라이샌더...네게도 행운을."
