ENGLISH,KOREAN
"\c[1]Underground escape route, Westerfield sewers\c[0]","\c[1]지하 탈출로, 웨스터필드 하수구\c[0]"
Why are they making us leave?,어른들이 왜 우릴 떠나게 하는 걸까?
They said the bad people are coming to take us away from our home.\! They said they are non believers.,나쁜 사람들이 우리를 집에서 억지로 데려가려고 온다고 그랬어. \! 어른들이 나쁜 사람들은 불신자라고 그랬어.
"Yeah, this one prolly told 'em we are here.\! We all know he's not a believer like us, he doesn't even want to give up his old name.\! Isn't that right, ALEX?!","맞아, 분명 얘가 우리가 여기 있다고 나쁜 사람들한테 말한걸꺼야. \! 우리 모두가 넌 우리와 같은 신도가 아니라는 걸 알거든, 옛날 이름도 아직 안 버렸고 말이야. \! 안 그러냐, 알렉스?!"
Shut up!\! I didn't tell anyone!!,닥쳐! \! 난 아무한테도 얘기 안했어!!
Stupid Alex... we're gonna tell on you.,멍청한 알렉스...너 어른들한테 이를거야.
Listen! My mom's gonna kill the masters.\! You'll see.\! She's the best fighter in the world.\! Then you can have your real families back!!,잘 들어! 우리 엄마가 장로들을 죽일 거야. \! 두고 봐. \! 엄마는 이 세상 최고의 전사니까. \! 그럼 다들 진짜 가족한테 돌아갈 수 있을 거라고!!
"That's it, you're dead.\! Come on, let's tell the masters we have a sacrifice!!!","이제 그만, 넌 진짜 죽었다. \! 가자, 장로님들께 우리가 제물을 가지고 있다고 말하자!!!"
Ha ha ha ha...\! Yeah! Get the non believer!!!,하 하 하 하... \! 맞아! 불신자를 잡아!!!
"Alright you little freaks, keep it down in here.\! The Emperor is coming.","좋아, 이 미친 놈들아, 조용히 해라. \! 황제 폐하께서 오고 계신다."
"Hello, young man.\! Your name is Alex, yes?\! Don't worry, you can say it here.","그래, 아이야. \! 네 이름이 알렉스, 맞느냐? \! 걱정 마라, 여기선 그 이름을 말하는걸 허하노라."
"Yes, mister.","네 맞아요, 선생님."
Are the other children bothering you?,다른 아이들이 널 귀찮게 하더냐?
"Ha ha... not a tattle-tale, I see.\! Alex, I'm going to take you to a safe place.\! Please come with me.","하 하... 고자질쟁이는 아니군, 그래. \! 알렉스, 짐이 널 안전한 곳으로 데려가주겠다.\! 같이 가자꾸나."
Do you know where my mom is??,우리 엄마가 어디 있는지 아세요??
"...\| I am sorry, I cannot say I know her.\! But, I am the Emperor - so I should be able to find her, don't you think?","... \| 흠, 짐이 그녀를 안다고는 할 수 없겠구나. \! 하지만 짐은 황제다 - 그러니 그녀를 찾을 수 있겠지, 그렇지 않으냐?"
Yeah I guess so...,네 그런 것 같아요...
"The rest of you, follow the masters' instructions.\! The...\| non-believers are coming to get you.",나머지들은 장로들의 지시를 따르도록. \! 그... \| 불신자들이 너희를 잡으러 올 것이다.
Let's get out of this den of muck...,이 더러운 진창에서 나가지...
