ENGLISH,KOREAN
Chapter 30: Armageddon,제 30장: 종말
"If only you knew how mistaken you are, Zanatus...\| But you will know soon enough.","네가 얼마나 잘못 알고 있는지 알았더라면, 자나투스... \| 하지만 곧 알게 되겠지."
"Much has changed since last we did battle, Donar.\! Before the first war, humanity was united in banner and in faith.\! Now, your people are born lost and without purpose.\! Although this has made you easy to manipulate, it tempts me to put your species out of its misery, and render your kind extinct forever.","우리가 마지막으로 전투한 이래로 많은 것이 바뀌었다, 도나르. \! 첫 번째 전쟁 이전에, 인류는 깃발과 믿음 아래 연합했었지. \! 이제, 너희 인간들은 목적 없이 길을 잃은채 태어난다. \! 그래서 너희 인간들이 조종하기 쉽게 되긴 했지만, 너희 종족들이 고통에서 벗어날 수 있도록 영원히 말살시키고 싶게도 만들지."
"Watch out, he's winding up to swipe us with those claws... don't stand in their path!","조심해, 저 발톱으로 우릴 내리치려고 한다...경로에 있어선 안돼!"
"It is quite the gambit, coming here, to the Divine Realm, the bridge between what you know to be your home, and the endless darkness beyond this fragile barrier.\! I would admire such boldness if from anyone else!","이 곳, 신의 영역에 오는 것은 상당한 도박이지, 네가 집이라 알고 있는 곳과 이 나약한 장벽 너머의 끝없는 어둠 사이의 다리. \! 다른 사람이었다면 그런 대담함에 감탄했을 것이다!"
"Damn, nothing can get through that shield.\! Stop those reinforcements from overwhelming us, and avoid those hot spots - he's targeting them with his magic!","젠장, 아무 것도 저 방어막을 뚫을 수 없어. \! 지원군이 우릴 압도하는 것을 막고, 위험한 곳들을 피해 - 놈이 마법으로 그곳을 노리고 있어!"
"Everyone, we need to destroy those soldiers quickly.\! He's trying to absorb them and gain more power!","모두, 저 병사들을 빠르게 처치해야 해. \! 놈이 저들을 흡수하여 힘을 더 얻으려 하고 있어!"
"Do you know how much I pity your kind, \n[8]?\! I have watched your supposed greatest minds try to make sense of your history.\! I have seen your institutions lie to your great masses, under the guise of maintaining peace and control.\! Despite this, how little control has your kind ever had.\! Your fates are pre-determined, and history will see me as the great truthteller - the one who saved humanity from its own hubris!","내가 너희 종족을 얼마나 불쌍히 여기는지 아나, \n[8]? \! 나는 너희의 소위 위대한 정신들이 역사를 이해하려 노력하는 것을 지켜봐 왔다. \! 나는 너희 제도가 평화와 통제를 가장하여 대중에게 거짓말을 하는 것을 보았다. \! 그럼에도 불구하고, 너희들이 이뤄낸 통제는 얼마나 미약했던지. \! 너희의 운명은 이미 결정되어 있고, 역사는 나를 위대한 진실의 선포자로 볼 것이야 - 인류를 자만으로부터 구원해 주는 이."
"Yes. You have done enormous damage to our kind.\! It will take many generations to repair.\! Perhaps, it never will happen after so many centuries of spilling our own blood - wasted blood.","그래. 넌 우리 종족에게 엄청난 피해를 입혔지. \! 수 세대를 거쳐야만 복구할 수 있을 만큼. \! 아마도, 우리 자신의 피를 수백 년이나 헛되이 흘린 다음에야 이런 일은 다시 일어나지 않을 것이다."
"But now, we know how to recapture our destiny. All we needed was to see and know the enemy... and it is within us.\! You and your cult have poisoned and manipulated us, but you overestimate your power.\! When you are dead, more just like you will continue to weave chaos, but our fate will once again be ours to decide.\! ...Do you feel that, Zanatus?\! I know you can.\! Surely you feel how my heart is at peace.\! Even if I die today, I've fulfilled my purpose - I've awoked my kind to who you are, and I will rest in peace knowing your grip on humanity is broken, forever.","하지만 지금은, 우리는 우리의 운명을 어떻게 되찾을 수 있을지 안다. 우리에게 필요한 것은 적을 보고 제대로 아는 것 뿐이었지... 우리에게는 그럴 능력이 있다. \! 너와 네 광신도는 우리를 중독시키고 조종했지만, 넌 네 힘을 과대평가하고 있다. \! 네가 죽으면, 너와 같은 더 많은 이들이 혼돈을 일으키겠지만, 우리 운명은 다시 한 번 우리가 결정하게 되겠지.\!... 느껴지나 자나투스? \! 느낀다는 걸 안다.\! 내 심장이 얼마나 평화로운지 분명 느끼겠지.\! 내가 오늘 죽는다고 해도, 나는 내 목적을 달성했다 - 내 동족들에게 네가 어떤 놈인지 일깨웠으니, 인류에 대한 네 지배가 영영 깨졌음을 알고 안식에 들 것이다."
"\n[8]...\|\| I imagine you foresaw this.\! In the end, I have served my purpose.\! And to a far, far greater power, I will be of use.\! And then, the races of this little realm will understand the meaning of humility...","\n[8]... \|\| 이걸 이미 예견했겠지. \! 결국, 난 내 목적을 달성했어. \! 그리고 더욱 강대한 존재에게는 내 쓸모가 있을 터. \! 그러고 나면, 이 작은 왕국의 종족들은 겸손의 의미를 이해하게 되겠지..."
