ENGLISH,KOREAN
"\c[1]7 years ago, Imperial Academy\c[0]","\c[1]7년 전, 제국 사관학교\c[0]"
Don't you guys have anything better to do?,너희는 이런 거 말고는 더 나은 할 일이 없냐?
"Where'd ya get that uniform?\! You been stealin' from the armory, street urchin?","그 유니폼은 어디서 났어? \! 병기고에서 훔쳤나, 부랑아?"
What should we do with the thief?,도둑을 어떻게 하면 좋지?
Probably gonna go cryin' to the Master Sergeant again.,아마 또 선임 부사관님께 울면서 뛰어갈 거야.
"I'm watchin' you, street urchin!\! If I had my way, kids like you'd be sent home.","처신 잘 해야할걸, 부랑아! \! 내 식대로였으면, 너 같은 꼬마는 집에 보내버리는건데."
"Yeah, go home.\! I hear the back alleys are comfy this time of year.","그래, 집으로 꺼져. \! 한 해 중 요맘 때는 뒷골목이 편안하다고들 하더라."
Heh heh heh...,헤헤헤...
"You okay, \n[8]?","괜찮아, \n[8]?"
"Hi, Zelos...\| I guess so.","안녕, 젤로스... \| 그런 것 같아."
Don't sweat those guys.\! I've seen you in class. Not enough brains between the three of 'em combined to make one of you.,저 녀석들한테 신경쓰지마. \! 수업 시간에 널 봤어. 저 셋의 머리를 다 합쳐도 너 하나만 못해.
"Thanks...\|\| Zelos, these are supposed to be my comrades...","고마워... \|\| 젤로스, 저들이 소위 말하는 내 전우야..."
"They are. When it comes down to it we're all gonna bleed for each other.\! They're testing you.\! You gotta fight back, \n[8].\! Doesn't matter who, you always gotta show the world you're not to be messed with.","맞아. 그 날이 오면 우린 서로를 위해 피를 흘려야 하지. \! 널 시험하는 거야. \! 너도 맞서 싸워야 해, \n[8]. \! 누가 됐든 상관 없어, 세상에 널 함부로 할 수 없다는 걸 보여줘야 해."
You could take these guys no problem.,넌 저 녀석들을 문제 없이 쓰러뜨릴 수 있겠지.
"If I helped you they'd never leave you alone!\! Just trust me on this one.\! Even if you get roughed up, it'll pay off in the end.","내가 도왔다면 저 녀석들이 널 절대 그냥 두지 않을 거야! \! 이건 내 말을 믿어. \! 지금은 학대를 받더라도, 결국엔 보상을 받게 될 거야."
"Something might happen to those guys later.\! If anyone asks, you had nothin' to do with it.\! See ya around, \n[8].","나중에 저 녀석들에겐 무슨 일이 생길 수도 있어. \! 누가 물어보면, 너랑은 관계 없는 일이라고 해. \! 또 보자, \n[8]"
