ENGLISH,KOREAN
Chapter 4: Paradigm Shift,제 4장: 인식의 전환
"It's times like these I ask me'self what went wrong. How'd the likes of Stefan end up against these devil worshippers, runnin' the risk of bringin' harm to this beautiful face voluntarily?\! Ah well, these prisoners likely won't be savin' themselves.","이럴 때마다 대체 내 인생이 어디서부터 꼬인 건지 고민하게 된다니까. 이 스테판 나으리께서, 요 잘생긴 얼굴에 상처 날 위험을 무릅쓰고 스스로 저런 악마 숭배자들과 부대껴야 한다니. \! 아이고, 죄수들이 스스로 탈출하면 참 좋으련만, 일하자 일."
"These guards are no joke, but as a certified Thief™, I can take these guys out with a Stealth Attack.\! If I'm the one attackin', I'll be able to hit enemy squads from behind, no need to fuss with the heavily-armored front line guys.","간수들이 심상치 않구만. 하지만 인증 받은 도둑™으로써 나는 놈들을 은신 공격으로 처리할 수 있지. \! 내가 선공이라면, 앞줄에 있는 중갑옷 입은 녀석들이랑 실랑이 할 것 없이 부대 후열을 칠 수 있거든."
"Someone up there likes you, friend. Let's get ya out of those chains...","저 위 어딘가에 계신 분이 우리 친구를 좋아하나본데. 자, 그 사슬을 끊어주지..."
...\| W-what's going on...,... \| 무-무슨 일이죠...
Name's Stefan. I'm workin' for the Temple.,이름은 스테판이야. 도나리교 쪽이랑 일하고 있지.
"...Thank you, Stefan...\| I'm \n[8].","...고마워요, 스테판... \| 전 \n[8]입니다."
"Can ya swing a sword, \n[8]? Well I hope so, because these cultists are hot on my trail.\! We'd best find our way outta here, friend. I think I saw the exit around the corner, just northwest of here.","칼 좀 휘두르나, \n[8]? 그럴 줄 알아야 할건데, 광신도들이 지금 내 뒤를 바짝 쫓고 있으니까. \! 어서 여기서 빠져나가 보자고, 친구. 여기서 모퉁이 돌아서 북서쪽에 출구를 본 것 같은데 말이지."
"...Whoa. Stefan, how do you plan on getting by the blonde with the giant hammer?","....맙소사, 스테판, 저 거대한 망치를 든 금발은 어떻게 피할 계획이죠?"
"Nah, that's Diana, our ticket outta here. She's my partner in crime!","아, 저건 다이애나야, 우리를 이곳에서 꺼내줄 탈출권 같은 거지. 내 공범이라고나 할까!"
"Diana, as in, the leader of the Temple Paladins? I never thought I'd see her in the flesh.\! Why in the world would such a figure be here...","다이애나, 그러니까, 도나리교의 수석 성기사 말인가요? 그 분을 직접 뵙게 되리라고는 상상도 못했는데. \! 그런 분이 여기 대체 왜 계시는 거죠..."
"Let's have a meeting of the minds later, \n[8]. If I were you, I'd just do what I do and let Diana deal with these guys while I nab the loot.\! Works like a charm every time, heh heh.","자기소개는 일단 미뤄두자고, \n[8]. 내가 당신이라면, 다이애나가 놈들을 처리하게 두고 전리품이나 슬쩍할 거야. \! 매번 아주 기가 막히게 잘 통하거든, 헤헤."
Are you one of the prisoners here?,당신도 여기 죄수인가요?
"Yes, I was...","네, 그랬었죠..."
This is fortunate. We did not expect this. You must come with me.,다행이네요. 우린 이건 미처 예상치 못했거든요. 저와 같이 가시죠.
Guess I'm in no position to argue...,제가 실랑이할 처지는 아닌 것 같네요...
"Hell's bells, guess my cover's blown!\! We gotta get movin', kid, they're bringin' in reinforcements!","이런 제길, 변장이 벗겨졌나! \! 서두르자고, 꼬마야, 증원 병력이 오고 있어!"
"Well would ya look at that.\! We got ourselves some Treasure, ripe for the taking.\! Sure it's not part of my mission, but as a certified Thief, I would be doing a disservice to my kind to leave any Treasures behind! It's my moral duty.\! All I gotta do is walk right on top of it, and what's inside the Treasure is ours. In fact, anyone can grab it, not just me!","이런 저걸 좀 봐. \! 보물이 날 주워가쇼 하고 널려 있네. \! 내 임무는 아니지만, 인증된 도둑으로써 보물을 두고 가는 것도 말이 안 되지! 이건 내 도덕적 의무인걸. \! 위에 올라서기만 하면 보물 안에 든 건 모두 우리꺼야. 사실, 나 뿐 아니라 누구든 집을 수는 있지만!"
