ENGLISH,KOREAN
"Hey there, Jules.","안녕, 줄스."
"Oh, hi \n[8]!\! Great to see you.","오, 안녕 \n[8]! \! 아까는 인사도 제대로 못 했네, 만나서 정말 반가워!"
I'm pretty relieved that you and I ended up on the same team.\! Not sure if I would have made it through the Academy without you.,너와 내가 같은 편이 되어서 정말 안심이야. \! 네가 없었다면 내가 제국 사관학교를 졸업할 수 있었을지 모르겠어.
"Yeah, I'm glad we got assigned to the same campaign, too!\! Lucky break, huh?","그래, 우리가 같은 전역에 배정돼서 나도 기뻐! \! 운이 좋은것 같다, 그치?"
"So, what it's been like for you growing up in Veridia, as a Sayunaari?","참, 사유나인으로써 베리디아에서 자라는 건 어땠어?"
"Well, I feel very fortunate.\! My adoptive parents made sure I didn't grow up without knowing about my Sayunaari heritage.\! It sounds like such a wonderous place...","음, 아주 운이 좋았다고 생각해. \! 우리 양부모님은 내 사유나 혈통에 대해 잘 알도록 해 주셨어. \! 정말 멋진 곳인 것 같더라..."
"Yeah, shame, outsiders can't show their face there anymore without being turned away.\! They lost so much during the Succession War, and for basically nothing.","그러게, 좀 아쉽다. 외부인들은 거기 얼굴만 비쳐도 바로 쫓겨난다고 하던데. \! 황위 계승 전쟁에서 너무 많은 걸 잃었는데도, 사실상 얻은 것이 아무 것도 없다고 하더라고."
"They are protective of their way of life, so say my parents!",그래서 삶의 방식을 더 지키려 하는 거라고 부모님이 말씀하셨어!
Maybe Veridia's leaders could learn a thing or two from that.\! I can't imagine what good is to come from the attacks on the Donari Temples.\! Most Veridians are devotees of Donar... it's as if they're trying to provoke people.\! Eh... I know you don't like this sort of thing.,베리디아 지도자들이 거기서 한 두 가지 배울 게 있을 것 같아. \! 도나리 교단을 공격한다고 대체 무슨 이점이 있는지 모르겠어. \! 대부분의 베리디아 사람들은 도나르 교인인데도... 마치 사람들을 일부러 자극하려고 하는 것 같을 정도라니까. \! 아...너는 이런 이야기를 싫어하지 참.
"It's okay. You usually go over my head with this stuff, but I like listening to it anyway.\! You're great company, \n[8]!","괜찮아. 보통 넌 내가 따라가기 어려운 이야기들을 하지만, 그래도 네가 하는 이야기들을 듣는건 재밌거든. \! 넌 좋은 동료야, \n[8]!"
"Haha, sometimes I don't understand your optimism, but I sure appreciate it.","하하, 때론 네 낙관주의를 이해할 수 없지만, 그래도 고마워."
