ENGLISH,KOREAN
Yes? Can I help you?,음? 무슨 일이지?
I am simply greeting a new friend among us!\! Let me express my pleasure in bringing you into our little band of misfits.,아 그저 새로운 친구에게 인사나 할까 해서 왔지! \! 우리 사고뭉치들 무리에 들어온 걸 진심으로 환영해.
Thank you. I am grateful to be out of my former situation.,고마워. 난 그저 예전 노예 시절에서 벗어날 수 있어서 감사할 따름이야.
And I must say I am grateful to have the scenery greatly improved with your arrival.,그리고 네가 도착해서 풍경이 한결 나아졌으니 난 그에 감사해야겠는걸.
...Scenery?\! How flattering.,...풍경? \! 아부 잘하네.
You know... you do seem a little out of sorts.\! Did you bump your head when you fell from heaven?,알잖아... 네가 꽤 정신없어 보이는거 있지.\! 혹시 천국에서 떨어질 때 머리라도 부딪힌 거야?
...By Donar.\! That was just pathetic...,... 도나르여.\! 방금 그건 정말 끔찍했어...
"Just like my heart, every day it lives on without you...","내 심장도 그랬지, 매일 너 없이 살려니까..."
...We have just met. How does that make any sense?\! ...Has this tripe ever worked?,...우린 방금 만났는데 말이지. 그게 어떻게 말이나 된다고 생각해?\! ...이런 수작이 먹힌 적이 있기는 해?
"Nice try, but a magician never reveals his tricks.","아, 시도는 좋았지만, 마술사는 절대 자신의 비결을 공개하지 않는 법이라."
...\| I will just see myself out.,... \| 난 이제 좀 가봐야 겠는데.
By all means!\! May the wind be at your back.,아무렴! \! 바람이 네 등을 밀어주길.
Sure...,아 그래...
