ENGLISH,KOREAN
"Greetings, human.","안녕한가, 인간."
"First things first, please call me \n[8].\! Deal?","우선 짚고 넘어가자고, 날 부를때 \n[8](이)라고 불러줘. \! 알겠지?"
Yes \n[8]. Raskuja will comply.,그래 \n[8]. 라스쿠자 따른다.
"So, I've heard so much about this Eskandar, fella.\! Some sort of legendary Barek Tor.\! What's the deal with him anyway?\! You would think he was some sort of god.","그래, 이 에스칸다르라는 친구에 대해서는 많이 들었어. \! 전설적인 바렉 토르라고 하던데. \! 그 사람은 대체 어떤 존재야? \! 무슨 신이라도 되는 것 같던데."
"Eskandar was a fierrrrrce and powerful warrior 100 years ago, during time of great crisis.\! Humans sought to conquer Barek Tor and destroy Barek Tor spirit.\! The great Eskandar rrrrrallied people together and defeated much more powerful enemy to earn Barek Tor freedom.\! Eskandar so great, he left Barek Tor lands to seek out and to destroy this enemy where they hide.\! He return home loved by all.\! Eskandar becomes grrrrreat chieftain of all Barek Tor people, and repopulate our kind.\! Most Barek Tor somehow related to Eskandar this day... I hope so is Raskuja, so have his grrrrreat and divine warrior blood.","에스칸다르는 100년 전 대위기 때 살았던 사아아납고 강력한 전사였다. \! 인간은 바렉 토르를 정복하고 바렉 토르의 정신을 파괴하려 했다. \! 위대한 에스칸다르는 사아아람들을 규합해서 훨씬 더 강력한 적을 꺾고 바렉 토르의 자유를 쟁취했다. \! 에스칸다르는 너무 위대해서, 바렉 토르 땅을 떠나 적들이 숨은 곳을 찾아내 파괴했다. \! 집으로 돌아와서는 모두에게 사랑 받았다. \! 에스칸다르는 바렉 토르 사람들의 위이이대한 추장이 되어, 우리 종족을 번성시켰다. \! 오늘날 대부분의 바렉 토르는 어떤 식으로든 에스칸다르와 관계가 있다... 라스쿠자 역시, 그 분의 위이대하고 신성한 전사의 피가 흐르기를 바란다."
I wonder why I'd never learned much about him.,그 사람에 대해서 왜 배운 적이 없는지 궁금하군.
"Barek Tor lifespan not as long as human.\! Eskandar pass to next life after rrrrreaching golden age of 50 years.\! Eskandar policy on human is to be being frrrrriendly, because of best friend named ""Lucian Iblis"" who was prominent human and great hero of human lands.",바렉 토르 수명은 인간만큼 길지 않다. \! 에스칸다르는 50살의 황금기에 도오오달하고 다음 생으로 떠났다. \! 에스칸다르의 인간에 대한 정책은 ‘루시안 이블리스’라는 이름의 뛰어난 인간이자 인간 땅의 위대한 영웅이 치이인구라서 우호적인 것이다.
"Yep, everyone knows about Lucian Iblis.","그래, 모두들 루시안 이블리스는 알지."
"Because of their frrrrriendship, human and Barek Tor were to be connected.\! Lucian live on many years past Eskandar, but without our great hero, Lucian and Barek Tor people were to being disconnected slowly over time.\! Lucian attempt to befrrrrriend new Barek Tor chieftains, but it was not to be being.\! Over next 50 years, Barek Tor attempt to return to old way.\! No longer trrrrrade food with humans of Sayunaa in exchange for their great trrrrreasures.\! Barek Tor society become poor.\! Now we attempt to repair damage but without being weak to conquest much like during the time of Eskandar.","둘의 우우우정 때문에 인간과 바렉 토르는 연결됐다. \! 루시안은 에스칸다르보다 오래 더 살았지만, 우리의 위대한 영웅이 없어지자 루시안과 바렉 토르 사람들은 서서히 연결이 끊겼다. \! 루시안은 새로운 바렉 토르 족장들과 친구가 되려고 했지만, 그건 이루어지지 않았다. \! 그 후 50년이 지나, 바렉 토르는 이전 방식으로 돌아가려고 시도했다. \! 사유나 인간들의 귀한 보오오물을 음식과 더 이상 교오오환하지 않는다. \! 바렉 토르 사회 가난해졌다. \! 이제 우리는 에스칸다르 시대와 마찬가지로 정복에 약하지 않고 피해를 복구하려고 한다."
"I could listen to this stuff all day, cat.","이런 얘기는 종일 들을 수도 있겠어, 고양이."
It is great honor to Raskuja when human show interest in Barek Tor.\! \n[8] is good company for Raskuja. Raskuja wishes to talk more in future days.,인간이 바렉 토르에게 관심 보이는 것 라스쿠자에게 큰 명예다.\! \n[8] 라스쿠자의 좋은 동료다. 라스쿠자 앞으로도 더 얘기하고 싶다.
Count on it!,기대해!
