ENGLISH,KOREAN
Legends 4A: Echoes,전설들 4A: 메아리
"Well, well, Jebediah. It seems you've actually managed to become useful to me!\! Don't go thinking this means you're off my naughty list just yet, little man.","이런, 이런, 제베디아. 네가 정말로 나에게 유용하게 될 줄이야!\! 그렇다고 내 주의 목록에서 빠졌다고 생각하면 안 된다, 알겠지?"
"B-b-begging your pardon, great sacrifices were made to find this place! The Grandmaster may be very upset with-","요-용서를 빌어요, 이 곳을 찾기 위해 엄청난 희생을 치렀어요! 교주님이 아주 화났을 거-"
"Shush, servant.","쉿, 하인."
"Yes, Miss Beatrix...","예, 베아트릭스님..."
"If you're just about done groveling for a tiny sliver of my approval, care to explain what's so special about this place?",내가 조금이라도 인정해주길 바라는 마음이 있다면 이 곳이 뭐가 그리 특별한지 설명해 줄래?
"Why, this is a salvaged piece of the Arc Donarium. It contains technological wonders we no longer have the knowledge to create, only to try to maintain.\! I believe the missing pieces of the Historium Magnus can be found in the... um... archives here.\! Devices carried by high-ranking members of the Grandmaster's Dark Mages.\! There should be a Master Archive that will complete my chronicles and unleash the secrets of the petty Donari founders forever!","네, 이건 아크 도나리움에서 회수한 조각이에요. 우리가 더 이상 창조할 지식이 없고, 단지 유지하려고 노력하는 기술적 경이로움을 담고 있지요. \! 사라진 히스토리움 마그누스의 일부는 여기... 음... 기록 보관소에서 찾을 수 있으리라 믿어요.\! 교주님 직속의 어둠의 마법사 고위 소속원들이 가지고 다니는 장치들.\! 내 연대기를 완성하고 하찮은 도나리 창시자들의 비밀을 영원히 풀어줄 최고 기록 보관소가 있을 거에요!"
"Is that so? Well, do you know how to get through this place?","아 그래? 음, 그런데 이곳을 통과하는 방법은 알고 있고?"
"I-I'm sorry, Miss Beatrix, that I do not know yet...","죄-죄송합니다 베아트릭스님, 그건 아직 모르겠습니다..."
"Pah, useless as ever! I suppose I'll have to be the brains for both of us, as usual.","하, 늘 그렇듯 쓸모가 없군! 평소처럼 내가 우리 둘을 위한 머리가 되어야겠는걸."
"It seems the teleporter devices we know and love today are alive and well here.\! Jeb, be a good worm and lead a group on the other side of this cute little maze they've set up for us.\! We will meet again when we've found this ""Master Archive"" you keep going on about.\! Can you manage this or must I speak more slowly for you?","오늘날 우리가 잘 알고 애용하는 순간이동 장치들이 여기에서도 잘 작동 중인 것 같아. \! 제브, 착한 벌레가 되어 그들이 우리를 위해 만든 이 작고 귀여운 미로의 반대편에서 무리를 이끌어. \! 우린 네가 계속 얘기하는 ‘최고 기록 보관소’를 찾으면 다시 만나게 될 거야. \! 이 정도는 이해했겠지, 아니면 더 천천히 다시 말해줄까?"
"Yes, Miss Beatix, your brilliance shines ever more brightly! You can count on me!","알겠어요 베아트릭스님, 역시 빛나는 지성이시군요! 절 믿으십시오!"
\c[1]Helios Lab Report - 980.11.10\! Extraction failure. Subject in stable condition. We suspect that the quality of Aetherite was inadequate. Energy efficacy within subject was superficial at best.\! Advise the use of a sample with at least 99.1% efficiency. Subject to recover for 7 days before second attempt.,\c[1]헬리오스 실험실 보고서 - 980.11.10\! 추출 실패. 실험체는 안정적 상태. 아테라이트의 품질이 불충분했던 것 같다. 실험체 내의 에너지 효험은 좋게 평가해도 피상적이다. \! 최소 99.1%의 효험이 있는 샘플 사용을 권고한다. 두 번째 시도 전까지 실험체는 7일간 회복할 것이다.
