ENGLISH,KOREAN
Chapter 11: Taking Fort Eureeka,제 11장: 유리카 요새 함락
"Bonanza! So many little toy soldiers on the battlefield, just for me.\! Very well, if my actions today will grease the wheels of power, so be it.","아주 좋아! 딱 나만을 위한 꼬마 병정들이 전장에 엄청 모였네. \! 좋아, 오늘 내 행동이 운명의 수레바퀴에 기름칠을 하게 된다면, 뭐, 그러라지."
"\c[1]Just enough to stop their momentum, Beatrix!\! Don't kill everyone right now - we need more time to prepare for the next phase!","\c[1]저들의 기세를 꺾을 정도로만 힘을 써라, 베아트릭스! \! 지금 저들을 몰살시키지 말고 - 다음 단계를 위해 우리는 준비할 시간이 필요하다!"
"Quiet, old man, I was born for this...\| It's time, my poor little soldiers... come to Beatrix!","조용히 해, 늙다리, 난 이 순간을 위해 태어났다고... \| 시간이 됐어, 내 불쌍한 꼬마 병정들아...베아트릭스에게 오렴!"
"Th-that mage is some sort of demon!!\! Men of Isanter, full retreat!!","저... 저 마녀는 무슨 악마임이 분명하다!!\! 이산테르 군, 모두 퇴각하라!!"
...How dare you? Did I order you to retreat?\! I am not bored with slaughtering you yet!,...어떻게 감히? 내가 퇴각하라고 명령했었나? \! 너희를 쓸어버리는데 질리려면 아직 한참이나 남았는데!
Damn. We're on our own out here.\! If you want something done right...,망할. 이제 여긴 우리만 남았네요. \! 뭔가 제대로 해내고 싶다면...
"That enemy sorceress singlehandedly decimated Isanter's most elite forces...\! Unless you've got something up your sleeve, \n[8], I pray you find a way to avoid sending our troops anywhere near her.","저 마녀가 손짓 한번으로 이산테르의 최정예 병력을 학살했어... \! 뭔가 대비책을 숨겨놓은 게 아니라면, \n[8], 우리 부대를 저 여자 근처로 보내는 일만은 피해 주길 간절히 바래."
Noted. Let's see how this shakes out.,알았어. 일이 어떻게 되는지 지켜보자고.
"My gracious... these ones are feisty.\! Oh well, I've had my fill.\! Have fun playing war, darlings.","세상에나... 얘들은 꽤 화끈하네? \! 오, 뭐, 난 할 만큼 했으니.\! 그럼 전쟁 재밌게 치르도록 해, 자기."
"If we don't see her again, it'll be too soon.",저 여자를 다시 볼 일이 없다면 좋으련만.
"Sigh... what a bore, these temple types.\! But I do think I've sent enough of them to the void for today.\! Have fun playing war, darlings! Nap time for Beatrix.","하아... 지루하네, 이런 교단 부류들이란. \! 하지만 오늘은 충분한 수를 공허로 보낸 것 같아. \! 그럼 전쟁 재밌게 치르도록 해, 자기! 베아트릭스는 낮잠을 자야겠으니까."
