ENGLISH,KOREAN
"\n[8]....\! You....\| I killed you...\| I killed you, and watched your body plummet to the earth!\! Auuugggghhh.... \! I hate.... you...\| hate...","\n[8].... \! 네놈... \| 짐이 죽였거늘... \| 짐이 네놈을 죽이고, 네 비루한 몸뚱아리가 땅으로 곤두박질치는 걸 보았는데! \! 끄어어어어억... \!네놈을...증오한다... \| 증오해..."
"But ""Emperor"", you created me.\! Seems if you'd just left well enough alone, I wouldn't be who I am today.","하지만 ‘황제’여, 네가 날 만들었다. \! 날 그저 내버려 두었다면, 난 오늘날의 나 자신이 되지는 못 헀겠지."
"My armies are defeated, but I will take much from you before I fall...!","짐의 군대는 패배했을지라도, 짐이 쓰러지기 전에 네 놈에게서 취할 수 있는 것은 가져가겠노라...!"
"Will you now?\! Right, because you believe the Zanatus cultists are backing you.\! Everyone can see that you are their pawn, everyone but you.\! You made a deal with the devil, and now the devil is coming to consume you.\! Normally I'd feel sorry for such blind stupidity.","오 그러신가? \! 물론, 자나투스 광신도들이 널 밀어준다고 믿으니 그런거겠지. \! 모두가 넌 그저 놈들의 장기말이라는 걸 알고 있어, 너만 빼고 전부. \! 넌 악마와 거래를 했고, 이제 악마가 널 집어삼키려 오고 있군. \! 보통은 그런 맹목적인 멍청함을 안타깝게 여겼을텐데."
"Enough...\! Bring me the boy, now!","그만... \! 꼬마를 데려와라, 당장!"
Alex!!!,알렉스!!!
...M-Mom?!,...어-엄마?!
"Don't take another step, you monstrosity, or he's dead!","한 걸음도 더 떼지 마라, 이 괴물아, 아니면 꼬마는 죽는다!"
What?!\! You can't do this!,뭐라고?! \! 이럴 수는 없어!
"Get over there, whelp.","저기로 움직여라, 꼬맹아."
Casamir...\| there is nothing to be gained from this.\! Think about what you're doing...,카사미르... \| 이런다고 얻을 건 없어.\! 지금 무슨 짓을 하는 건지 생각해 봐...
"Oh, how quaint.\! Look at you now, the paragon of morality, now that there is nothing to be lost from being so!\! How simple it is to speak from a position of ultimate power, isn't it?!\! If there is any justice in this world, the future will see you as the bloodthirsty conquerer you are, \n[8]!","오, 이 얼마나 기이한가. \! 널 좀 보라지, 이제 고고한 척을 떨어도 잃을 게 없으니 진실로 도덕의 귀감이로다! \! 궁극의 힘을 가진 위치에서는 말하기가 쉽지, 안 그런가? \! 이 세상에 정의가 있다면, 후대는 네놈의 진면목인 피에 굶주린 정복자로 널 볼 것이다, \n[8]!"
"Do not worry, child...\| I am sure your mother will make the correct choice.","아이야, 걱정하지 마라... \| 네 어미는 분명 올바른 선택을 할 것이니."
"You've lived a good life, haven't you, Diana?\! You need but give yourself up, and this will all be over.\! The tiniest hint of aggression on your part will end your son's life.","썩 괜찮은 인생을 살았을터, 그렇지 않나, 다이애나? \! 그저 자신을 바치기만 하면 된다, 그럼 이 모든게 다 끝날 터. \! 조금이라도 공격할 기미를 보이면 네 아들의 목숨은 끊길 것이야."
What a fool...,저 멍청이...
...\| You leave me no choice... my life is yours.\! May the gods banish you to the lowest hell.,... \| 선택의 여지를 주지 않는군... 내 목숨은 네 것이다.\! 신들께서 네 놈을 가장 깊은 지옥까지 추방하기를.
"Where are they, \n[8]?\! Who to save first?\! Can you do without your Paladin, or does the boy meet his end instead?\! That choice is on your shoulders now, \n[8].\! Farewell!","그들이 과연 어디 있을까, \n[8]? \! 누구를 먼저 구해야 하는지 알겠느냐? \! 그 성기사 없이도 네가 해쳐나갈 수 있을까, 아니면 대신 저 소년이 최후를 맞아야 할까? \! 그 선택은 이제 네놈이 내려야 할 것이다, \n[8]. \! 잘 가라!"
ALEX!!!!!!,알렉스!!!
